date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q
2020-06-18,12.54400002,67.637594,2.439471,4.977255,-61.573429,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,49,0.5855855855855856,0.5315315315315315,0.8828828828828829,0.018018018018018018,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,12.49570079,67.377163,2.430078,4.958091,-61.336348,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,50,0.5714285714285714,0.5267857142857143,0.875,0.026785714285714284,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-22,12.57849947,67.823616,2.44618,4.990944,-61.742773,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,53,0.5929203539823009,0.5398230088495575,0.8849557522123894,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,13.83427945,74.594816,2.690396,5.489217,-67.90689,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,54,0.7543859649122807,0.6842105263157895,0.9649122807017544,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-24,13.4547855,72.548574,2.616595,5.33864,-66.044107,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,55,0.6782608695652174,0.6521739130434783,0.9391304347826087,0.017391304347826087,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-29,13.32368759,71.84169,2.5911,5.286622,-65.400601,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,60,0.6551724137931034,0.6293103448275862,0.9310344827586207,0.02586206896551724,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-30,14.0757756,75.89697,2.73736,5.585038,-69.092297,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,61,0.8205128205128205,0.7264957264957265,0.9743589743589743,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,14.02747637,75.636539,2.727968,5.565874,-68.855216,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,62,0.788135593220339,0.7203389830508474,0.9661016949152542,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-02,14.0067767,75.524926,2.723942,5.557661,-68.753609,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,63,0.773109243697479,0.7142857142857143,0.957983193277311,0.025210084033613446,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-03,14.33797142,77.310737,2.788351,5.689073,-70.37931,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,64,0.8583333333333333,0.7916666666666666,0.9916666666666667,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-06,14.67606603,79.133752,2.854101,5.823224,-72.03888,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,67,0.8842975206611571,0.859504132231405,1.0,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-07,14.40697032,77.682781,2.801769,5.716451,-70.717998,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,68,0.860655737704918,0.7868852459016393,0.9836065573770492,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-08,14.9037624,80.361497,2.898382,5.91357,-73.15655,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,69,0.8861788617886179,0.8699186991869918,1.0,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-09,16.39413864,88.397647,3.18822,6.504927,-80.472205,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,70,0.9516129032258065,0.9516129032258065,1.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,16.3527393,88.174421,3.180169,6.488501,-80.268992,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,71,0.944,0.944,0.992,0.016,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-13,16.4907371,88.918509,3.207006,6.543256,-80.946368,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,74,0.9523809523809523,0.9523809523809523,1.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-14,15.64895052,84.379572,3.043301,6.209249,-76.814377,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,75,0.905511811023622,0.8740157480314961,0.9763779527559056,0.031496062992125984,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-15,14.74506493,79.505796,2.867519,5.850602,-72.377568,2020-04-29,2020-03-31,0.010539,0.075247,0.358093,31933089.75,0.268785,,487962086.0,433754341.0,True,2020-04-30,0.702186,128.171149,0.216503,415.697743,0.148437,0.054802,0.251024,0.052049,-0.068852,-0.111111,0.012564,1.150152,0.696411,0.389655,-0.076054,0.476276,1.909404,0.385349,0.614651,0.360316,2.187413,-0.205849,-2.735625,-0.205849,0.010539,2.141303,0.054802,1.19356,0.075247,0.920895,0.568103,0.143832,76,0.8515625,0.828125,0.9609375,0.046875,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
