date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2025-10-17,sh.603986,201.21,115.642441,7.787923,17.001237,-148.412547
2025-10-20,sh.603986,208.35,119.746049,8.06428,17.604531,-153.679013
2025-10-21,sh.603986,219.01,125.872725,8.47688,18.505248,-161.541831
2025-10-22,sh.603986,210.93,121.228865,8.16414,17.822528,-155.582021
2025-10-23,sh.603986,206.96,118.947167,8.010479,17.487083,-152.653748
2025-10-24,sh.603986,221.08,127.062426,8.557,18.680152,-163.068664
2025-10-27,sh.603986,243.19,139.769818,9.412778,20.548337,-179.377005
2025-10-28,sh.603986,246.95,141.930822,9.55831,20.866038,-182.150382
2025-10-29,sh.603986,241.15,118.8735,8.844104,18.846778,418.734329
2025-10-30,sh.603986,232.0,114.363061,8.50853,18.131672,402.846214
2025-10-31,sh.603986,220.0,108.44773,8.068434,17.193827,382.00934
2025-11-03,sh.603986,230.1,113.426467,8.438848,17.983179,399.547042
2025-11-04,sh.603986,224.99,110.907522,8.251441,17.583814,390.674007
2025-11-05,sh.603986,218.39,107.65409,8.009388,17.067999,379.213727
2025-11-06,sh.603986,227.2,111.996928,8.332492,17.756534,394.511464
2025-11-07,sh.603986,220.95,108.916027,8.103275,17.268073,383.658926
2025-11-10,sh.603986,218.96,107.935068,8.030292,17.112547,380.203478
2025-11-11,sh.603986,216.99,106.963968,7.958043,16.958584,376.782758
2025-11-12,sh.603986,209.5,103.271816,7.683349,16.373212,363.777076
2025-11-13,sh.603986,227.5,112.144812,8.343494,17.77998,395.032386
2025-11-14,sh.603986,205.78,101.438063,7.54692,16.08248,357.317646
2025-11-17,sh.603986,207.5,102.285927,7.61,16.216905,360.304264
2025-11-18,sh.603986,202.5,99.906681,7.432986,15.839687,351.923322
2025-11-19,sh.603986,202.52,99.916549,7.43372,15.841252,351.95808
2025-11-20,sh.603986,199.1,98.229236,7.308185,15.573737,346.014486
2025-11-21,sh.603986,182.51,90.044288,6.699231,14.276056,317.182842
2025-11-24,sh.603986,179.18,88.401378,6.577,14.015581,311.395658
2025-11-25,sh.603986,190.62,94.045489,6.996917,14.910426,331.277154
2025-11-26,sh.603986,196.5,96.946483,7.212749,15.370363,341.495964
2025-11-27,sh.603986,200.86,99.09756,7.372788,15.711406,349.073178
2025-11-28,sh.603986,203.0,100.153364,7.451339,15.878798,352.792269
2025-12-01,sh.603986,212.82,104.998222,7.811793,16.646925,369.858377
2025-12-02,sh.603986,210.5,103.853612,7.726635,16.465453,365.826466
2025-12-03,sh.603986,207.6,102.422849,7.620187,16.238613,360.786576
2025-12-04,sh.603986,210.41,103.809209,7.723331,16.458413,365.670055
2025-12-05,sh.603986,206.81,102.03309,7.591189,16.176819,359.413641
2025-12-08,sh.603986,213.89,105.526124,7.851068,16.730621,371.717923
2025-12-09,sh.603986,210.95,104.075627,7.743152,16.500652,366.608517
2025-12-10,sh.603986,208.84,103.034624,7.665703,16.335607,362.941563
2025-12-11,sh.603986,207.81,102.526456,7.627895,16.255039,361.151534
2025-12-12,sh.603986,209.89,103.552658,7.704244,16.417738,364.766351
2025-12-15,sh.603986,204.16,100.725669,7.493918,15.969534,354.808224
2025-12-16,sh.603986,197.86,97.617461,7.26267,15.476743,343.859499
2025-12-17,sh.603986,202.18,99.748804,7.42124,15.814657,351.367196
2025-12-18,sh.603986,214.45,105.802409,7.871624,16.774425,372.691143
2025-12-19,sh.603986,210.21,103.710536,7.71599,16.442769,365.322477
2025-12-22,sh.603986,216.46,106.794075,7.945403,16.931648,376.184308
2025-12-23,sh.603986,217.38,107.247972,7.979173,17.003611,377.783169
2025-12-24,sh.603986,224.1,110.563394,8.225838,17.529254,389.46181
2025-12-25,sh.603986,222.0,109.527325,8.148755,17.364991,385.812235
2025-12-26,sh.603986,226.97,111.979355,8.331184,17.753747,394.449562
2025-12-29,sh.603986,227.93,112.452987,8.366422,17.828839,396.11794
2025-12-30,sh.603986,220.22,108.649133,8.083418,17.225758,382.718785
2025-12-31,sh.603986,214.25,105.703736,7.864283,16.75878,372.343564
2026-01-05,sh.603986,235.68,116.276576,8.650894,18.43505,409.58661
2026-01-06,sh.603986,250.78,123.726407,9.205156,19.616182,435.828794
2026-01-07,sh.603986,262.5,129.508661,9.635352,20.532928,456.196899
2026-01-08,sh.603986,258.75,127.658537,9.497704,20.239601,449.6798
2026-01-09,sh.603986,250.05,123.36625,9.178361,19.559081,434.560132
2026-01-12,sh.603986,261.83,129.178105,9.610759,20.48052,455.032511
2026-01-13,sh.603986,263.5,130.002027,9.672058,20.611149,457.934792
2026-01-14,sh.603986,253.0,130.226071,9.688727,20.64667,458.723992
2026-01-15,sh.603986,254.96,131.234937,9.763786,20.80662,462.277743
2026-01-16,sh.603986,280.46,144.36049,10.740318,22.887609,508.51277
2026-01-19,sh.603986,288.45,148.473163,11.046297,23.539652,522.999745
2026-01-20,sh.603986,292.0,150.300446,11.182246,23.829358,529.436386
2026-01-21,sh.603986,307.65,158.355932,11.781568,25.106514,557.812001
2026-01-22,sh.603986,301.47,155.174916,11.544903,24.60218,546.606806
2026-01-23,sh.603986,297.25,153.002766,11.383297,24.257797,538.955362
2026-01-26,sh.603986,292.6,150.609283,11.205223,23.878323,530.524269
2026-01-27,sh.603986,307.26,158.155188,11.766633,25.074687,557.104877
2026-01-28,sh.603986,323.68,166.607015,12.395443,26.41468,586.876608
2026-01-29,sh.603986,307.5,158.278723,11.775824,25.094273,557.54003
2026-01-30,sh.603986,314.88,162.077412,12.058444,25.696535,570.920991
2026-02-02,sh.603986,283.39,145.868642,10.852523,23.126718,513.825265
2026-02-03,sh.603986,292.57,150.593841,11.204074,23.875874,530.469875
2026-02-04,sh.603986,282.33,145.323031,10.81193,23.040215,511.903339
2026-02-05,sh.603986,277.74,142.960431,10.636154,22.665637,503.581034
2026-02-06,sh.603986,276.17,142.152309,10.57603,22.537513,500.734407
2026-02-09,sh.603986,292.98,150.804879,11.219775,23.909333,531.213262
2026-02-10,sh.603986,289.9,149.219518,11.101826,23.657983,525.628796
2026-02-11,sh.603986,284.59,147.398179,10.966319,23.369219,519.213091
2026-02-12,sh.603986,303.24,157.057605,11.684974,24.900671,553.238616
2026-02-13,sh.603986,308.7,159.885512,11.895368,25.349021,563.199976
2026-02-24,sh.603986,323.05,167.317832,12.448327,26.527377,589.380474
2026-02-25,sh.603986,311.32,161.242493,11.996326,25.564163,567.979969
2026-02-26,sh.603986,309.4,160.248064,11.922342,25.406502,564.477073
2026-02-27,sh.603986,300.0,155.379506,11.560124,24.634617,547.327479
2026-03-02,sh.603986,293.15,151.831674,11.296168,24.072126,534.830168
2026-03-03,sh.603986,272.89,141.338378,10.515475,22.408469,497.867319
2026-03-04,sh.603986,279.07,144.539196,10.753613,22.915942,509.142265
2026-03-05,sh.603986,282.8,146.471081,10.897344,23.222232,515.94737
2026-03-06,sh.603986,284.99,147.605352,10.981733,23.402065,519.942861
2026-03-09,sh.603986,276.09,142.99576,10.638783,22.671238,503.705479
2026-03-10,sh.603986,285.44,147.838421,10.999073,23.439017,520.763852
2026-03-11,sh.603986,281.53,145.813308,10.848406,23.117946,513.630351
2026-03-12,sh.603986,274.78,142.317269,10.588303,22.563667,501.315482
2026-03-13,sh.603986,278.33,144.155926,10.725098,22.855176,507.792191
2026-03-16,sh.603986,306.16,158.569965,11.797492,25.140448,558.565937
2026-03-17,sh.603986,296.0,153.307779,11.405989,24.306155,540.029779
2026-03-18,sh.603986,311.25,161.206238,11.993629,25.558415,567.85226
2026-03-19,sh.603986,303.68,157.285495,11.701929,24.936801,554.041363
2026-03-20,sh.603986,290.2,150.303776,11.182494,23.829886,529.448115
2026-03-23,sh.603986,273.35,141.576627,10.5332,22.446242,498.706555
2026-03-24,sh.603986,273.71,141.763082,10.547072,22.475803,499.363348
2026-03-25,sh.603986,278.4,144.192182,10.727795,22.860924,507.919901
2026-03-26,sh.603986,262.0,135.698102,10.095842,21.514232,477.999332
2026-03-27,sh.603986,258.66,133.96821,9.967139,21.239967,471.905752
2026-03-30,sh.603986,255.85,132.512822,9.858859,21.009222,466.779118
2026-03-31,sh.603986,238.1,101.292597,8.782324,18.138009,2889.367291
2026-04-01,sh.603986,255.0,108.482201,9.40568,19.425419,3094.45048
2026-04-02,sh.603986,246.99,105.074584,9.110231,18.815232,2997.24833
