stock_code,sample_path,feature_set,feature,action,reason,rows,non_null_count,missing_count,missing_rate,max_missing
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_macd_hist,kept,ok,1542,1525,17,0.011024643320363165,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_atr_pct_10,kept,ok,1542,1537,5,0.00324254215304799,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_atr_pct_14,kept,ok,1542,1535,7,0.004539559014267186,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_atr_pct_20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_asof_vs_range20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_open_gap_z20,kept,ok,1542,1531,11,0.007133592736705577,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,B_technical,tech_amount_turnover_z20,kept,ok,1542,1532,10,0.00648508430609598,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,ret_prevclose_to_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,ret_open_to_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,gap_open,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,vwap_dev_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,range_1455,kept,ok,1542,1542,0,0.0,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,pos_in_range_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,high_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,low_ret_1455,kept,ok,1542,1541,1,0.0006485084306095979,0.7
603308,saved_data/603308_pipeline_out/01_samples_asof1455/training_samples_asof1455.csv,C_context,amount_ratio_1455,kept,ok,1542,1532,10,0.00648508430609598,0.7
