date,zijin_hk_open,zijin_hk_high,zijin_hk_low,zijin_hk_close,zijin_hk_volume,zijin_hk_amount,zijin_hk_close_ret1,zijin_hk_close_ret5,zijin_hk_close_ret20,zijin_hk_close_ma20_gap,zijin_hk_close_z20,zijin_hk_volume_ret1,zijin_hk_volume_ret5,zijin_hk_volume_ret20,zijin_hk_volume_ma20_gap,zijin_hk_volume_z20,zijin_hk_provider
2023-08-17,11.88,12.26,11.68,12.18,27296463.0,326788470.0,0.004950495049504955,-0.05434782608695665,-0.04395604395604402,-0.052656140623784986,-1.8713747182041671,1.3567638389318764,1.576785946408557,0.19898305156216112,0.3057389770551502,0.8948664557341609,stock_hk_daily
2023-08-18,12.18,12.4,11.94,11.94,13950836.0,169251327.0,-0.019704433497536922,-0.0538827258320127,-0.0627943485086343,-0.06929612596461143,-2.2694262827879452,-0.48891414979296033,0.13318246799662092,0.2266136168285171,-0.33980846823970656,-0.9870178928952171,stock_hk_daily
2023-08-21,11.76,11.94,11.66,11.76,32829049.0,386395923.0,-0.015075376884422065,-0.054662379421221874,-0.05769230769230771,-0.08045977011494254,-2.3425945554498244,1.3531958228166396,0.053235118372074286,1.6288848744893327,0.5441431033249406,1.6261377238143437,stock_hk_daily
2023-08-22,11.7,12.26,11.7,12.24,40598661.0,488515507.0,0.04081632653061229,-0.0032573289902279035,-0.06849315068493156,-0.04022582921665485,-1.0422067112918774,0.2366688112104618,0.5797476904085801,0.5701185068624177,0.8224123783228883,2.5281702227787766,stock_hk_daily
2023-08-23,12.22,12.32,12.0,12.1,28307300.0,343536565.0,-0.011437908496732097,-0.0016501650165016146,-0.10237388724035612,-0.047843877872206564,-1.2255421955092236,-0.30275286665242485,1.4440390323755978,-0.04155442399358611,0.22997633158169783,0.6374681856860783,stock_hk_daily
2023-08-24,12.44,12.66,12.3,12.48,31382466.0,392402941.0,0.03140495867768611,0.024630541871921263,-0.06306306306306309,-0.012580109185853172,-0.3321167771959348,0.10863508706234781,0.1496898334410579,0.15135436768536525,0.3672404540933625,1.0209299238281913,stock_hk_daily
2023-08-25,12.48,12.48,12.14,12.24,11601081.0,142307406.0,-0.019230769230769273,0.025125628140703515,-0.05555555555555558,-0.028340080971659853,-0.7898999315553368,-0.6303323964407386,-0.1684311248444179,-0.6033290923134735,-0.49907714751993615,-1.3727859329861853,stock_hk_daily
2023-08-28,12.5,12.7,11.84,11.98,17787219.0,215419959.0,-0.021241830065359513,0.018707482993197244,-0.10329341317365259,-0.046254279117904584,-1.2905611255740088,0.5332380663491618,-0.45818658956584457,-0.4317728144063864,-0.2015492581684014,-0.5179294092523513,stock_hk_daily
2023-08-29,11.88,12.3,11.84,12.08,15963023.0,193579411.0,0.008347245409014992,-0.013071895424836666,-0.0930930930930931,-0.032981107909061724,-0.9662012375374958,-0.10255656041565575,-0.6068091260448221,-0.17834419427635684,-0.2610182247304318,-0.667063450622418,stock_hk_daily
2023-08-30,12.4,12.46,12.18,12.36,21945162.0,271008875.0,0.023178807947019875,0.02148760330578514,-0.04776579352850552,-0.005631536604987941,-0.18035991658578038,0.3747497576117005,-0.22475255499464797,-0.07537708810186161,0.02412849694161534,0.06058100402723942,stock_hk_daily
2023-08-31,12.7,12.7,12.22,12.34,22014207.0,272347518.0,-0.0016181229773462036,-0.011217948717948789,-0.029874213836478036,-0.004758448261956705,-0.1612016791014589,0.0031462515519364853,-0.2985188926835769,0.28541414335812254,0.03165726345422448,0.07930160011936427,stock_hk_daily
2023-09-04,12.68,13.38,12.68,13.34,58844051.0,776585571.0,0.08103727714748787,0.08986928104575154,0.03410852713178292,0.0775444264943459,2.6797578924604664,1.6730034381888021,4.072290332254382,2.384341172397939,1.7263966540168068,4.403783566285943,stock_hk_daily
