symbol,as1455_rows,matched_rows,match_rate,daily_valid_rows_in_as1455_range,daily_rows_without_as1455,daily_coverage_rate,previously_diagnosed_bad_symbol,diagnosed_excluded_dates,close_abs_diff_mean_pct,close_abs_diff_p95_pct,close_abs_diff_p99_pct,close_abs_diff_max_pct,volume_missing_mean_pct,volume_missing_p95_pct,volume_missing_max_pct,high_above_daily_rows,low_below_daily_rows,volume_above_daily_rows,error
600172,1556,1556,1.0,1556,0,1.0,True,5,0.18356199186490635,0.5434782608695593,0.92825367266708,2.5423728813559254,2.698443677522402,5.029503749280701,12.562874382167132,0,0,7,
600518,1527,1527,1.0,1527,0,1.0,True,1,0.19739227608065663,0.540540540540535,0.6931992337164736,1.7094405684600966,2.8401259426013374,6.268190071928809,15.76931765353361,0,435,5,
603306,1549,1549,1.0,1549,0,1.0,True,10,0.1649456558820385,0.5275621545675642,0.9767714923012811,1.8243522246678134,2.3038547401782985,4.622019413915239,15.019917552066564,96,750,5,
600331,1560,1560,1.0,1560,0,1.0,True,1,0.1825633340172667,0.5129195129195107,0.8614161232187042,1.3595166163141936,2.6002548740273,5.322920259034758,11.441132662187625,0,0,3,
600114,1551,1551,1.0,1551,0,1.0,True,10,0.1623314908617347,0.49858676289827875,0.8587031643173537,2.850081171821106,2.3479070454183324,4.498532847903036,19.076337284830114,161,1052,2,
600575,1541,1541,1.0,1541,0,1.0,True,10,0.20605736727216342,0.4717448163569671,0.7662925502278362,2.4691815683310803,2.6541908707059076,5.444268032202803,21.233593241830373,97,1351,6,
600803,1549,1549,1.0,1549,0,1.0,True,6,0.15950121151565683,0.46358072554266705,0.8308759366492842,2.336957628171643,2.785438260374695,5.831225301477922,36.010250185048534,634,555,3,
600933,1553,1553,1.0,1553,0,1.0,True,8,0.15008835299594284,0.46277111215591965,0.7349766188036451,1.3032388496994285,1.9968861314945145,4.0132704627277525,11.996993877775475,459,453,7,
600863,1553,1553,1.0,1553,0,1.0,True,8,0.16690926919952082,0.45834069568741087,0.7632220846288235,1.8433088789661878,2.433654215190339,5.051323237730215,38.010784721941704,833,203,9,
600282,1557,1557,1.0,1557,0,1.0,True,1,0.17407836180256803,0.4537402988623016,0.7528363617575056,2.605841694975619,2.4009228113123906,4.815774931241718,36.329854045522595,795,619,5,
600641,1560,1560,1.0,1560,0,1.0,True,1,0.1517381870494702,0.45334373959813423,0.9594871660277612,2.532439901629435,2.3553861067545543,4.304920982745539,11.426019416699717,593,548,3,
600095,1550,1550,1.0,1550,0,1.0,True,10,0.14126235877174,0.44705662040343086,0.930744335451975,2.809658075354171,3.3013931436699755,5.775027136203579,33.695323847222,576,414,1,
600027,1550,1550,1.0,1550,0,1.0,True,10,0.15566737677745643,0.4401457617737669,0.6612750212207631,1.391048415055618,2.1974737197352443,4.219116490063477,11.413367127855844,280,1017,3,
603920,1558,1558,1.0,1558,0,1.0,True,3,0.13891785729847111,0.4161741762778036,0.7217283382505704,1.6393250344075794,2.3045423897810298,4.338070201761474,12.014567823243471,390,730,5,
603305,1554,1554,1.0,1554,0,1.0,True,7,0.1357929774086288,0.4085393689773702,0.773555676008388,3.2558245948757003,2.2633876356966756,4.1780556686134975,15.302370840330159,146,757,6,
600500,1552,1552,1.0,1552,0,1.0,True,9,0.14638310301312632,0.407232168446304,0.6024127489954241,1.8382321639027088,2.488107496420764,4.820856411430245,46.63770031511564,836,0,6,
601519,1551,1551,1.0,1551,0,1.0,True,10,0.13454679283365228,0.3659679903569302,0.674014504588788,2.931596091205213,2.760072443184461,4.888170977462469,16.238872626959665,0,0,3,
600584,1556,1556,1.0,1556,0,1.0,True,5,0.10820412317048396,0.36224400869095397,0.7268568581773183,1.7968917750537328,2.5500791508283926,4.231221652213782,13.214960528044628,704,358,0,
600482,1551,1551,1.0,1551,0,1.0,True,10,0.11572057446644274,0.3607370915510444,0.5846200452320038,1.8250266843585772,2.454555974934027,4.620690460995819,9.123633011982168,1017,144,2,
601298,1555,1555,1.0,1555,0,1.0,True,3,0.12607004016508372,0.35047232681636675,0.533723388488137,1.8518617548285987,2.504402937176206,5.179692076341748,30.464719007111974,691,615,4,
601088,1551,1551,1.0,1551,0,1.0,True,10,0.11785869906460883,0.3382603453189137,0.8159071155929121,1.9820971867007708,2.3384363971382505,4.37463486250288,21.781596597083418,831,281,0,
600566,1560,1560,1.0,1560,0,1.0,True,1,0.11151636655223322,0.33077150406684674,0.6081868362110543,1.8643226968395266,2.2707394989889065,4.31886098221671,48.821924032966116,471,658,3,
002155,1551,1551,1.0,1551,0,1.0,True,1,0.11569970515603326,0.32881744707336513,0.5804320494670057,2.059677871427801,2.301636135975683,4.161931923085249,37.9210502005254,87,1102,6,
600150,1546,1546,1.0,1546,0,1.0,True,14,0.09973146952430595,0.3164766546266934,0.6079001428039569,1.7200573783230366,2.5691565811226575,4.496412804806138,34.01948773787713,947,93,1,
603019,1551,1551,1.0,1551,0,1.0,True,10,0.09695897454882513,0.31293188590061916,0.5384601656628407,1.5176767855584083,2.385751825316597,3.967484546644312,26.624741918996786,430,588,3,
603160,1551,1551,1.0,1551,0,1.0,True,10,0.10432536081684646,0.3037195832335915,0.661759978542964,1.9902977681834688,2.657641681626105,4.58219203727423,34.55203952206839,469,687,3,
600535,1559,1559,1.0,1559,0,1.0,True,2,0.09831829618928892,0.2737908279273815,0.46363143220648406,1.8828711410611154,2.2175335596566383,4.016932871661283,11.13703490415141,614,703,4,
601211,1542,1542,1.0,1542,0,1.0,True,19,0.09681550985676515,0.2671271584131672,0.4244557173622909,1.912309499757081,2.662391303694342,4.919885786531453,37.1582633385048,43,1137,2,
