symbol,source_path,daily_cache_path,timestamp_meta_path,bar_times_observed,status,rows,error
000166,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000166_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000166_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000166_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000301,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000301_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000301_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000301_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1550,
000333,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000333_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000333_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000333_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000338,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000338_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000338_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000338_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000400,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000400_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000400_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000400_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000408,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000408_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000408_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000408_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1554,
000415,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000415_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000415_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000415_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000422,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000422_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000422_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000422_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1560,
000423,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000423_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000423_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000423_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
000425,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000425_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000425_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000425_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1538,
000426,saved_data/ashare_ml4t/ch12_as1455/baostock_5m_cache/000426_5m_raw.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000426_as1455_daily.csv,saved_data/ashare_ml4t/ch12_as1455/as1455_daily_cache/000426_as1455_daily.timestamp.json,09:35 09:40 09:45 09:50 09:55 10:00 10:05 10:10 10:15 10:20 10:25 10:30 10:35 10:40 10:45 10:50 10:55 11:00 11:05 11:10 11:15 11:20 11:25 11:30 13:05 13:10 13:15 13:20 13:25 13:30 13:35 13:40 13:45 13:50 13:55 14:00 14:05 14:10 14:15 14:20 14:25 14:30 14:35 14:40 14:45 14:50 14:55 15:00,cached,1561,
