symbol,factor_missing,factor_basis,raw_daily_obs,as1455_dates,matched_factor_dates,missing_factor_dates,factor_obs,factor_min,factor_max,factor_jump_dates
001696,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8156168566471659,1.0,7
001872,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8450649186263717,1.0,6
001896,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,1.0,1.0,0
001965,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.794172565531743,1.0,6
001979,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1545,1545,0,1593,0.8056511348343137,1.0,6
002001,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.5776626734612554,1.0,9
002007,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.6699062243351037,1.0,8
002008,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9424365850875829,1.0,7
002010,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8915735560872683,1.0,7
002015,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9386349445910244,1.0,5
002025,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9710921614389236,1.0,6
002027,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.774231778920141,1.0,11
002028,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9633776446481582,1.0,6
002032,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7359270008123973,1.0,8
002044,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9928217821782178,1.0,2
002046,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9404634595496282,1.0,6
002048,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7515570186289116,1.0,8
002049,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1550,1550,0,1593,0.70156461175369,1.0,5
002050,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.7161944708008531,1.0,11
002051,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9316324379050325,1.0,5
002056,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.8685088511514638,1.0,7
002064,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1557,1557,0,1593,0.8745265676459749,1.0,8
002065,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1561,1561,0,1593,0.9577133061330046,1.0,6
002074,False,raw_daily_preclose/prev_raw_close_reverse_cumprod,1593,1554,1554,0,1593,0.9895459634498064,1.0,3
