symbol,has_5m_bar_file,path
002653,False,
600396,False,
000661,False,
600353,False,
000921,False,
300458,False,
603728,False,
603345,False,
300776,False,
600114,False,
002747,False,
600312,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\600312_pipeline_out\00_base\raw_cache\600312_5m_raw.csv
603067,False,
600801,False,
002335,False,
600208,False,
603596,False,
603766,False,
300073,False,
002430,False,
601000,False,
000959,False,
600536,False,
600577,False,
603885,False,
000969,False,
603939,False,
000830,False,
002756,False,
600598,False,
601118,False,
002244,False,
600546,False,
600166,False,
002152,False,
600884,False,
000582,False,
600161,False,
600704,False,
002498,False,
603338,False,
000738,False,
601990,False,
603516,False,
600873,False,
000155,False,
600566,False,
600323,False,
300628,False,
600110,False,
603876,False,
002223,False,
002536,False,
603444,False,
600998,False,
601106,False,
600226,False,
603667,False,
603737,False,
300398,False,
600583,False,
002497,False,
000158,False,
600098,False,
000766,False,
601069,False,
601016,False,
600100,False,
300456,False,
600516,False,
002624,False,
601608,False,
601866,False,
002157,False,
002271,False,
002266,False,
601918,False,
600132,False,
002552,False,
601137,False,
601928,False,
300699,False,
000032,False,
601128,False,
002192,False,
002130,False,
002545,False,
600126,False,
601606,False,
600008,False,
600550,False,
000415,False,
000683,False,
000400,False,
600095,False,
600486,False,
601228,False,
603881,False,
601099,False,
300657,False,
300762,False,
300496,False,
603063,False,
603301,False,
601666,False,
300568,False,
300383,False,
002318,False,
300558,False,
600970,False,
300347,False,
600388,False,
002716,False,
002171,False,
600685,False,
000709,False,
300679,False,
000825,False,
600688,False,
600329,False,
603738,False,
002603,False,
600521,False,
000564,False,
300102,False,
600765,False,
600390,False,
002831,False,
603002,False,
002926,False,
600535,False,
300260,False,
600186,False,
600170,False,
600582,False,
000039,False,
000750,False,
600663,False,
300474,False,
603077,False,
601567,False,
601975,False,
603588,False,
603816,False,
300677,False,
603826,False,
601997,False,
601677,False,
601636,False,
000623,False,
300342,False,
603833,False,
603638,False,
002423,False,
002065,False,
603938,False,
300724,False,
601865,False,
000598,False,
002645,False,
002048,False,
000935,False,
002948,False,
603226,False,
002007,False,
600967,False,
603127,False,
603899,False,
300012,False,
000603,False,
002468,False,
002683,False,
002265,False,
600596,False,
000034,False,
002290,False,
001696,False,
002402,False,
002461,False,
300627,False,
000591,False,
000875,False,
002299,False,
300131,False,
600428,False,
600961,False,
300209,False,
300738,False,
601158,False,
603026,False,
600848,False,
600459,False,
600004,False,
600316,False,
000543,False,
002379,False,
600007,False,
600410,False,
300503,False,
002044,False,
002180,False,
300088,False,
603283,False,
002895,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\_recycle_data_cleanup_20260530_231404\asof1455_week_check\002895_pipeline_out\00_base\raw_cache\002895_5m_raw.csv
601098,False,
000050,False,
002176,False,
600552,False,
603733,False,
600012,False,
600606,False,
600171,False,
000539,False,
600518,False,
002506,False,
000739,False,
300323,False,
002670,False,
603233,False,
600602,False,
600038,False,
002500,False,
000686,False,
002120,False,
601020,False,
300003,False,
600339,False,
002389,False,
600301,False,
000937,False,
002611,False,
601969,False,
600435,False,
002913,False,
600380,False,
600131,False,
603997,False,
603337,False,
002270,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\002270_pipeline_out\00_base\raw_cache\002270_5m_raw.csv
300602,False,
000997,False,
603823,False,
300142,False,
603658,False,
300201,False,
600754,False,
603203,False,
603000,False,
601139,False,
000513,False,
000009,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\ashare_ml4t\ch12_as1455\baostock_5m_cache\000009_5m_raw.csv
600179,False,
002739,False,
603358,False,
002947,False,
300085,False,
002841,False,
300773,False,
000537,False,
600062,False,
002326,False,
601519,False,
600888,False,
002405,False,
300660,False,
300319,False,
300655,False,
300170,False,
300122,False,
601966,False,
600367,False,
600820,False,
000528,False,
000723,False,
600655,False,
000966,False,
002262,False,
300199,False,
601101,False,
601333,False,
000429,False,
002317,False,
601858,False,
300302,False,
603031,False,
002534,False,
603011,False,
600151,False,
002531,False,
002312,False,
300487,False,
002617,False,
600808,False,
603871,False,
000682,False,
300184,False,
300144,False,
600835,False,
600531,False,
002145,False,
601326,False,
300413,False,
603078,False,
603505,False,
600452,False,
300769,False,
600338,False,
603858,False,
603698,False,
600623,False,
300455,False,
600877,False,
000791,False,
000970,False,
000672,False,
300100,False,
002237,False,
300593,False,
000898,False,
600783,False,
603355,False,
600063,False,
600361,True,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\_recycle_data_cleanup_20260530_231404\asof1455_week_check\600361_pipeline_out\00_base\raw_cache\600361_5m_raw.csv
603025,False,
300083,False,
603305,False,
300179,False,
600528,False,
600959,False,
002958,False,
603601,False,
000762,False,
000778,False,
600928,False,
600739,False,
600172,False,
002897,False,
002320,False,
002925,False,
603267,False,
603303,False,
002896,False,
600629,False,
600184,False,
603936,False,
600403,False,
300364,False,
300263,False,
600763,False,
300457,False,
603800,False,
600363,False,
600120,False,
600750,False,
300726,False,
600343,False,
600511,False,
600651,False,
601369,False,
300005,False,
000927,False,
600320,False,
000534,False,
002158,False,
002508,False,
600744,False,
002249,False,
603039,False,
000563,False,
600761,False,
300296,False,
600575,False,
600490,False,
000681,False,
300409,False,
603868,False,
600397,False,
300735,False,
300331,False,
600867,False,
600589,False,
002151,False,
002568,False,
600113,False,
002254,False,
600548,False,
002838,False,
600776,False,
603317,False,
300723,False,
000973,False,
000902,False,
600816,False,
600416,False,
600710,False,
600933,False,
601019,False,
000901,False,
002815,False,
603009,False,
600366,False,
600773,False,
600456,False,
000592,False,
002865,False,
002643,False,
000700,False,
002565,False,
600258,False,
600675,False,
000581,False,
600779,False,
300304,False,
600475,False,
600022,False,
002946,False,
000422,False,
000758,False,
300676,False,
000767,False,
002396,False,
002051,False,
603328,False,
002410,False,
002773,False,
002183,False,
000680,False,
002654,False,
601965,False,
000088,False,
002779,False,
002181,False,
002733,False,
600764,False,
002741,False,
300166,False,
300002,False,
000620,False,
600201,False,
600633,False,
000612,False,
002922,False,
600458,False,
600167,False,
600056,False,
603515,False,
600872,False,
601375,False,
300613,False,
603906,False,
002010,False,
002906,False,
002408,False,
000685,False,
300229,False,
603360,False,
600621,False,
300034,False,
002507,False,
002081,False,
603297,False,
300720,False,
300469,False,
002416,False,
600409,False,
002544,False,
002372,False,
002759,False,
000785,False,
300718,False,
002768,False,
002413,False,
000089,False,
300328,False,
002929,False,
000099,False,
002911,False,
002867,False,
600821,False,
002297,False,
600064,False,
300253,False,
600271,False,
002208,False,
000553,False,
300468,False,
