date,hog_spot,hog_corn,hog_soymeal,hog_piglet,hog_sow,hog_pig_corn_ratio,hog_pork_wholesale,hog_fut_open,hog_fut_high,hog_fut_low,hog_fut_close,hog_fut_volume,hog_fut_hold,hog_fut_settle,hog_spot_ret1,hog_spot_ret5,hog_spot_ret20,hog_spot_ma20_gap,hog_spot_z20,hog_spot_z60,hog_corn_ret1,hog_corn_ret5,hog_corn_ret20,hog_corn_ma20_gap,hog_corn_z20,hog_corn_z60,hog_soymeal_ret1,hog_soymeal_ret5,hog_soymeal_ret20,hog_soymeal_ma20_gap,hog_soymeal_z20,hog_soymeal_z60,hog_piglet_ret1,hog_piglet_ret5,hog_piglet_ret20,hog_piglet_ma20_gap,hog_piglet_z20,hog_piglet_z60,hog_sow_ret1,hog_sow_ret5,hog_sow_ret20,hog_sow_ma20_gap,hog_sow_z20,hog_sow_z60,hog_pig_corn_ratio_ret1,hog_pig_corn_ratio_ret5,hog_pig_corn_ratio_ret20,hog_pig_corn_ratio_ma20_gap,hog_pig_corn_ratio_z20,hog_pig_corn_ratio_z60,hog_pork_wholesale_ret1,hog_pork_wholesale_ret5,hog_pork_wholesale_ret20,hog_pork_wholesale_ma20_gap,hog_pork_wholesale_z20,hog_pork_wholesale_z60,hog_fut_close_ret1,hog_fut_close_ret5,hog_fut_close_ret20,hog_fut_close_ma20_gap,hog_fut_close_z20,hog_fut_close_z60,hog_fut_volume_ret1,hog_fut_volume_ret5,hog_fut_volume_ret20,hog_fut_volume_ma20_gap,hog_fut_volume_z20,hog_fut_volume_z60,hog_fut_hold_ret1,hog_fut_hold_ret5,hog_fut_hold_ret20,hog_fut_hold_ma20_gap,hog_fut_hold_z20,hog_fut_hold_z60,hog_fut_vol20,hog_fut_spot_basis,hog_fut_spot_basis_z60,hog_feed_cost_index,hog_feed_cost_ret20
2025-09-23,12.72,2381.0,3065.0,,,,,12760.0,12840.0,12655.0,12665.0,44660.0,93514.0,12730.0,-0.0015698587127158659,-0.016241299303944245,-0.09530583214793742,-0.04611923509561289,-1.479888335198105,-2.5345952950344532,0.0059146599070554196,0.0029486099410278577,-0.0008392782207301552,0.002209828475218334,0.4975124223799336,-0.5570142491815918,0.004259501965923951,0.0,0.0,0.0005059654964174598,0.21462614627183246,0.5055612893028094,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,-0.01016021883548257,-0.012860483242400633,-0.06531365313653137,-0.03923056082362497,-2.241068883987025,-2.4466924666133525,0.11155358653989755,-0.2179455748958078,1.3002832861189804,0.23928921835822514,0.7563738244228395,1.0856459029714378,-0.005646233186240579,-0.05530917576700445,0.27063970867981957,0.1232826172942465,1.1651527647023399,1.864662827263192,0.005259576650932259,-0.00432389937106914,-0.11114517020871142,2620.4,-0.000495861463935543
2025-09-24,12.59,2363.0,3056.0,,,5.68,,12665.0,12770.0,12645.0,12730.0,39050.0,90819.0,12700.0,-0.010220125786163603,-0.015637216575449475,-0.09942775393419179,-0.05110039192041005,-1.6938525806334295,-2.6993197729706973,-0.007559848803023961,-0.013361169102296455,-0.011297071129707126,-0.005324858459790027,-1.205971505373848,-1.7943979306130322,-0.0029363784665579207,-0.0019595035924232507,-0.004560260586319198,-0.0024318986763288697,-1.0315901869193065,0.20074500551738939,0.0,,,,,,0.0,,,,,,-0.022375215146299476,,,,,,,,,,,,0.0051322542439795615,-0.007407407407407418,-0.04751215862326974,-0.029646367026923914,-1.5997249684169421,-2.122879884054418,-0.12561576354679804,0.027415280993475122,0.2533701373732187,0.03197674418604657,0.11487795507831887,0.6378819915629714,-0.02881921423530165,-0.06131202778265854,0.16385375418092352,0.07258059753995805,0.7033628788551306,1.533144131207705,0.005497494589033833,0.011119936457505863,0.8437457844430315,2605.55,-0.008542617960426102
2025-09-25,12.6,2378.0,3048.0,29.07,,,,12730.0,12760.0,12665.0,12685.0,30918.0,89538.0,12700.0,0.000794281175536149,-0.012539184952978122,-0.09287257019438455,-0.04534606205250591,-1.531873358165213,-2.494682717489885,0.006347862886161737,-0.0016792611251049694,0.0016849199663016012,0.001558354041190979,0.35989436199794256,-0.7173696150654082,-0.002617801047120394,-0.005221932114882533,-0.000983284169124854,-0.0048159333931924175,-2.0395307143130736,-0.08236700708500523,-0.031968031968031996,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,-0.0035349567949725103,,-0.04803001876172608,-0.029721903513085346,-1.537515197022444,-2.095484212993729,-0.20824583866837387,,-0.16862513108714938,-0.1949246169469585,-0.7227536631791999,-0.1429589752254184,-0.014104978033230964,,0.1478936437527243,0.04616791839180512,0.4563871952786521,1.3761203910285706,0.005244756966082799,0.006746031746031722,0.562698999877638,2612.5,0.0005936536509700829
2025-09-26,12.51,2390.0,3065.0,,,,,12660.0,12680.0,12570.0,12575.0,38742.0,85019.0,12625.0,-0.0071428571428571175,-0.018823529411764683,-0.09347826086956523,-0.047510278666057615,-1.656206466148934,-2.551863922034642,0.005046257359125228,0.006739679865206405,0.0037799244015119804,0.006527690040008416,1.502883588195881,0.1207441688685834,0.005577427821522374,0.0026169447170427684,0.0,0.0007836478808855851,0.31939540200134625,0.45252767849642345,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,-0.008671659440283808,,,-0.03476067766873181,-1.7318973592836913,-2.2120602214282483,0.25305647195808256,,,0.020710109280876576,0.07452437734959194,0.6086064476996869,-0.05047019142710363,,,-0.016104993680507218,-0.16515297149007624,0.9866353917014997,0.005249283862678203,0.005195843325339622,0.4598996086500876,2626.25,0.0022324835902916007
2025-09-27,12.45,2360.0,3047.0,,,,,,,,,,,,-0.004796163069544446,-0.02276295133438,-0.0919037199124727,-0.04740043612992084,-1.6878117311692618,-2.525728761954072,-0.012552301255230103,-0.0029573299535277098,-0.011725293132328285,-0.006294869365670808,-1.384637309558493,-1.9083907140685492,-0.005872756933115841,-0.00163826998689387,-0.005223636957231492,-0.005093711225755859,-2.07607011300866,-0.16521969915128104,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.005392877758191534,,,2600.45,-0.009069257883204784
2025-09-28,12.37,2362.0,3057.0,,,,,,,,,,,,-0.006425702811244993,-0.027515723270440384,-0.0897718910963945,-0.048937069926575205,-1.7711313088063818,-2.5360874241625875,0.0008474576271186862,-0.007979840403191885,-0.007563025210084007,-0.004866128794421942,-1.066371725732611,-1.6858598004111207,0.003281916639317428,-0.002610114192495905,0.0,-0.0015677052714090367,-0.5795788144956416,0.1466420502766286,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.005392877758191534,,,2605.25,-0.00447085347446452
2025-09-29,12.34,2380.0,3063.0,,,,,12550.0,12560.0,12240.0,12295.0,58720.0,75453.0,12345.0,-0.0024252223120452276,-0.019857029388403502,-0.08660251665433016,-0.046773009926229236,-1.6882311398078989,-2.431799323254823,0.007620660457239525,0.007194244604316502,0.003795866722901664,0.003097802035698427,0.6673767489705544,-0.45789734428732054,0.001962708537782243,0.0022905759162303863,0.0006533812479581069,0.0003919263178522314,0.14489470362388296,0.3297499134990831,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,-0.02226640159045723,-0.03417124901806756,-0.07067271352985638,-0.05246064075745904,-2.4804797703705743,-2.6127657785213616,0.5156677507614476,0.5037131882202304,1.2128429303587578,0.5370606855521005,1.9501280271261643,2.8318979625815026,-0.11251602582952047,-0.1691936709278895,-0.032157516675218045,-0.1322646228914326,-1.4308400618442312,0.15093806995429732,0.005423413766279442,-0.003646677471636939,-0.0708782492154341,2619.05,0.002507177033492791
2025-09-30,12.24,2375.0,3062.0,28.25,31.88,,,12755.0,12835.0,12665.0,12825.0,31876.0,76877.0,12750.0,-0.008103727714748765,-0.02857142857142858,-0.08451757666417348,-0.050205633584232134,-1.8115437095373343,-2.4765145230048184,-0.0021008403361344463,-0.001261564339781307,0.002956081081081141,0.0008006405124099114,0.1707773257025702,-0.7625783074857222,-0.00032647730982693357,0.0045931758530184386,-0.001955671447196883,3.265945981256735e-05,0.012071780000221678,0.2680898975194896,-0.028207774337805303,-0.028207774337805303,,,,,-0.019680196801968197,,,,,,0.0,,,,,,,,,,,,0.043106954046360224,0.011036657469452038,-0.0368006008261359,-0.00650159081477375,-0.26385639408295003,-1.3247518492027133,-0.4571525885558583,0.03098518662267935,-0.02298780114019494,-0.21297019697613673,-0.7656727083221904,-0.059361869736391,0.018872675705406072,-0.14140364984699239,0.015293387392860458,-0.11406365240754401,-1.1956809629588312,0.2200314121112517,0.0069426431108674325,0.047794117647058876,3.014726640186056,2615.45,0.0009376195943360255
2025-10-01,12.22,2389.0,3044.0,,,,,,,,,,,,-0.0016339869281045694,-0.023181454836130988,-0.08258258258258255,-0.04758193367366825,-1.6680553977272607,-2.3701665663355023,0.005894736842105175,-0.0004184100418409553,0.005894736842105175,0.006551644230971876,1.4051208173993035,0.18118622812013946,-0.005878510777269752,-0.006851549755301778,-0.00457815565729236,-0.005748628168278036,-2.1571410320228406,-0.4123340811147255,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.0124226696965483,,,2618.25,0.0016067022436447864
2025-10-02,12.06,2378.0,3043.0,,,,,,,,,,,,-0.013093289689034338,-0.031325301204819134,-0.09391435011269722,-0.05600563578724893,-1.9276443816427205,-2.54437819743039,-0.004604437002930117,0.007627118644067732,-0.002516778523489971,0.0016216330054965589,0.3319023936650779,-0.5401955621297521,-0.0003285151116951823,-0.0013127666557269935,-0.006853785900783338,-0.005847953216374324,-1.980669243179952,-0.5006955008880407,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,0.012419490606189094,,,2610.75,-0.004290617848970224
