stock_code,model_type,alpha,gamma,n_components,svd_components,degree,interaction_only,n_windows,median_valid_rmse_norm,mean_valid_rmse_norm,median_valid_rmse,median_valid_spearman,mean_valid_spearman,median_valid_pred_std_ratio,median_test_rmse_norm,mean_test_rmse_norm,median_test_spearman,mean_test_spearman,median_effective_df_over_n,median_kernel_effective_df_over_n,median_train_valid_rmse_gap,median_valid_test_rmse_gap,median_zero_valid_rmse,median_train_mean_valid_rmse,passes_valid_gate,capacity_risk_rate,overfit_risk_rate,collapse_risk_rate,model_complexity,params
603308,kernel_ridge_rbf,0.001,4.5662100456621006e-05,,,,,1,2.9410807281118427,2.9410807281118427,580.2826275578916,-0.11760752688172045,-0.11760752688172045,1.4025376558529032,3.2178105163030706,3.2178105163030706,0.22857142857142856,0.22857142857142856,,0.562586430736436,2.481628491094116,0.27672978819122784,200.10441227007237,203.20968588461187,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 4.5662100456621006e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.128205128205128e-05,,,,,1,1.7268270400405406,1.7268270400405406,367.79008696872165,0.13066436251920122,0.13066436251920122,1.5473982830252508,3.223705684266183,3.223705684266183,0.06623376623376624,0.06623376623376624,,0.58585673489579,1.2911597852081296,1.4968786442256425,214.5790169809051,216.64229306914518,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.128205128205128e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.200208008320333e-05,,,,,1,2.2831913876642718,2.2831913876642718,479.7371886646724,0.1776593701996928,0.1776593701996928,1.482609834200908,6.435057139293665,6.435057139293665,-0.08571428571428572,-0.08571428571428572,,0.5880544856420337,1.8473471742022685,4.151865751629393,210.46428713196772,211.38443915364223,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.200208008320333e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.2659294365455505e-05,,,,,1,2.955759928168631,2.955759928168631,451.289135244357,-0.024433563748079878,-0.024433563748079878,2.128128882603434,3.2166536404144557,3.2166536404144557,0.2896103896103896,0.2896103896103896,,0.591872781075575,2.522034892415631,0.2608937122458248,154.1023489361051,156.22125140248923,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.2659294365455505e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.307855626326964e-05,,,,,1,3.0036990749783006,3.0036990749783006,620.9062529404133,-0.03701036866359447,-0.03701036866359447,2.0583613051504117,3.732734764400442,3.732734764400442,0.07532467532467534,0.07532467532467534,,0.5923576115997773,2.5745817036746774,0.7290356894221413,209.6249087042847,211.62296293406186,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.307855626326964e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.333333333333333e-05,,,,,2,2.2127533276701667,2.2127533276701667,503.72391908153645,0.11057507680491552,0.11057507680491552,0.9589729056547948,1.9862555065543568,1.9862555065543568,0.04350649350649351,0.04350649350649351,,0.5923573362096752,1.7816017675403382,-0.22649782111581007,230.6066123056224,231.46085089333567,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.333333333333333e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.3504547886570356e-05,,,,,19,1.8824530106696469,1.9397587027172873,594.1009213139832,0.07037250384024578,0.05350513090744792,1.3494669626558584,2.238221676723485,2.5095305698720476,0.12857142857142856,0.13862174002200844,,0.586102995230408,1.4556894300883634,0.7207283405836136,323.19526930575324,324.06452983024843,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.3504547886570356e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.592841163310962e-05,,,,,1,2.0016538752577575,2.0016538752577575,560.435954863514,0.25916858678955457,0.25916858678955457,1.1061442375315738,1.7607186971256474,1.7607186971256474,0.35844155844155845,0.35844155844155845,,0.590726329992186,1.5949826402572587,-0.24093517813211007,284.2259845774655,282.70102469538455,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.592841163310962e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.6022408963585436e-05,,,,,2,1.5358454930762675,1.5358454930762675,507.4264416800653,0.27918586789554534,0.27918586789554534,0.8661228282966233,2.72808325074705,2.72808325074705,0.2525974025974026,0.2525974025974026,,0.5919631149406843,1.1246384346898666,1.1922377576707825,338.27072369220434,336.6281857437974,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.6022408963585436e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,5.611672278338945e-05,,,,,5,1.764647961773801,1.6730632523545665,562.4933238174118,0.219134024577573,0.2250768049155146,1.3441330855693416,1.0654945356459709,1.1369505362000898,0.42987012987012985,0.3880519480519481,,0.5879997154591214,1.350359583748587,-0.4393092888664547,360.99475408797065,359.71583553122844,False,0.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 5.611672278338945e-05, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,0.00013698630136986303,,,,,1,2.7036037512835356,2.7036037512835356,533.4278225261019,-0.10968701996927804,-0.10968701996927804,1.298882319594175,3.211810691768591,3.211810691768591,0.21818181818181817,0.21818181818181817,,0.8275516606348542,2.516779285622965,0.5082069404850555,200.10441227007237,203.20968588461187,False,1.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 0.00013698630136986303, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,0.00015384615384615385,,,,,1,1.6888388687716942,1.6888388687716942,359.69913605656564,0.12130376344086023,0.12130376344086023,1.4314278156028362,3.375383248628397,3.375383248628397,0.04285714285714286,0.04285714285714286,,0.8496787911819835,1.5280608645897478,1.6865443798567026,214.5790169809051,216.64229306914518,False,1.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 0.00015384615384615385, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,0.00015600624024960998,,,,,1,2.3378522314623313,2.3378522314623313,491.22235792179106,0.15456989247311828,0.15456989247311828,1.452168111548644,7.2722838342237575,7.2722838342237575,0.0025974025974025974,0.0025974025974025974,,0.8525496670603758,2.1812229258089837,4.934431602761427,210.46428713196772,211.38443915364223,False,1.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 0.00015600624024960998, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
603308,kernel_ridge_rbf,0.001,0.00015797788309636652,,,,,1,3.2706247443483,3.2706247443483,499.36309052686113,-0.056595622119815676,-0.056595622119815676,2.3161816418228485,2.805899192237554,2.805899192237554,0.11038961038961038,0.11038961038961038,,0.8558397929832604,3.1159032564011304,-0.46472555211074607,154.1023489361051,156.22125140248923,False,1.0,1.0,0.0,5,"{""alpha"": 0.001, ""degree"": null, ""gamma"": 0.00015797788309636652, ""interaction_only"": null, ""n_components"": null, ""svd_components"": null}"
