date,copper_spot,copper_near_basis,copper_dom_basis,copper_near_basis_rate,copper_dom_basis_rate,copper_spot_ret1,copper_spot_ret5,copper_spot_ret20,copper_spot_ma20_gap,copper_spot_z20,copper_dom_basis_rate_ret1,copper_dom_basis_rate_ret5,copper_dom_basis_rate_ret20,copper_dom_basis_rate_ma20_gap,copper_dom_basis_rate_z20,gold_spot,gold_near_basis,gold_dom_basis,gold_near_basis_rate,gold_dom_basis_rate,gold_spot_ret1,gold_spot_ret5,gold_spot_ret20,gold_spot_ma20_gap,gold_spot_z20,gold_dom_basis_rate_ret1,gold_dom_basis_rate_ret5,gold_dom_basis_rate_ret20,gold_dom_basis_rate_ma20_gap,gold_dom_basis_rate_z20,silver_spot,silver_near_basis,silver_dom_basis,silver_near_basis_rate,silver_dom_basis_rate,silver_spot_ret1,silver_spot_ret5,silver_spot_ret20,silver_spot_ma20_gap,silver_spot_z20,silver_dom_basis_rate_ret1,silver_dom_basis_rate_ret5,silver_dom_basis_rate_ret20,silver_dom_basis_rate_ma20_gap,silver_dom_basis_rate_z20
2026-03-16,99333.33,266.66999999999825,386.66999999999825,0.0026845974055234034,0.0038926511373371664,-0.012738359091586715,-0.00833596806495629,-0.007014245014244969,-0.02055120934452548,-3.065922509955827,-2.284128177649789,16.993556239020908,4.990790100362411,0.3580355295399815,0.1718749483670456,1133.24,2.759999999999991,-11.740000000000009,0.002435494687797801,-0.01035967667925597,-0.006391765231953506,-0.004305270001933037,0.04322050281232448,-0.008057714788145431,-0.36497256249866983,1.5519486053978646,-3.183474521431245,-3.9382802036316598,-14.862690595898014,-1.4768596602366966,21978.0,-1478.0,-1677.0,-0.06724906724906721,-0.07630357630357631,0.0,0.018820693491563123,0.08122201997343437,-0.007416488434367596,-0.1560165096954892,0.5895734597156403,64.84082992083063,0.015067274556803234,2.1192021959324006,-2.093087053512879
2026-03-17,100351.67,-1011.6699999999983,-931.6699999999983,-0.010081247277698546,-0.009284050778626818,0.010251745310461136,-0.011346031701620074,-0.012740210771292393,-0.010167735998975469,-1.3433021301689714,-3.385019990509021,-57.530418111547775,-5.88125405140601,-4.065532627371664,-2.068767272225962,1116.91,-0.7100000000000364,2.25,-0.000635682373691715,0.0020144863955018355,-0.014410010236137083,-0.027276765108035783,-0.0044566854738793404,-0.024356368356550084,-1.2877089568822782,-1.1944545624223588,-0.5308126340959367,-0.439187982139576,36.984513192611026,0.24882432440365193,20656.0,-285.0,-348.0,-0.013797443841983004,-0.016847405112316083,-0.0601510601510602,-0.10696065715520964,-0.07503558847143976,-0.07058645270417352,-1.6278592039855064,-0.7792055637695392,0.04752817270932708,-0.7420727845746085,-0.31288818235429694,0.3082167540232617
2026-03-18,99083.33,-493.33000000000175,-473.33000000000175,-0.0049789404534547055,-0.004777090152299102,-0.012638952595407704,-0.022429110980066724,-0.027243721745683458,-0.02205359365928672,-2.8002077560844585,-0.4854519577492369,1.34281681001994,0.6310341741448606,-2.9346506613256524,-1.1049888375578434,1111.43,2.089999999999918,5.329999999999927,0.0018804603078914628,0.004795623656010717,-0.004906393532155717,-0.03455494653451585,-0.007004565475711821,-0.028931197866746916,-1.5080147830758703,1.380568896726683,0.2809210925837966,1.75261419972459,-186.54828638906747,0.6139309227475465,20090.0,-93.0,-110.0,-0.004629168740666989,-0.005475360876057711,-0.027401239349341577,-0.1209289361402347,-0.06268968403451203,-0.09263292001836954,-2.001312854491686,-0.6750027176556099,-0.7906334756766539,-0.8979210746141657,-0.7521968750102985,0.7227176142055786
2026-03-19,95633.33,-1203.3300000000017,-1213.3300000000017,-0.012582747040179365,-0.012687313094712938,-0.03481917694934156,-0.051930735359095315,-0.056436231547596916,-0.05481048905993091,-5.9667221766784735,1.6558663726718303,-10.251720231883601,-2.5555196522212924,-6.337946546075802,-2.2651934235409534,1074.88,-12.88000000000011,-9.620000000000118,-0.011982732956237085,-0.008949836260792043,-0.0328855618437508,-0.06205933682373466,-0.04399875483612736,-0.0605435820971183,-3.0792152265094237,-2.866250753345613,-2.858063832403614,-2.663264198317547,-71.56831189156118,-1.1461842431971703,18757.67,-734.6699999999983,-773.6699999999983,-0.039166378340166896,-0.04124552782941582,-0.06631806869089107,-0.15110874172443178,-0.09504203801006095,-0.1502292502824787,-2.9772903714155676,6.532933219026983,25.287534393494763,-4.9519423557709805,1.0950160988300803,-0.9789780863967434
2026-03-20,95813.33,-1033.3300000000017,-1073.3300000000017,-0.010784825034261925,-0.011202303479067033,0.0018821889816029724,-0.04772320230581917,-0.061879897580936594,-0.05034710509972384,-3.2824700387191728,-0.11704681712826481,2.695474637856881,-3.092905332262055,-9.393541258375777,-1.717739856910811,1053.46,-14.240000000000009,-11.440000000000055,-0.013517361836234865,-0.010859453610008951,-0.019927805894611517,-0.07634170078823,-0.06344126171298514,-0.07727006970006867,-3.2615943715280116,0.21336897051208292,1.6750610422945629,-10.396100468930644,17.414873538067482,-1.2732789710922396,18436.67,-722.6699999999983,-811.6699999999983,-0.039197425565462685,-0.044024761521467726,-0.017112999642279636,-0.16113067613067622,-0.13471300511568973,-0.16102762735826992,-2.703089205454519,0.06738266760814238,-0.08286615287315846,0.3774384636386394,0.9767249592975886,-1.020260391091883
2026-03-23,93006.67,-886.6699999999983,-906.6699999999983,-0.009533402281793335,-0.009748440622591836,-0.02929300129741863,-0.06369121019098023,-0.07323877924606303,-0.07526900247934909,-4.008454112018649,-0.12978249153773858,-3.5043191076353226,-4.579266961460622,-20.231755397123223,-1.324292255171157,964.07,-24.07000000000005,-21.270000000000095,-0.02496706670677451,-0.022062713288454217,-0.08485372012226378,-0.14927994070099881,-0.1294843201170235,-0.15291982010518312,-5.217225353697427,1.0316596102145907,1.1296719937826052,-10.29041562188803,17.532764467704155,-2.4935639181991487,16643.33,-1145.3300000000017,-1232.3300000000017,-0.06881615638216643,-0.07404347567463976,-0.09727027711620351,-0.24272772772772766,-0.16592889864004456,-0.23765597900748736,-3.400807484669219,0.6818597788095695,-0.029619851891930615,7.573596866237592,2.2369102876315288,-2.3498239907602225
2026-03-24,93955.0,155.0,75.0,0.001649725932627355,0.000798254483529437,0.0101963654864754,-0.06374253662146323,-0.07523086255453215,-0.062414246840797216,-2.4649309403339283,-1.0818853511483155,-1.0859812707365981,-0.6168501798006133,-7.839734506310007,0.11362965319348031,954.73,22.549999999999955,25.069999999999936,0.02361924313680297,0.026258732835461318,-0.009688093188254032,-0.1452041793877753,-0.16848403560417358,-0.15580806930874724,-3.4534478651998204,-2.1901860162051303,12.034951685002527,11.995582701301686,-11.885146019821045,3.0096364864603005,16612.67,582.3300000000017,472.33000000000175,0.035053365894826216,0.02843191371405096,-0.001842179419623613,-0.19574603020914028,-0.2670558602503257,-0.2332460731292758,-2.68970379362986,-1.3839894528855705,-2.687613820912169,-2.9028209576022603,-2.0874662020123145,2.2468073871911307
2026-03-25,95731.67,-181.66999999999825,-141.66999999999825,-0.0018977001027977725,-0.0014798655450176668,0.01890979724336117,-0.03382667901855951,-0.06280185149452255,-0.04102748050949656,-1.4266195692312649,-2.8538768970949278,-0.6902161152840203,-1.2033596618881084,7.177602547104875,-0.16157913775549998,1017.09,-6.050000000000068,-3.1299999999999955,-0.005948342821185948,-0.003077407112448305,0.06531689587632106,-0.08488163896961576,-0.11336890004707367,-0.09291007405015939,-1.6223197132719551,-1.1171955681080084,-1.6417115547820686,-1.9005655089219746,1.5635695901017885,-0.1637185050354602,18268.33,-94.33000000000175,-157.33000000000175,-0.0051635809075050165,-0.008612171993827689,0.09966248652384024,-0.09067546042807362,-0.20967640060566728,-0.14488458490859946,-1.4239161353770449,-1.3029051115040344,0.5728957759636288,1.3147715771782384,-0.6408063876956798,0.5666168650505883
2026-03-26,95521.67,-201.66999999999825,-171.66999999999825,-0.002111248683152156,-0.0017971838222677894,-0.0021936314283454994,-0.0011675845649210537,-0.06334471675154962,-0.040046737007874866,-1.3484231771941062,0.21442372134309973,-0.8583479568249394,-1.2662673535830975,1.9042427534102866,-0.15016080619426347,1009.31,-16.34999999999991,-13.329999999999927,-0.016199185582229325,-0.01320704243493076,-0.007649273908897025,-0.06100215838047052,-0.11851424878385342,-0.09459800702300802,-1.5523115487663839,3.2916136709723727,0.4756741967212217,-11.287207930897571,7.65939972186054,-1.023036822288364,17874.67,-355.66999999999825,-402.66999999999825,-0.01989798972512491,-0.022527408897618728,-0.021548767730821816,-0.04707407689761045,-0.22813175936957386,-0.15371156646241202,-1.451012791137616,1.6157639343204058,-0.4538217818235205,-0.10925555140929089,-0.0699219862211855,0.062853349973813
2026-03-27,95520.0,430.0,410.0,0.004501675041876041,0.004292294807370256,-1.748294392256433e-05,-0.003061473805367143,-0.06478251151129166,-0.03693740286699054,-1.2120071587449388,-3.3883448950447335,-1.3831618037657138,-0.7541673732382173,-5.102945008374563,0.6973451745205447,995.38,-0.20000000000004547,3.2799999999999727,-0.0002009282886937802,0.003295223934577818,-0.013801507960884085,-0.05513261063542996,-0.1305813709733772,-0.1016259777369527,-1.576136834498005,-1.2495050614710237,-1.3034428851503792,0.24921721133092634,-2.4647314197411685,0.4744219821064383,17874.67,-316.66999999999825,-385.66999999999825,-0.01771613126284277,-0.02157634238841888,0.0,-0.03048272817162756,-0.22266029475526283,-0.14299353354508704,-1.2992583359259355,-0.04221819355799872,-0.5099043891947571,-21.39214439082027,-0.10407785693187754,0.09301812324976845
2026-03-30,95260.0,440.0,500.0,0.004618937644341736,0.005248792777661215,-0.002721943048576203,0.02422761722358202,-0.06778447717300107,-0.03634446671263836,-1.1800662121799437,0.2228406978590023,-1.5384238342178782,-0.6775404426847038,-4.079289673933957,1.0777722691749765,1005.93,5.090000000000032,8.950000000000045,0.005059994234191345,0.008897239370532883,0.01059896722859599,0.043420083603887605,-0.1517510055738729,-0.08593740416327267,-1.2592579226491576,1.7000408916587917,-1.4032704071438464,-0.06874252452593033,-5.013473994965316,0.9496654294238442,17535.0,221.0,172.0,0.012603364699173003,0.00980895352152844,-0.019002868304701437,0.05357521601746762,-0.2769072164948454,-0.14883187915131024,-1.3160389992988433,-1.4546161413712737,-1.132475595346587,0.31418299943130745,-1.389019534640045,1.3315707556259058
