date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount
2018-04-16,2344.751,2358.121,2305.108,2331.765,91827016,1155180480.0
2018-04-17,2334.564,2337.797,2266.253,2272.32,97646079,1137447930.0
2018-04-18,2272.191,2279.101,2207.473,2279.101,90976538,1017015010.0
2018-04-19,2278.339,2278.339,2227.976,2269.967,102465811,1197006610.0
2018-04-20,2256.132,2257.288,2195.33,2205.82,120716525,1204856140.0
2018-04-23,2206.339,2207.365,2163.41,2207.365,102818754,974928300.0
2018-04-24,2212.688,2248.072,2205.383,2248.072,101805896,1132175930.0
2018-04-25,2233.372,2248.801,2204.68,2248.801,94209733,1089921970.0
2018-04-26,2240.076,2240.076,2193.036,2193.036,85193539,895546200.0
2018-04-27,2201.213,2202.61,2162.595,2202.61,86669518,935440120.0
2018-05-02,2202.593,2235.757,2185.264,2187.839,108298553,1056407330.0
2018-05-03,2194.345,2206.513,2155.596,2206.513,102023553,1190112960.0
2018-05-04,2214.574,2219.065,2196.567,2199.597,81680035,1209666210.0
2018-05-07,2180.832,2243.497,2180.832,2228.81,135846420,2356757200.0
2018-05-08,2231.037,2261.463,2217.69,2243.908,117962980,1773158100.0
2018-05-09,2239.761,2257.102,2229.547,2255.781,111410004,1529343700.0
2018-05-10,2255.52,2265.737,2237.871,2265.451,99498369,1279639980.0
2018-05-11,2264.552,2280.613,2240.025,2240.025,113574927,1568697500.0
2018-05-14,2237.496,2251.446,2226.166,2233.786,91622796,1194420560.0
2018-05-15,2235.256,2265.687,2233.415,2259.938,128230134,1480636900.0
2018-05-16,2253.226,2255.505,2226.002,2238.679,115607414,1316019900.0
2018-05-17,2240.444,2249.815,2231.407,2242.497,91492847,1065723700.0
2018-05-18,2243.699,2265.789,2234.692,2245.435,91814402,1036435890.0
2018-05-21,2263.516,2275.247,2257.786,2263.205,129066448,1405930900.0
2018-05-22,2265.483,2274.143,2246.41,2267.698,96948698,1215685140.0
2018-05-23,2266.076,2266.076,2230.594,2239.455,95385170,1178894740.0
2018-05-24,2236.796,2247.851,2214.541,2227.924,73803188,861025870.0
2018-05-25,2224.985,2240.886,2203.713,2204.151,106232158,1093060790.0
2018-05-28,2202.855,2206.389,2146.752,2152.645,167413000,1570088200.0
2018-05-29,2128.094,2177.172,2116.927,2116.927,88141555,1010113080.0
2018-05-30,2081.919,2101.423,2011.323,2011.323,156339160,1848680900.0
2018-05-31,2025.721,2040.889,2001.609,2029.423,129772457,1405079400.0
2018-06-01,2026.856,2048.533,2010.442,2033.378,142883050,1487254100.0
2018-06-04,2039.263,2043.995,2014.27,2014.27,101391614,1068493580.0
2018-06-05,2016.746,2041.017,2007.788,2041.017,95078544,1077553720.0
2018-06-06,2037.711,2052.1,2033.232,2045.88,81291891,890477090.0
2018-06-07,2044.718,2053.449,2015.951,2029.25,73590562,864148460.0
2018-06-08,2026.015,2032.001,1978.624,2016.179,100042456,1056529120.0
2018-06-11,2011.902,2027.975,2006.308,2011.363,75425366,911159910.0
2018-06-12,2022.792,2044.201,1998.934,2020.015,76701608,957248510.0
2018-06-13,2017.952,2017.952,1970.653,1994.324,86886709,1063667380.0
2018-06-14,1983.691,2012.355,1967.783,1986.038,82966104,889467870.0
2018-06-15,1984.286,2001.436,1911.65,1911.65,84872714,948221680.0
2018-06-19,1871.536,1892.08,1740.177,1740.177,101241538,908712200.0
2018-06-20,1726.159,1767.35,1707.412,1767.35,75536627,714051000.0
2018-06-21,1771.019,1791.111,1711.707,1711.707,75078816,762269090.0
2018-06-22,1708.857,1753.89,1675.101,1747.035,59146014,680053480.0
2018-06-25,1755.991,1779.996,1741.551,1749.412,65185693,818323950.0
2018-06-26,1721.688,1787.329,1703.982,1779.231,72769296,906419870.0
2018-06-27,1778.806,1820.79,1776.807,1810.664,86935915,1002887980.0
2018-06-28,1819.218,1821.078,1773.333,1816.725,87447643,1199425220.0
2018-06-29,1809.109,1870.187,1809.109,1870.187,101860924,1539589400.0
2018-07-02,1873.175,1882.875,1835.625,1842.505,121204937,1701688600.0
2018-07-03,1849.845,1868.409,1819.597,1859.394,103352156,1488259500.0
2018-07-04,1849.405,1855.092,1820.264,1827.169,108344925,1411381500.0
2018-07-05,1816.661,1824.235,1756.105,1763.844,98126164,1307056630.0
2018-07-06,1759.515,1789.946,1726.23,1768.426,95085086,1140991940.0
2018-07-09,1763.194,1801.921,1763.194,1795.649,65755206,842848050.0
2018-07-10,1798.701,1818.753,1790.8,1818.753,66885776,966377490.0
2018-07-11,1796.287,1821.95,1759.85,1759.85,86587694,978524150.0
2018-07-12,1760.941,1818.102,1745.902,1818.102,103319963,1133721450.0
2018-07-13,1814.19,1842.559,1804.735,1827.177,82174602,996708790.0
2018-07-16,1822.225,1844.328,1811.017,1837.447,78722707,946725530.0
2018-07-17,1837.879,1849.728,1812.642,1849.728,72877530,847681820.0
2018-07-18,1848.775,1872.006,1834.587,1834.587,78830883,982066280.0
2018-07-19,1828.218,1841.04,1792.599,1792.599,66211581,798105190.0
2018-07-20,1791.116,1822.032,1780.84,1809.271,73582984,976751350.0
2018-07-23,1808.599,1834.949,1794.886,1825.895,84569180,1048928700.0
2018-07-24,1825.953,1864.142,1823.349,1852.69,119980456,1380439900.0
2018-07-25,1850.181,1864.125,1842.329,1842.329,78397455,938735920.0
2018-07-26,1841.693,1862.373,1831.615,1831.615,85498667,882829270.0
2018-07-27,1833.587,1833.673,1813.719,1827.108,78759979,739835720.0
2018-07-30,1825.776,1836.304,1783.937,1783.937,81199810,801240210.0
2018-07-31,1784.071,1800.523,1774.407,1793.466,71059860,660628740.0
2018-08-01,1791.751,1820.321,1764.316,1764.316,79809244,730020110.0
2018-08-02,1770.124,1775.685,1713.4,1721.564,119529047,1039511540.0
2018-08-03,1711.59,1719.674,1683.697,1683.697,67311206,588035650.0
2018-08-06,1680.378,1684.326,1623.284,1627.48,66027268,585811620.0
2018-08-07,1621.318,1660.926,1590.783,1660.926,73542862,656604790.0
2018-08-08,1651.083,1663.939,1625.183,1632.815,123930560,929176720.0
2018-08-09,1624.206,1674.614,1613.092,1674.614,103671524,855524850.0
2018-08-10,1673.442,1683.301,1667.735,1674.701,69506879,593883260.0
2018-08-13,1651.187,1680.072,1643.874,1680.072,70014496,616246050.0
2018-08-14,1676.762,1699.646,1673.416,1682.074,71620626,654644860.0
2018-08-15,1691.396,1691.396,1647.95,1663.373,65851064,557575780.0
2018-08-16,1654.681,1658.039,1624.78,1642.502,60120079,596359350.0
2018-08-17,1646.056,1657.566,1597.939,1597.939,65909134,633287260.0
2018-08-20,1590.422,1608.363,1576.862,1608.363,64306242,588903540.0
2018-08-21,1611.041,1650.806,1611.041,1631.082,60586979,574015690.0
2018-08-22,1627.41,1643.943,1617.24,1617.24,54229235,444371160.0
2018-08-23,1613.295,1646.912,1605.471,1632.994,60604945,574421220.0
2018-08-24,1630.939,1636.013,1616.887,1621.571,52402135,482576660.0
2018-08-27,1625.919,1665.649,1624.365,1658.88,85155296,755879140.0
2018-08-28,1657.322,1660.664,1642.18,1650.419,63776868,572865270.0
2018-08-29,1647.588,1652.652,1639.746,1643.037,61915255,571099930.0
2018-08-30,1638.254,1643.046,1608.332,1608.332,88369937,842217130.0
2018-08-31,1603.045,1619.145,1589.055,1589.055,75942696,676482870.0
2018-09-03,1586.183,1591.851,1566.012,1575.955,75922716,687607310.0
2018-09-04,1574.423,1593.283,1574.423,1593.283,82533956,650099990.0
2018-09-05,1590.957,1609.577,1574.347,1574.347,85325766,689494580.0
2018-09-06,1571.807,1593.525,1566.5,1584.023,68483403,556330450.0
2018-09-07,1588.793,1604.896,1565.852,1597.172,71164215,664586420.0
2018-09-10,1596.966,1601.976,1550.113,1550.113,70300518,648458630.0
2018-09-11,1555.472,1571.924,1543.967,1567.572,75947519,684092710.0
2018-09-12,1565.729,1587.827,1562.35,1587.827,91011634,802303090.0
2018-09-13,1594.544,1600.62,1580.311,1596.723,72389311,652542210.0
2018-09-14,1595.563,1607.956,1591.543,1597.041,97633056,926924480.0
2018-09-17,1581.185,1594.95,1564.938,1564.938,96677032,1010200220.0
2018-09-18,1552.297,1603.169,1552.297,1603.169,100960560,967896810.0
2018-09-19,1593.062,1623.181,1592.715,1614.481,253168010,1912518100.0
2018-09-20,1601.413,1622.586,1588.232,1588.232,144593100,1173595360.0
2018-09-21,1591.194,1607.315,1582.925,1605.076,219160540,1529635800.0
2018-09-25,1595.563,1603.54,1573.507,1591.618,92561480,785559350.0
2018-09-26,1587.629,1599.124,1582.334,1587.859,401734350,2098666900.0
2018-09-27,1583.374,1596.414,1555.25,1555.25,385961910,2089736100.0
2018-09-28,1560.587,1572.026,1557.117,1564.583,212121640,1166476520.0
2018-10-08,1544.082,1550.945,1510.491,1510.491,187390290,1186902650.0
2018-10-09,1514.628,1538.89,1507.16,1518.432,177925400,1121298720.0
