symbol,updated_at
002423.SZ,2026-06-27 23:09:12
002428.SZ,2026-06-27 23:09:14
002429.SZ,2026-06-27 23:09:17
002430.SZ,2026-06-27 23:09:20
002432.SZ,2026-06-27 23:09:23
002436.SZ,2026-06-27 23:09:25
002444.SZ,2026-06-27 23:09:28
002456.SZ,2026-06-27 23:09:31
002459.SZ,2026-06-27 23:09:33
002460.SZ,2026-06-27 23:09:36
002461.SZ,2026-06-27 23:09:38
002463.SZ,2026-06-27 23:09:41
002465.SZ,2026-06-27 23:09:44
002466.SZ,2026-06-27 23:09:46
002468.SZ,2026-06-27 23:09:49
002472.SZ,2026-06-27 23:09:51
002475.SZ,2026-06-27 23:09:54
002484.SZ,2026-06-27 23:09:56
002487.SZ,2026-06-27 23:09:59
002491.SZ,2026-06-27 23:10:02
002493.SZ,2026-06-27 23:10:04
002497.SZ,2026-06-27 23:10:07
002498.SZ,2026-06-27 23:10:12
002500.SZ,2026-06-27 23:10:15
002506.SZ,2026-06-27 23:10:18
002507.SZ,2026-06-27 23:10:21
002508.SZ,2026-06-27 23:10:24
002517.SZ,2026-06-27 23:10:27
002518.SZ,2026-06-27 23:10:30
002531.SZ,2026-06-27 23:10:32
002532.SZ,2026-06-27 23:10:35
002534.SZ,2026-06-27 23:10:38
002536.SZ,2026-06-27 23:10:40
002544.SZ,2026-06-27 23:10:43
002545.SZ,2026-06-27 23:10:45
002552.SZ,2026-06-27 23:10:48
002555.SZ,2026-06-27 23:10:51
002558.SZ,2026-06-27 23:10:53
002565.SZ,2026-06-27 23:10:56
002568.SZ,2026-06-27 23:10:59
002594.SZ,2026-06-27 23:11:02
002595.SZ,2026-06-27 23:11:05
002600.SZ,2026-06-27 23:11:08
002601.SZ,2026-06-27 23:11:11
002603.SZ,2026-06-27 23:11:14
002608.SZ,2026-06-27 23:11:17
002611.SZ,2026-06-27 23:11:20
002617.SZ,2026-06-27 23:11:24
002624.SZ,2026-06-27 23:11:27
002625.SZ,2026-06-27 23:11:30
002636.SZ,2026-06-27 23:11:33
002643.SZ,2026-06-27 23:11:36
002645.SZ,2026-06-27 23:11:39
002648.SZ,2026-06-27 23:11:41
002653.SZ,2026-06-27 23:11:43
002654.SZ,2026-06-27 23:11:46
002670.SZ,2026-06-27 23:11:48
002673.SZ,2026-06-27 23:11:50
002683.SZ,2026-06-27 23:11:52
002709.SZ,2026-06-27 23:11:56
002714.SZ,2026-06-27 23:11:58
002716.SZ,2026-06-27 23:12:02
002733.SZ,2026-06-27 23:12:05
002736.SZ,2026-06-27 23:12:08
002738.SZ,2026-06-27 23:12:12
002739.SZ,2026-06-27 23:12:15
002741.SZ,2026-06-27 23:12:18
002747.SZ,2026-06-27 23:12:21
002756.SZ,2026-06-27 23:12:24
002759.SZ,2026-06-27 23:12:27
002768.SZ,2026-06-27 23:12:31
002773.SZ,2026-06-27 23:12:35
002779.SZ,2026-06-27 23:12:39
002797.SZ,2026-06-27 23:12:41
002812.SZ,2026-06-27 23:12:44
002815.SZ,2026-06-27 23:12:47
002821.SZ,2026-06-27 23:12:49
002831.SZ,2026-06-27 23:12:52
002837.SZ,2026-06-27 23:12:55
002838.SZ,2026-06-27 23:12:57
002841.SZ,2026-06-27 23:13:00
002850.SZ,2026-06-27 23:13:02
002851.SZ,2026-06-27 23:13:05
002859.SZ,2026-06-27 23:13:07
002865.SZ,2026-06-27 23:13:09
002867.SZ,2026-06-27 23:13:11
002895.SZ,2026-06-27 23:13:13
002896.SZ,2026-06-27 23:13:15
002897.SZ,2026-06-27 23:13:17
002906.SZ,2026-06-27 23:13:20
002911.SZ,2026-06-27 23:13:22
002913.SZ,2026-06-27 23:13:25
002916.SZ,2026-06-27 23:13:27
002920.SZ,2026-06-27 23:13:29
002922.SZ,2026-06-27 23:13:32
002925.SZ,2026-06-27 23:13:34
002926.SZ,2026-06-27 23:13:36
002929.SZ,2026-06-27 23:13:38
002938.SZ,2026-06-27 23:13:40
002939.SZ,2026-06-27 23:13:42
002945.SZ,2026-06-27 23:13:44
002946.SZ,2026-06-27 23:13:46
002947.SZ,2026-06-27 23:13:48
002948.SZ,2026-06-27 23:13:50
002958.SZ,2026-06-27 23:13:52
300001.SZ,2026-06-27 23:13:54
300002.SZ,2026-06-27 23:13:56
300003.SZ,2026-06-27 23:13:58
300005.SZ,2026-06-27 23:14:00
300012.SZ,2026-06-27 23:14:02
300014.SZ,2026-06-27 23:14:04
300015.SZ,2026-06-27 23:14:06
300017.SZ,2026-06-27 23:14:08
300024.SZ,2026-06-27 23:14:10
300033.SZ,2026-06-27 23:14:12
300034.SZ,2026-06-27 23:14:14
300037.SZ,2026-06-27 23:14:16
300054.SZ,2026-06-27 23:14:18
300058.SZ,2026-06-27 23:14:19
300059.SZ,2026-06-27 23:14:21
300073.SZ,2026-06-27 23:14:23
300083.SZ,2026-06-27 23:14:24
300085.SZ,2026-06-27 23:14:27
300088.SZ,2026-06-27 23:14:29
300100.SZ,2026-06-27 23:14:32
300102.SZ,2026-06-27 23:14:34
300115.SZ,2026-06-27 23:14:37
300122.SZ,2026-06-27 23:14:39
300124.SZ,2026-06-27 23:14:41
300131.SZ,2026-06-27 23:14:43
300136.SZ,2026-06-27 23:14:44
300142.SZ,2026-06-27 23:14:47
300144.SZ,2026-06-27 23:14:49
300166.SZ,2026-06-27 23:14:51
300170.SZ,2026-06-27 23:14:53
300179.SZ,2026-06-27 23:14:55
300184.SZ,2026-06-27 23:14:57
300199.SZ,2026-06-27 23:14:59
300201.SZ,2026-06-27 23:15:01
300207.SZ,2026-06-27 23:15:04
300209.SZ,2026-06-27 23:15:06
300223.SZ,2026-06-27 23:15:08
300229.SZ,2026-06-27 23:15:10
300236.SZ,2026-06-27 23:15:12
300251.SZ,2026-06-27 23:15:14
300253.SZ,2026-06-27 23:15:17
300255.SZ,2026-06-27 23:15:19
300257.SZ,2026-06-27 23:15:21
300260.SZ,2026-06-27 23:15:25
300263.SZ,2026-06-27 23:15:27
300274.SZ,2026-06-27 23:15:30
300285.SZ,2026-06-27 23:15:33
300296.SZ,2026-06-27 23:15:36
300302.SZ,2026-06-27 23:15:39
300304.SZ,2026-06-27 23:15:42
300308.SZ,2026-06-27 23:15:45
300316.SZ,2026-06-27 23:15:48
300319.SZ,2026-06-27 23:15:51
300323.SZ,2026-06-27 23:15:54
300328.SZ,2026-06-27 23:15:57
300331.SZ,2026-06-27 23:16:00
300339.SZ,2026-06-27 23:16:03
300342.SZ,2026-06-27 23:16:06
300346.SZ,2026-06-27 23:16:08
300347.SZ,2026-06-27 23:16:11
300364.SZ,2026-06-27 23:16:15
300373.SZ,2026-06-27 23:16:18
300383.SZ,2026-06-27 23:16:22
300390.SZ,2026-06-27 23:16:26
300394.SZ,2026-06-27 23:16:30
300395.SZ,2026-06-27 23:16:33
300398.SZ,2026-06-27 23:16:36
300408.SZ,2026-06-27 23:16:40
300409.SZ,2026-06-27 23:16:44
300413.SZ,2026-06-27 23:16:46
300418.SZ,2026-06-27 23:16:49
300432.SZ,2026-06-27 23:16:52
300433.SZ,2026-06-27 23:16:55
300438.SZ,2026-06-27 23:16:58
300442.SZ,2026-06-27 23:17:01
300450.SZ,2026-06-27 23:17:04
300454.SZ,2026-06-27 23:17:06
300455.SZ,2026-06-27 23:17:08
300456.SZ,2026-06-27 23:17:10
300457.SZ,2026-06-27 23:17:12
300458.SZ,2026-06-27 23:17:14
300468.SZ,2026-06-27 23:17:16
300469.SZ,2026-06-27 23:17:19
300474.SZ,2026-06-27 23:17:22
300475.SZ,2026-06-27 23:17:25
300476.SZ,2026-06-27 23:17:28
300487.SZ,2026-06-27 23:17:31
300489.SZ,2026-06-27 23:17:34
