date,002270.SZ,002311.SZ,002714.SZ,600096.SH,600276.SH,600312.SH,600487.SH,600522.SH,601899.SH,601985.SH,603308.SH
2018-04-03,4.8939282,23.52847175,10.28660125,5.8342467,36.84052638,8.08213432,24.36303562,10.8112898,3.67922198,5.5369782,10.23374182
2018-04-04,4.89910696,22.89931875,10.38267915,5.918801,36.51492663,8.00891,23.99277672,10.66469604,3.68769945,5.5620324,10.55397209
2018-04-09,4.90428572,22.9270755,10.02552,5.92725643,35.86372713,7.93568568,24.20820008,10.57307494,3.62835716,5.5453296,10.4245173
2018-04-10,4.90946448,23.574733,9.816655,5.89343471,36.62345988,7.94483872,24.62558284,10.7196687,3.72160933,5.595438,10.30868933
2018-04-11,4.89910696,24.56472375,10.7064199,5.92725643,36.92735298,8.01806304,24.85447016,10.75631714,3.83181644,5.6037894,10.22692841
2018-04-12,4.85767688,24.34266975,10.6897107,5.80042498,37.21822209,7.99975696,24.05336454,10.54558861,3.78942909,5.5703838,10.44495753
2018-04-13,4.79553176,24.129868,10.7314837,5.70741525,35.19950364,7.89907352,23.79081732,10.42648118,3.70465439,5.5453296,10.11110044
2018-04-16,4.77999548,23.49146275,10.6562923,5.6651381,36.15893757,7.74347184,23.28591882,10.47229173,3.67074451,5.4785184,10.09066021
2018-04-17,4.61945392,22.54773325,10.5476825,5.52985122,35.10833571,7.70685968,21.92605886,9.94088935,3.56901487,5.4367614,9.93395178
2018-04-18,4.70749284,22.834553,10.51217545,5.57212837,35.61627132,7.8258492,21.21920096,9.8034577,3.50967258,5.4451128,10.0157127
2018-04-19,4.73338664,22.5199765,10.36596995,5.59749466,36.04606299,7.81669616,21.28652076,9.81261981,3.61987969,5.4534642,10.07021998
2018-04-20,4.54695128,22.390445,10.234385,5.48757407,36.48019599,7.62448232,20.45848722,9.45529752,3.56901487,5.303139,9.70910925
2018-04-23,4.70231408,22.2054,9.90646695,5.46220778,36.59307057,7.65194144,21.12495324,9.6202155,3.49271764,5.3532474,9.25261078
2018-04-24,4.85249812,22.75128275,10.0631157,5.55521751,36.79277175,7.74347184,22.02703856,9.8950788,3.51815005,5.4785184,9.65460197
2018-04-25,4.94053704,22.2054,9.99001295,5.52985122,37.96927218,7.69770664,22.53866904,9.99586201,3.50967258,5.4618156,9.85900427
2018-04-26,4.90428572,22.1868955,9.81874365,5.33537633,36.36732141,6.92885128,21.15861314,8.99719202,3.49271764,5.470167,10.25418205
2018-04-27,4.91464324,22.8530575,9.9753924,5.3269209,36.24142284,6.73663744,20.92299384,9.04300257,3.49271764,5.5703838,10.19967477
2018-05-02,4.57284508,22.612499,9.93570805,5.34383176,35.56851669,6.61764792,21.7106355,8.90557092,3.38251053,5.511924,10.38363684
2018-05-03,4.57284508,22.25166125,9.983747,5.35228719,35.98528437,6.65426008,22.53193706,9.13462367,3.35707812,5.4785184,10.40407707
2018-05-04,4.57284508,22.62175125,10.3053991,5.39456434,35.78992452,6.62680096,22.41076142,9.03384046,3.35707812,5.4367614,10.25418205
2018-05-07,4.57284508,22.94558,10.32001965,5.51294036,36.68857983,6.6817192,22.6867726,9.16211,3.38251053,5.470167,10.39045025
2018-05-08,4.57284508,22.8900665,10.37014725,5.52985122,37.14441948,6.69087224,22.64638072,9.22624477,3.45880776,5.5035726,10.80606826
2018-05-09,4.57284508,23.5192195,10.4516046,5.52985122,37.27465938,6.6817192,22.53193706,9.15294789,3.45033029,5.5035726,11.05816443
2018-05-10,4.57284508,23.63949875,10.35761535,5.55521751,39.76224147,6.69087224,22.96278378,9.40032486,3.4757627,5.4618156,10.90826941
2018-05-11,4.57284508,23.34342675,10.5476825,5.52139579,38.84622084,6.64510704,22.6531127,9.30870376,3.49271764,5.470167,10.75837439
2018-05-14,4.57284508,23.19539075,10.81711835,5.47066321,39.56688162,6.58103576,22.91565992,9.30870376,3.4757627,5.4451128,10.68342688
2018-05-15,4.57284508,23.130625,10.84635945,5.52139579,40.12691319,6.67256616,22.84160814,9.2537311,3.44185282,5.4952212,10.74474757
