date,hog_hk_cofco_joycome_open,hog_hk_cofco_joycome_high,hog_hk_cofco_joycome_low,hog_hk_cofco_joycome_close,hog_hk_cofco_joycome_volume,hog_hk_cofco_joycome_amount,hog_hk_cofco_joycome_amplitude,hog_hk_cofco_joycome_pct_chg,hog_hk_cofco_joycome_turnover,hog_hk_cofco_joycome_close_ret1,hog_hk_cofco_joycome_close_ret5,hog_hk_cofco_joycome_close_ret20,hog_hk_cofco_joycome_close_ma20_gap,hog_hk_cofco_joycome_close_z20,hog_hk_cofco_joycome_volume_ret1,hog_hk_cofco_joycome_volume_ret5,hog_hk_cofco_joycome_volume_ret20,hog_hk_cofco_joycome_volume_ma20_gap,hog_hk_cofco_joycome_volume_z20,hog_hk_cofco_joycome_amount_ret1,hog_hk_cofco_joycome_amount_ret5,hog_hk_cofco_joycome_amount_ret20,hog_hk_cofco_joycome_amount_ma20_gap,hog_hk_cofco_joycome_amount_z20
2020-03-13,1.79,1.89,1.68,1.85,22843000.0,40804670.0,,,,-0.005376344086021501,-0.15909090909090917,-0.08415841584158412,-0.08709597828768811,-1.8504635589049792,0.36563639624559086,0.33059118429022827,0.16545918367346935,0.20550707910059796,0.4135365132740345,0.2788329728147465,0.08704795003156751,0.02279904048366843,0.0536699733652517,0.09800505542242607
2020-03-16,1.84,1.86,1.7,1.71,21722000.0,37954400.0,,,,-0.07567567567567579,-0.17788461538461542,-0.17391304347826086,-0.15262636273538155,-2.983276847125127,-0.04907411460841393,0.2488105197654935,0.5797818181818182,0.13662154618722888,0.2761102048757852,-0.06985156355877897,0.03033598143775129,0.3329783819132115,-0.021080125076909928,-0.03853239545489842
2020-03-17,1.72,1.78,1.66,1.75,27624000.0,47556650.0,,,,0.023391812865497075,-0.12935323383084563,-0.13366336633663367,-0.125,-2.029877458928265,0.2717061044102753,0.4693288766953079,0.9351953353553968,0.41591668056130593,0.8645031807073623,0.2529943827329637,0.24608089647005693,0.6526779195225385,0.2117651868184891,0.3943615507311812
2020-03-18,1.79,1.9,1.73,1.75,20418378.0,37057075.0,,,,0.0,-0.12935323383084563,-0.1421568627450981,-0.11905361188019126,-1.7508914066854402,-0.2608464378801043,1.7507649404537373,-0.02917563712438187,0.011958204897586366,0.0254823286276465,-0.22078037456380972,1.4812518789969489,-0.14257353382499727,-0.07783400565664578,-0.14892969103419004
2020-03-19,1.75,1.89,1.73,1.85,19722294.0,35249980.0,,,,0.05714285714285716,-0.005376344086021501,-0.09313725490196079,-0.06186612576064898,-0.8455755302433221,-0.034091052678131395,0.17906940874035993,1.062785691873235,-0.02105193648335968,-0.04480148918450869,-0.04876518181750722,0.10474699869059978,0.8061648412008724,-0.11602623872341622,-0.22032299996658025
2020-03-20,1.9,1.93,1.75,1.78,19872726.0,35909663.0,,,,-0.037837837837837895,-0.037837837837837895,-0.09183673469387754,-0.09299363057324839,-1.2515909795922906,0.007627510268328752,-0.1300299435275577,0.041656672607191636,-0.037849113580311844,-0.0855727308747435,0.018714421965629446,-0.11996193082801554,-0.053757836676700976,-0.11690459757306682,-0.23205528355400368
2020-03-23,1.74,1.8,1.72,1.77,14164680.0,24943825.0,,,,-0.005617977528089901,0.03508771929824572,-0.06349206349206349,-0.09393396467878168,-1.211829492178707,-0.287230146483175,-0.3479108737685296,-0.39236590136929883,-0.31552468739205997,-0.7151693124190565,-0.3053729019957664,-0.34279490651940225,-0.4322053844807331,-0.38503535384293686,-0.7616594544833811
2020-03-24,1.82,1.92,1.81,1.9,33995873.0,63937979.0,,,,0.0734463276836157,0.08571428571428563,-0.015544041450777257,-0.024390243902439157,-0.3037683290953749,1.4000452534049481,0.23066438604112371,1.0920537230769232,0.6798961162513208,1.4921846500178666,1.563278847570491,0.3444592712060248,1.073716867401496,0.6141049003680938,1.17074544711034
2020-03-25,1.96,2.0,1.83,1.86,23463851.0,44631987.0,,,,-0.021052631578947323,0.06285714285714294,-0.04123711340206182,-0.04419321685508737,-0.5488564060705234,-0.3098029575531124,0.14915352238067103,0.3290201642594166,0.11075776149399807,0.24219639102619658,-0.3019487369158165,0.2044120319803977,0.28909459505515733,0.08153381890440548,0.15757666619236246
2020-03-26,1.86,1.92,1.83,1.89,22570000.0,42569670.0,,,,0.016129032258064502,0.021621621621621623,-0.05025125628140703,-0.026776519052523318,-0.3293904326240239,-0.03809481231363088,0.14439020126157742,0.5725483365267374,0.053952552639110474,0.11988051056514845,-0.0462071518348488,0.20765089795795633,0.511774406139194,0.01919905545923073,0.037637407489950515
2020-03-27,1.92,1.97,1.86,1.88,20295447.0,38665249.0,,,,-0.005291005291005346,0.05617977528089879,-0.03589743589743588,-0.029426948890036275,-0.36110072102581137,-0.10077771377935307,0.021271414903018426,0.14392103483260055,-0.0701039684025585,-0.16114487022774482,-0.09171837601747912,0.07673661543412424,0.1257841786778171,-0.0899792234756932,-0.18149920235442626
2020-03-30,1.86,1.9,1.84,1.86,14276000.0,26693990.0,,,,-0.010638297872340274,0.05084745762711873,-0.10144927536231874,-0.03801396431342108,-0.46424193257664387,-0.29659100388377746,0.007858984459938378,-0.45820180229496854,-0.3497067777025187,-0.8120400858769675,-0.3096128774445498,0.07016425909017565,-0.49865102065611533,-0.37491122824030076,-0.7624706116981236
2020-03-31,1.9,2.13,1.89,2.13,49834000.0,101883350.0,,,,0.14516129032258052,0.1210526315789473,0.03398058252427183,0.10764430577223116,1.3291729248046265,2.4907537125245165,0.46588381477951746,3.546482985129094,1.3341988911042355,2.984627810894102,2.816714923471538,0.5934715421643215,3.5189944104343294,1.4623302474668924,2.862811234506677
2020-04-01,2.13,2.27,2.01,2.03,88272974.0,190303878.0,,,,-0.04694835680751175,0.09139784946236551,-0.06018518518518534,0.05372437062029567,0.6480384901548054,0.7713403298952521,2.762083811391404,2.6982267376094518,2.789652334359854,5.8323111391037825,0.8678604305806592,3.2638450759541584,2.7784832964857644,3.1969208458807383,5.897557738635357
2020-04-02,2.05,2.05,1.93,1.99,25773000.0,51250350.0,,,,-0.01970443349753681,0.05291005291005302,-0.1076233183856502,0.03645833333333326,0.4599901184709403,-0.7080306821881859,0.14191404519273365,-0.5198770491803278,-0.027923947286103146,-0.04042429641595377,-0.7306920356084388,0.20391701415585328,-0.5702945520596543,-0.02083040505908973,-0.02678179824126071
2020-04-03,1.98,2.04,1.95,1.97,9940534.0,19793382.0,,,,-0.01005025125628145,0.0478723404255319,-0.10454545454545461,0.032494758909853205,0.4594948559714234,-0.6143043495130562,-0.5102086689689564,-0.4209697978576684,-0.6042467158103735,-0.884321964705924,-0.6137903058223018,-0.48808342085162826,-0.4726987051410604,-0.5955558462941999,-0.7763652999387787
2020-04-06,1.98,1.99,1.9,1.96,9153336.0,17838480.0,,,,-0.005076142131979711,0.053763440860215006,-0.05769230769230771,0.033482731347218575,0.5409038719778831,-0.07919071550884493,-0.3588304847296161,-0.4737693450074485,-0.6302676809977705,-0.8960581323561199,-0.09876543584113118,-0.33174171414614306,-0.5157444776321666,-0.6287712487701558,-0.794434562627912
2020-04-07,2.01,2.03,1.94,1.98,51189000.0,101057797.0,,,,0.010204081632652962,-0.07042253521126762,-0.01492537313432829,0.0473419730230098,0.8108285425003013,4.592387300105666,0.027190271702050905,1.7227583213566504,1.1026826110520256,1.517322509789974,4.66515740130325,-0.008102923588594213,1.6479196974776196,1.1454820643332426,1.3992309294563139
2020-04-08,2.0,2.01,1.92,1.93,24341462.0,47770787.0,,,,-0.025252525252525304,-0.049261083743842304,-0.03980099502487555,0.021704605611434502,0.37661338398723,-0.5244786575240774,-0.7242478541620225,2.2792830198846796,-0.06249344706777027,-0.08716084315629938,-0.5272924166356011,-0.7489762820282622,2.1986160538820996,-0.04928549095791512,-0.061423481122692344
2020-04-09,1.96,2.02,1.91,1.99,41559000.0,82385090.0,,,,0.031088082901554515,0.0,0.06989247311827951,0.0557029177718833,0.9942614960889377,0.7073337665584754,0.6125014550110581,1.4845459436838646,0.5501318347793109,0.814570199361961,0.7245914328353016,0.6075029731504273,1.5819782284799864,0.5877164407482995,0.7727624793759125
2020-04-14,2.01,2.07,1.98,2.02,33338000.0,67536760.0,,,,0.015075376884422065,0.025380710659898442,0.09189189189189184,0.06793550092519163,1.1902472398702308,-0.19781515435886332,2.3537433703259807,0.45944052882721187,0.18845365123892188,0.28998986039406927,-0.1802307917609849,2.4120879392920322,0.65512329838717,0.2411899450499182,0.33031146000973216
2020-04-15,2.06,2.15,2.06,2.09,50346624.0,106021778.0,,,,0.034653465346534684,0.06632653061224492,0.2222222222222221,0.09999999999999987,1.709154627303826,0.510187293778871,4.5003579022992275,1.3177711076328147,0.7618297368527347,1.1946664430063787,0.5698380852146299,4.943431166781026,1.793398868115423,0.9017524010086895,1.2663203894586184
2020-04-16,2.09,2.39,2.07,2.32,121965723.0,274335669.0,,,,0.11004784688995217,0.1717171717171717,0.3257142857142856,0.20896300156331415,3.663988708017896,1.4225203858753268,1.3826549258629783,3.415208622936577,3.064499988260458,4.898674184918754,1.5875407314900905,1.7146412958121382,4.768607944419971,3.6377393826566635,5.249601563151978
2020-04-17,2.37,2.6,2.33,2.58,107022500.0,263621630.0,,,,0.11206896551724155,0.33678756476683946,0.4742857142857144,0.3247753530166879,4.7035585309227805,-0.12251985748487715,3.3967161873843077,4.241479024435732,2.08203293919338,2.599133470048899,-0.03905448766124542,4.518469478009647,6.113935193212092,2.7397469183132133,3.0633062732039966
2020-04-20,2.56,2.7,2.45,2.5,63832000.0,162778556.0,,,,-0.03100775193798455,0.256281407035176,0.3513513513513513,0.25691302161890395,2.7208335179461716,-0.4035646709804013,0.5359368608484323,2.2365403334926452,0.6344192344535164,0.7764376973254689,-0.3825295898519404,0.9758254315192227,3.6178339959341823,0.9894699007736178,1.0682050613328573
2020-04-21,2.48,2.55,2.4,2.44,43978000.0,108306010.0,,,,-0.02400000000000002,0.20792079207920788,0.3707865168539326,0.20702448676725194,1.9327191592335893,-0.3110352174457952,0.3191553182554443,1.2129827583794994,0.0658662466313138,0.08485029386618384,-0.33464202741791127,0.6036601400481751,2.0160686832399404,0.22800811803249288,0.26109579944016004
2020-04-22,2.4,2.75,2.38,2.7,88147624.0,227778841.0,,,,0.10655737704918034,0.29186602870813405,0.5254237288135595,0.31418836699927,2.8337250872227706,1.004357269543863,0.7508149900974492,5.2230579158865575,1.075741861291295,1.4441331029510176,1.1031043521961523,1.1484155925021367,8.131672508125758,1.480810205630256,1.7859479566096925
2020-04-23,2.75,2.88,2.63,2.65,81276000.0,224322080.0,,,,-0.0185185185185186,0.14224137931034497,0.3947368421052633,0.26130414088529275,2.1165043292117756,-0.07795586186191472,-0.333616052109985,1.3907607844046246,0.7605641658942555,1.08154411058338,-0.015175953064051284,-0.18230800676524495,2.5084324451356212,1.2001406889241308,1.5265790207718846
2020-04-24,2.65,2.74,2.61,2.73,42510000.0,114400890.0,,,,0.030188679245283012,0.05813953488372081,0.4677419354838708,0.27659574468085135,2.0973102245411037,-0.47696737044145876,-0.602793805040996,0.8117230628510212,-0.12402448620473794,-0.18105143897014872,-0.49001502660816987,-0.5660413373515671,1.5632040536308636,0.040223070028344354,0.05261293774940542
2020-04-27,2.83,2.91,2.73,2.79,63965000.0,180376480.0,,,,0.0219780219780219,0.1160000000000001,0.4761904761904763,0.2786434463794685,2.005825212849191,0.5047047753469771,0.002083594435392966,1.8340717766947274,0.29271681828844853,0.4421663508665175,0.576705216191937,0.10810959645077567,3.237206442990984,0.5897003337753264,0.8094684237780359
