date,hog_hk_muyuan_open,hog_hk_muyuan_high,hog_hk_muyuan_low,hog_hk_muyuan_close,hog_hk_muyuan_volume,hog_hk_muyuan_amount,hog_hk_muyuan_amplitude,hog_hk_muyuan_pct_chg,hog_hk_muyuan_turnover,hog_hk_muyuan_close_ret1,hog_hk_muyuan_close_ret5,hog_hk_muyuan_close_ret20,hog_hk_muyuan_close_ma20_gap,hog_hk_muyuan_close_z20,hog_hk_muyuan_volume_ret1,hog_hk_muyuan_volume_ret5,hog_hk_muyuan_volume_ret20,hog_hk_muyuan_volume_ma20_gap,hog_hk_muyuan_volume_z20,hog_hk_muyuan_amount_ret1,hog_hk_muyuan_amount_ret5,hog_hk_muyuan_amount_ret20,hog_hk_muyuan_amount_ma20_gap,hog_hk_muyuan_amount_z20
2026-02-25,39.1,39.3,39.0,39.28,1028000.0,40214829.0,,,,0.004603580562659859,0.0020408163265306367,,-0.008030708621647453,-0.5526039840746505,-0.79724665693661,0.07049880245756524,,-0.8491421190713035,-0.47979357478954576,-0.796680555679283,0.07038878927267578,,-0.8524247202655101,-0.47909211407497904
2026-02-26,39.28,40.6,39.22,39.88,2776791.0,110833865.0,,,,0.015274949083503131,0.01372648703609558,,0.007857372604879842,0.5609217147412491,1.701158560311284,3.590495949743759,,-0.5584213990925699,-0.3034124879826128,1.7560446670057952,3.6677291209477074,,-0.5591099778712374,-0.30208665279260843
2026-02-27,39.84,41.6,39.84,40.84,6960400.0,285027203.0,,,,0.02407221664994985,0.04717948717948728,,0.03144336406111892,2.3225245629424984,1.5066344568244423,4.125478645066274,,0.1608986924336897,0.08705629804259056,1.5716616757883521,4.368311804282573,,0.18922912915306744,0.10180949316558376
2026-03-02,40.84,41.7,39.98,40.88,3707600.0,151239925.0,,,,0.0009794319294809117,0.04392236976506658,,0.029962401643474523,1.922517807988946,-0.46732946382391816,4.7750778816199375,,-0.3891834392051371,-0.22258733429420416,-0.4693842432997527,5.024287762253222,,-0.37802973888825986,-0.21543080219914218
2026-03-03,40.86,41.66,39.22,39.58,1833700.0,73535619.0,,,,-0.03180039138943258,0.012276214833759402,,-0.004920446790934951,-0.29039314061820887,-0.5054212967957709,-0.6383377381562858,,-0.6892650740990315,-0.3981426016778258,-0.5137817014918514,-0.6282162186277117,,-0.6891942627996654,-0.39704340877251837
2026-03-04,39.58,41.76,39.2,41.5,4058600.0,166204523.0,,,,0.048509348155634235,0.05651731160896123,,0.043692575950640355,2.667034312586707,1.2133391503517479,2.9480544747081714,,-0.2791127285502112,-0.1587222089295907,1.2601907111164725,3.1329163180079664,,-0.26368900562058906,-0.149558004482851
2026-03-05,41.5,43.3,41.5,42.36,3321000.0,141197265.0,,,,0.020722891566264945,0.06218655967903697,,0.0624196632912184,3.2547513888460533,-0.1817375449662445,0.19598486166225682,,-0.39965221722787314,-0.2309473291723001,-0.15046075490978061,0.2739541745656888,,-0.3639931630328005,-0.21001505007335608
2026-03-06,42.02,45.26,42.02,44.72,7934570.0,348816718.0,,,,0.05571293673276667,0.09500489715964733,,0.11750698221372935,4.9226639105392165,1.389211080999699,0.1399589104074479,,0.4688896338185675,0.2728088665887076,1.4704212082294936,0.22380149799245652,,0.6055824873329869,0.352650833515235
2026-03-09,44.94,50.7,44.94,46.06,13143300.0,612693541.0,,,,0.029964221824686943,0.12671232876712324,,0.14352707511516938,4.001493130825631,0.65646027446982,2.5449617002912936,,1.371384134962872,0.8420305638946842,0.7564913302119882,3.051136239323049,,1.7283989079885727,1.0684706652715255
2026-03-10,46.06,47.08,44.6,45.02,1924800.0,87801660.0,,,,-0.02257924446374293,0.13744315310763033,,0.10932717746537324,2.2972103584649406,-0.8535527607221931,0.04968097289632989,,-0.6760961114324605,-0.4492015141107659,-0.8566956330946535,0.1940017802801115,,-0.6416106174773939,-0.43173853910688365
2026-03-11,45.0,45.96,43.96,45.76,2504900.0,113536206.0,,,,0.01643713904931121,0.10265060240963853,0.12931885488647565,0.12143119715721107,2.3310825045229504,0.30138196176226106,-0.38281673483467205,-0.9382866016144524,-0.5637292750396758,-0.3698353991530614,0.2930986270646818,-0.31688859033036065,-0.9303710437285316,-0.5212072561026762,-0.3470673152049929
2026-03-12,45.8,47.0,45.8,46.68,3925800.0,182664354.0,,,,0.020104895104895215,0.10198300283286121,0.16583416583416577,0.1366790853970341,2.344056908735287,0.5672481935406604,0.1821138211382114,-0.4283213766419669,0.023036084341765406,0.028810033558007816,0.6088643476425486,0.293681956233359,-0.3394753979452866,0.1326087851023523,0.1536858150580425
2026-03-13,46.88,47.02,45.12,45.8,3763500.0,172256873.0,,,,-0.018851756640959727,0.02415026833631484,0.1404382470119523,0.10630691562598149,1.6378134758495064,-0.04134189209842576,-0.5256831813192145,0.08944223799543782,0.01982637588052505,0.024512654938513602,-0.05697598229811163,-0.5061679555163981,0.24176339485388088,0.10009569265981488,0.11471631005755333
2026-03-16,45.8,47.94,45.8,46.48,4828200.0,226623853.0,,,,0.014847161572052459,0.009118541033434457,0.15449577744659715,0.11513639308078027,1.6887510922753897,0.2829015544041451,-0.6326493346419849,0.2847107657921346,0.30288253112928465,0.37610244350665417,0.3156157374341748,-0.6301187496931684,0.5006308607919103,0.4319681446100012,0.5004573764997717
2026-03-17,46.48,49.44,46.48,47.4,5508200.0,264232599.0,,,,0.019793459552495785,0.052865393158596063,0.2091836734693877,0.1287864355115258,1.7947519444768176,0.1408392361542603,1.8616999168744806,0.13826951292595724,0.4652261951916603,0.5839651142452351,0.16595228393720762,2.009426006296464,0.38442710504202093,0.6306563415589943,0.743567960368691
2026-03-18,47.4,47.42,45.34,45.64,4679300.0,214493908.0,,,,-0.037130801687763726,-0.002622377622377603,0.16428571428571415,0.07636432243762092,1.0223306384620034,-0.15048473185432631,0.8680586051339374,3.872748099552223,0.23375248654464809,0.29441276220698637,-0.18823828395223863,0.8892115172493962,4.709134669961787,0.2943991968018229,0.35043394505119946
2026-03-19,45.64,46.68,44.18,44.78,2424100.0,108613596.0,,,,-0.018843120070113906,-0.04070265638389026,0.13828164717844427,0.048122834940548476,0.6522982522728852,-0.4819524287820828,-0.38252076009985225,3.0074392461563892,-0.3907288107194028,-0.5285579123214232,-0.4936285276689537,-0.4053924938195659,3.574223275350449,-0.37777013525119907,-0.4840463012440766
