date,hog_hk_wh_group_open,hog_hk_wh_group_high,hog_hk_wh_group_low,hog_hk_wh_group_close,hog_hk_wh_group_volume,hog_hk_wh_group_amount,hog_hk_wh_group_amplitude,hog_hk_wh_group_pct_chg,hog_hk_wh_group_turnover,hog_hk_wh_group_close_ret1,hog_hk_wh_group_close_ret5,hog_hk_wh_group_close_ret20,hog_hk_wh_group_close_ma20_gap,hog_hk_wh_group_close_z20,hog_hk_wh_group_volume_ret1,hog_hk_wh_group_volume_ret5,hog_hk_wh_group_volume_ret20,hog_hk_wh_group_volume_ma20_gap,hog_hk_wh_group_volume_z20,hog_hk_wh_group_amount_ret1,hog_hk_wh_group_amount_ret5,hog_hk_wh_group_amount_ret20,hog_hk_wh_group_amount_ma20_gap,hog_hk_wh_group_amount_z20
2021-03-04,6.84,7.08,6.84,7.02,46733870.0,326124375.0,,,,0.0028571428571428914,0.008620689655172376,0.11605723370429244,0.0671936758893279,1.706308690814947,0.6020567567224764,-0.5714729597530069,0.2206999780720571,0.011553252088141841,0.018836674186828183,0.6110765759193473,-0.5711934380001502,0.3542668781955647,0.05873214902004187,0.09105870520753054
2021-03-05,6.93,7.06,6.73,7.0,49963539.0,346884386.0,,,,-0.002849002849002802,0.005747126436781658,0.08864696734059097,0.058281049210068936,1.4405249622771819,0.06910767287194486,-0.4005021890379079,0.2183442284835435,0.07165972820968691,0.11815960833153834,0.06365672912366649,-0.39644392206200463,0.32740585183649396,0.11074612718573773,0.1746102808023061
2021-03-08,7.0,7.42,7.0,7.21,101931028.0,741206298.0,,,,0.030000000000000027,0.05102040816326525,0.14992025518341312,0.08535300316122241,2.046111219626595,1.0401082477364145,1.5345646556745467,1.5701729956338766,1.165506885450014,1.9418144308130567,1.136753131344459,1.6778091942404396,1.9849801000131397,1.3413181246795154,2.146334759195677
2021-03-09,7.3,7.35,7.09,7.16,42096097.0,302491472.0,,,,-0.006934812760055475,0.03918722786647333,0.12755905511811028,0.07025411061285491,1.6210447636384233,-0.5870139070901943,-0.19051323930660669,0.5581459985654844,-0.16116291274766847,-0.2633041473200462,-0.5918930089825005,-0.16491924105213074,0.7713163125668445,-0.11350333060056028,-0.17724606276627322
2021-03-10,7.09,7.39,7.09,7.39,60221187.0,438739494.0,,,,0.0321229050279328,0.055714285714285605,0.17301587301587307,0.09798677661392174,2.2247080538339947,0.4305646198031139,1.0644076668848044,1.4681326178321568,0.1822484871920067,0.30637948857901726,0.45041938240163004,1.1674029171051905,1.8627969038614154,0.2614446022570114,0.42282625231062276
2021-03-11,7.28,7.55,7.25,7.43,47757988.0,354951730.0,,,,0.005412719891745521,0.05840455840455849,0.18500797448165862,0.0950626381724391,2.061539772516612,-0.20695704652915592,0.021913828236352018,1.3509688531253525,-0.09427347070259318,-0.16736214306683883,-0.19097383560368508,0.0883937454843724,1.796743013820035,-0.01969074143846583,-0.033805884605970504
2021-03-12,7.38,7.48,7.21,7.23,36459354.0,265840674.0,,,,-0.026917900403768402,0.03285714285714292,0.14761904761904776,0.05655414291977201,1.2100531083267547,-0.23658103017237664,-0.27028079416071793,0.9868152906400978,-0.3260887103631872,-0.6137581093899749,-0.25105119504559115,-0.23363320827014677,1.295271413559226,-0.2882124256813987,-0.5288178448293182
2021-03-15,7.29,7.4,7.17,7.22,26257071.0,189943215.0,,,,-0.0013831258644537714,0.001386962552011095,0.12286158631415245,0.04797155091080629,1.0874215860933534,-0.2798262141452095,-0.7424035495845289,0.14026408960817793,-0.5226555812068125,-1.0330733904886769,-0.28549979902623934,-0.7437377211816405,0.2908946256013265,-0.5014406306205108,-0.9737579340856469
2021-03-16,7.2,7.33,7.13,7.29,24253421.0,175672347.0,,,,0.00969529085872578,0.018156424581005526,0.1215384615384616,0.052099870111127045,1.2355526456615442,-0.0763089683537056,-0.4238558268240402,-0.20260301392614388,-0.5603719502328153,-1.1183738385712065,-0.07513228624670798,-0.4192485962050527,-0.10903180001903434,-0.5414742373863823,-1.070873474480491
2021-03-17,7.29,7.29,7.04,7.19,34084106.0,243643969.0,,,,-0.013717421124828433,-0.027063599458727938,0.10107197549770297,0.0317858936643467,0.7787639280769885,0.40533189111754586,-0.4340180308966677,0.9887036801056033,-0.3787067302945385,-0.7429128443501644,0.38692271812136725,-0.44467281306569584,1.1867113301133507,-0.36227099472686153,-0.7102647730095045
2021-03-18,7.22,7.38,7.13,7.18,33753174.0,243432923.0,,,,-0.0013908205841447474,-0.03364737550471064,0.10291858678955457,0.025494536884953067,0.6642464782760753,-0.009709276223938468,-0.29324547759424036,-0.22034192795306362,-0.3940966724680808,-0.8130365853600227,-0.0008662065425473209,-0.3141802041646621,-0.13072647989888309,-0.373661886437507,-0.7753926437786901
2021-03-19,7.04,7.13,6.97,7.04,44028337.0,309923970.0,,,,-0.01949860724233976,-0.026279391424619658,0.0847457627118644,0.0007107320540158391,0.020413309863437316,0.3044206450036373,0.20760057898996243,0.3473810122454415,-0.2028218918544249,-0.41008933242684836,0.2731390897360255,0.16582600147936732,0.46432344150759763,-0.19881116847174585,-0.4078009868270567
