"stock","artifact","q","threshold","trades","win_rate","avg_return","compound","maxdd","current_q","current_threshold"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.55","0.2841729","93","0.516129032258065","0.00179260112427611","0.157131572302312","-0.1470991277919","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.6","0.30360025","83","0.506024096385542","0.00211097850810548","0.16932633141368","-0.147461995138609","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.65","0.3298085","73","0.465753424657534","0.000194834260119287","-0.00138273597058658","-0.217976936085631","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.7","0.3534973","62","0.419354838709677","-0.000953755261800043","-0.0693482155476326","-0.201078733360401","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.75","0.372614","52","0.442307692307692","-0.000707494758429608","-0.0468171709043902","-0.190141989590031","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.8","0.39906326","42","0.452380952380952","-0.00143040873047394","-0.0630693120161403","-0.136088278924138","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.85","0.43623388","31","0.387096774193548","-0.00261781979895893","-0.0818088489794275","-0.130343567139019","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.9","0.4643996","21","0.476190476190476","0.00210928655797003","0.0424780050012621","-0.0424850336806639","0.5","0.266722351312637"
"600276.SH","nextday_close_profit_xgb_d5_all_no_ak_v1","0.95","0.5208575","11","0.454545454545455","0.00498336531346364","0.0542032727971293","-0.0301243540374898","0.5","0.266722351312637"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.5","0.30138505","108","0.601851851851852","0.00616060859947813","0.886858179602567","-0.132063704846065","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.55","0.3098342","97","0.597938144329897","0.00589499442733899","0.726027446070588","-0.104038396170649","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.6","0.32162786","86","0.581395348837209","0.00443184353557092","0.43234206627881","-0.104038396170649","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.65","0.36015606","75","0.613333333333333","0.0063939056403664","0.585900593166141","-0.0612829805513919","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.7","0.38479844","65","0.6","0.00629984745342495","0.480672421550496","-0.0612829805513917","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.75","0.40755498","54","0.592592592592593","0.00551381988647022","0.329630037564829","-0.0612829805513917","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.8","0.43364632","43","0.651162790697674","0.00926814085950739","0.473924212030315","-0.0335601551156984","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.85","0.45304012","33","0.606060606060606","0.00810840664374927","0.297309039003745","-0.030167720141356","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.9","0.47254598","22","0.590909090909091","0.00860543385910507","0.202142388601731","-0.0316072178973001","0.8","0.430468845367432"
"601899.SH","nextday_close_profit_xgb_d5_base_reversal_v1","0.95","0.5309907","11","0.727272727272727","0.0116342955410082","0.132796347424676","-0.0262695256793486","0.8","0.430468845367432"
