raw_code,stock_code,label_mode,entry_policy,search_dir,summary_file,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor,windows,sample_file,intraday_bars,feature_pipeline,external,entry_vwap_premium_bps,rank_score,pipeline,leaderboard_file,quality_score,tier
600312,600312.SH,close_profit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3,50.0,169,0.5680473372781065,0.0049151381796611,0.0029012530712528,1.201335932407587,-0.0776675638268629,1.9458395305467004,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,0.0444799053788785,600312_pipeline_out,saved_data\600312_pipeline_out\99_summary\final_leaderboard.csv,52.59607138827128,A_core
600522,600522.SH,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,extra_trees_600_d3,50.0,150,0.5866666666666667,0.0054944983997835,0.0035946975492279,1.1499914723654094,-0.1315451914203493,1.727942000229027,10,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,"fundamental,sector",optical_cable_grid,50.0,0.034407289504954,600522_pipeline_out_v2_all14,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,52.34681828323548,A_core
600522,600522.SH,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,random_forest_600_d4,50.0,168,0.5714285714285714,0.005301334772787,0.0034454891659478,1.2937437849599362,-0.1396925899714158,1.716539405377005,10,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/04_external/optical_cable_grid/training_samples_with_optical_cable_grid_external.csv,/root/stock_realtime_v021_full/saved_data/600522_pipeline_out_v2_all14/00_base/600522_5m.csv,"fundamental,sector",optical_cable_grid,50.0,0.033790004542917,600522_pipeline_out_v2_all14,saved_data\600522_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,50.56251688356143,A_core
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3,50.0,170,0.5705882352941176,0.004548732685383,0.0027160654282665,1.0776509374303576,-0.0776675638268629,1.8549275880827123,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,0.0398913271696297,600312_pipeline_out_v2_all14,saved_data\600312_pipeline_out_v2_all14\99_summary\final_leaderboard.csv,48.7098848894403,A_core
2028,002028.SZ,close_profit,vwap_low,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,random_forest_600_d4,50.0,114,0.5614035087719298,0.0049436962335328,0.0012999313435634,0.707291238810752,-0.11668928280357,1.9299656458028869,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0236119108388096,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,45.783956488321785,A_core
2028,002028.SZ,close_profit,vwap_low,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_vwap_low_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,50.0,126,0.5714285714285714,0.0045184709663335,0.0019478195993203,0.7103491836168458,-0.1083120197795973,1.7595077410731066,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0236417058594166,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,43.083353836843955,A_core
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime_sector,lgbm_leaves15_700,50.0,119,0.5630252100840336,0.0045875514483968,0.0014963195167674,0.6744436184416884,-0.1059491421098915,1.8157015915797765,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0235569925341679,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,42.71784441235134,A_core
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d3_600_lr002_mcw3,50.0,88,0.5909090909090909,0.0077522414541105,0.0054892107425608,0.9183370632571908,-0.0923098451998321,2.482915642796352,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0496450096806747,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,78.71089356745028,B_keep
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d3_400_lr003_mcw3,50.0,98,0.6020408163265306,0.0073229999098021,0.0043252504639886,0.9808476226344164,-0.0715438408248441,2.3202753558298634,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0546080403216825,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,73.03857273992791,B_keep
2028,002028.SZ,close_profit,all_days,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,reversal_fundamental_regime,lgbm_leaves7_400,50.0,90,0.5777777777777777,0.007486548317929,0.0043252504639886,0.8993715249256748,-0.1142679532096857,2.3285057932901845,10,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/04_external/storage_power/training_samples_with_storage_power_external.csv,/root/stock_realtime_v021_full/saved_data/002028_pipeline_out_v2_new27_full/00_base/002028_5m.csv,"fundamental,sector",storage_power,50.0,0.0424566451902526,002028_pipeline_out_v2_new27_full,saved_data\002028_pipeline_out_v2_new27_full\99_summary\final_leaderboard.csv,70.99993622128612,B_keep
