status,stock_code,artifact_name,feature_group,feature_count,rows,samples,intraday_bars
ok,002028.SZ,a_active_011_target_exit_80bps_hit80_all_days_reversal_lgbm_leaves7_400,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,002028.SZ,a_active_012_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\00_base\002028_5m.csv
ok,603308.SH,a_active_013_close_exit_close_vwap_low_sector_external_xgb_d3_600_lr002_mcw3,reversal_fundamental_regime_sector_external,148,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\00_base\603308_5m.csv
ok,600312.SH,a_active_014_close_exit_close_all_days_reversal_random_forest_600_d4,reversal_fundamental_regime,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv
ok,600522.SH,a_active_015_close_exit_close_vwap_low_sector_random_forest_600_d4,reversal_fundamental_regime_sector,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv
ok,600522.SH,a_active_016_close_exit_close_all_days_sector_external_random_forest_600_d4,reversal_fundamental_regime_sector_external,128,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv
ok,600919.SH,a_active_017_target_exit_80bps_hit80_vwap_low_all_no_ak_xgb_d3_400_lr003_mcw3,all_no_ak,73,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\00_base\600919_5m.csv
ok,600919.SH,a_active_018_target_exit_80bps_hit80_all_days_all_no_ak_xgb_d3_400_lr003_mcw3,all_no_ak,73,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\00_base\600919_5m.csv
ok,603308.SH,a_active_019_close_exit_close_all_days_sector_external_xgb_d3_400_lr003_mcw3,reversal_fundamental_regime_sector_external,148,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\00_base\603308_5m.csv
ok,601899.SH,a_active_020_close_exit_close_all_days_sector_xgb_d3_400_lr003_mcw3,reversal_fundamental_regime_sector,82,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\00_base\601899_5m.csv
ok,600522.SH,a_active_021_close_exit_close_vwap_low_sector_lgbm_leaves7_400,reversal_fundamental_regime_sector,80,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv
ok,603308.SH,a_active_022_close_exit_close_vwap_low_all_no_ak_xgb_d3_600_lr002_mcw3,all_no_ak,164,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\00_base\603308_5m.csv
ok,600919.SH,a_active_023_target_exit_50bps_hit50_all_days_all_no_ak_xgb_d3_400_lr003_mcw3,all_no_ak,73,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\00_base\600919_5m.csv
ok,603308.SH,a_active_024_close_exit_close_all_days_sector_xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,82,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\04_external\aero_nuclear_equipment\training_samples_with_aero_nuclear_equipment_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\603308_pipeline_out\00_base\603308_5m.csv
ok,601818.SH,a_active_025_target_exit_50bps_hit50_all_days_sector_xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,57,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\00_base\601818_5m.csv
ok,601818.SH,a_active_026_target_exit_50bps_hit50_all_days_sector_external_xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector_external,57,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\00_base\601818_5m.csv
ok,601818.SH,a_active_027_target_exit_50bps_hit50_vwap_low_sector_xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector,57,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\00_base\601818_5m.csv
ok,601818.SH,a_active_028_target_exit_50bps_hit50_vwap_low_sector_external_xgb_d4_500_lr002_mcw5,reversal_fundamental_regime_sector_external,57,333,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601818_pipeline_out\00_base\601818_5m.csv
