date,ak_fund_收盘价,ak_fund_涨跌幅,ak_fund_主力净流入-净额,ak_fund_主力净流入-净占比,ak_fund_超大单净流入-净额,ak_fund_超大单净流入-净占比,ak_fund_大单净流入-净额,ak_fund_大单净流入-净占比,ak_fund_中单净流入-净额,ak_fund_中单净流入-净占比,ak_fund_小单净流入-净额,ak_fund_小单净流入-净占比
2025-12-08,8.72,-0.34,-70770113.0,-10.29,-57604532.0,-8.37,-13165581.0,-1.91,49650971.0,7.22,21119143.0,3.07
2025-12-09,8.63,-1.03,-141563543.0,-23.39,-37359223.0,-6.17,-104204320.0,-17.22,81432113.0,13.46,60131430.0,9.94
2025-12-10,8.65,0.23,-35826228.0,-9.19,-294427.0,-0.08,-35531801.0,-9.12,12254771.0,3.14,23571456.0,6.05
2025-12-11,8.68,0.35,-12662423.0,-2.76,-3859593.0,-0.84,-8802830.0,-1.92,3182875.0,0.69,9479549.0,2.06
2025-12-12,8.76,0.92,56000906.0,5.65,48944949.0,4.94,7055957.0,0.71,-37237872.0,-3.76,-18763045.0,-1.89
2025-12-15,8.7,-0.68,-127570153.0,-18.78,-122602641.0,-18.05,-4967512.0,-0.73,57271961.0,8.43,70298191.0,10.35
2025-12-16,8.61,-1.03,-81517409.0,-12.88,-59885890.0,-9.46,-21631519.0,-3.42,51174845.0,8.08,30342563.0,4.79
2025-12-17,8.66,0.58,-12111132.0,-2.41,3310460.0,0.66,-15421592.0,-3.07,-14849884.0,-2.96,26961017.0,5.37
2025-12-18,8.66,0.0,1709390.0,0.55,23664468.0,7.57,-21955078.0,-7.03,-19235635.0,-6.16,17526245.0,5.61
2025-12-19,8.73,0.81,36053968.0,6.91,49916025.0,9.56,-13862057.0,-2.66,-36227990.0,-6.94,174022.0,0.03
2025-12-22,8.69,-0.46,-70674268.0,-13.87,-43599714.0,-8.55,-27074554.0,-5.31,45831772.0,8.99,24842497.0,4.87
2025-12-23,8.66,-0.35,-8476754.0,-1.91,-11258105.0,-2.54,2781351.0,0.63,13617889.0,3.08,-5141135.0,-1.16
2025-12-24,8.72,0.69,-23005372.0,-4.48,20685864.0,4.02,-43691236.0,-8.5,-7830636.0,-1.52,30836009.0,6.0
2025-12-25,8.76,0.46,-42680370.0,-6.38,-20387353.0,-3.05,-22293017.0,-3.33,24735678.0,3.7,17944693.0,2.68
2025-12-26,8.75,-0.11,-63791918.0,-13.57,-25568584.0,-5.44,-38223334.0,-8.13,10053992.0,2.14,53737927.0,11.43
2025-12-29,8.69,-0.69,-82266932.0,-17.48,-48348108.0,-10.27,-33918824.0,-7.21,49165049.0,10.45,33101883.0,7.03
2025-12-30,8.65,-0.46,-40558741.0,-8.72,-35174504.0,-7.56,-5384237.0,-1.16,20289031.0,4.36,20269711.0,4.36
2025-12-31,8.63,-0.23,-25510635.0,-7.12,-13098097.0,-3.65,-12412538.0,-3.46,13456870.0,3.75,12053765.0,3.36
2026-01-05,8.69,0.7,-34450872.0,-5.77,20183137.0,3.38,-54634009.0,-9.15,13818093.0,2.31,20632779.0,3.46
2026-01-06,8.75,0.69,-39707289.0,-5.53,4859809.0,0.68,-44567098.0,-6.21,-10027499.0,-1.4,49734788.0,6.93
2026-01-07,8.89,1.6,112192582.0,7.47,92552262.0,6.16,19640320.0,1.31,-50234464.0,-3.34,-61958128.0,-4.12
2026-01-08,9.07,2.02,139472400.0,7.19,81143104.0,4.18,58329296.0,3.01,-66530064.0,-3.43,-72942336.0,-3.76
2026-01-09,9.02,-0.55,-59083312.0,-4.17,-8788624.0,-0.62,-50294688.0,-3.55,476064.0,0.03,58607264.0,4.13
2026-01-12,9.22,2.22,122071920.0,5.28,56925696.0,2.46,65146224.0,2.82,-95517296.0,-4.13,-26554640.0,-1.15
2026-01-13,9.02,-2.17,-252851318.0,-15.07,-182473350.0,-10.88,-70377968.0,-4.2,117371104.0,7.0,135480208.0,8.08
2026-01-14,8.95,-0.78,-104425527.0,-8.57,-60360743.0,-4.95,-44064784.0,-3.62,48059040.0,3.94,56366480.0,4.62
2026-01-15,8.87,-0.89,-17888680.0,-1.86,-17455626.0,-1.81,-433054.0,-0.04,45638144.0,4.74,-27749462.0,-2.88
2026-01-16,8.9,0.34,84238031.0,7.21,874229.0,0.07,83363802.0,7.13,48498336.0,4.15,-132736374.0,-11.36
2026-01-19,9.01,1.24,124812231.0,10.32,84411335.0,6.98,40400896.0,3.34,-32019264.0,-2.65,-92792965.0,-7.67
2026-01-20,9.02,0.11,57195234.0,5.52,28075162.0,2.71,29120072.0,2.81,-9538096.0,-0.92,-47657136.0,-4.6
2026-01-21,8.87,-1.66,-66162604.0,-5.66,-80845662.0,-6.91,14683058.0,1.26,124459344.0,10.64,-58296736.0,-4.98
2026-01-22,8.94,0.79,98097029.0,8.25,-5342709.0,-0.45,103439738.0,8.69,-15770336.0,-1.33,-82326704.0,-6.92
2026-01-23,8.89,-0.56,-152432666.0,-13.07,-159942951.0,-13.72,7510285.0,0.64,161831936.0,13.88,-9399248.0,-0.81
2026-01-26,8.81,-0.9,9423215.0,0.85,-27281.0,-0.0,9450496.0,0.86,39372160.0,3.56,-48795360.0,-4.42
2026-01-27,8.71,-1.14,-95586930.0,-9.92,-71317490.0,-7.4,-24269440.0,-2.52,84516356.0,8.77,11070576.0,1.15
2026-01-28,8.62,-1.03,-247285714.0,-16.11,-343248561.0,-22.36,95962847.0,6.25,231292128.0,15.07,15993600.0,1.04
2026-01-29,8.61,-0.12,-227468049.0,-15.6,-108979521.0,-7.48,-118488528.0,-8.13,131812336.0,9.04,95655696.0,6.56
2026-01-30,8.61,0.0,-27130323.0,-3.38,-2570956.0,-0.32,-24559367.0,-3.06,-226000.0,-0.03,27356323.0,3.41
2026-02-02,8.55,-0.7,-39142966.0,-4.37,-40291520.0,-4.49,1148554.0,0.13,22840960.0,2.55,16302008.0,1.82
2026-02-03,8.56,0.12,-58450018.0,-8.52,-23542977.0,-3.43,-34907041.0,-5.09,13073779.0,1.91,45376239.0,6.62
2026-02-04,8.66,1.17,105158407.0,13.86,97976582.0,12.91,7181825.0,0.95,-46299528.0,-6.1,-58858878.0,-7.76
2026-02-05,8.65,-0.12,-48997932.0,-7.77,-31324061.0,-4.97,-17673871.0,-2.8,36130415.0,5.73,12867518.0,2.04
2026-02-06,8.6,-0.58,-69242109.0,-13.25,-71419463.0,-13.67,2177354.0,0.42,32578920.0,6.23,36663189.0,7.02
2026-02-09,8.63,0.35,-17473505.0,-4.05,-25040837.0,-5.81,7567332.0,1.76,2289753.0,0.53,15183751.0,3.52
2026-02-10,8.61,-0.23,-37361191.0,-9.17,-27160451.0,-6.66,-10200740.0,-2.5,-2404994.0,-0.59,39766186.0,9.76
2026-02-11,8.58,-0.35,-88023290.0,-22.52,-85344156.0,-21.84,-2679134.0,-0.69,28160943.0,7.21,59862348.0,15.32
2026-02-12,8.57,-0.12,-39148653.0,-9.25,-27274660.0,-6.45,-11873993.0,-2.81,2873419.0,0.68,36275235.0,8.57
2026-02-13,8.52,-0.58,-94207257.0,-17.14,-74607177.0,-13.57,-19600080.0,-3.56,27843783.0,5.06,66363475.0,12.07
2026-02-24,8.56,0.47,-5059631.0,-1.02,-2059955.0,-0.42,-2999676.0,-0.61,-13538752.0,-2.74,18598382.0,3.77
2026-02-25,8.49,-0.82,-706599568.0,-37.31,-833563648.0,-44.02,126964080.0,6.7,386852128.0,20.43,319747450.0,16.88
2026-02-26,8.53,0.47,-36046706.0,-5.2,-2031671.0,-0.29,-34015035.0,-4.9,-6754110.0,-0.97,42800816.0,6.17
2026-02-27,8.52,-0.12,-161435309.0,-14.27,-57130288.0,-5.05,-104305021.0,-9.22,90318732.0,7.98,71116579.0,6.28
2026-03-02,8.66,1.64,124152032.0,5.71,107841056.0,4.96,16310976.0,0.75,-57897472.0,-2.66,-66254576.0,-3.04
2026-03-03,8.7,0.46,30161312.0,1.46,44484112.0,2.15,-14322800.0,-0.69,-17967280.0,-0.87,-12194032.0,-0.59
2026-03-04,8.68,-0.23,-22537978.0,-1.69,-72360826.0,-5.41,49822848.0,3.73,13802800.0,1.03,8735184.0,0.65
2026-03-05,8.78,1.15,250720992.0,12.52,221689760.0,11.07,29031232.0,1.45,-128134480.0,-6.4,-122586512.0,-6.12
2026-03-06,8.83,0.57,-54291364.0,-4.14,-46896260.0,-3.58,-7395104.0,-0.56,21234176.0,1.62,33057200.0,2.52
2026-03-09,8.91,0.91,66482544.0,2.52,-64139568.0,-2.43,130622112.0,4.96,17624816.0,0.67,-84107360.0,-3.19
2026-03-10,8.89,-0.22,-37023409.0,-2.36,-66607313.0,-4.25,29583904.0,1.89,19427904.0,1.24,17595488.0,1.12
2026-03-11,9.06,1.91,307713488.0,13.7,229468624.0,10.22,78244864.0,3.48,-161368944.0,-7.19,-146344528.0,-6.52
