date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,peTTM_eod,pbMRQ_eod,psTTM_eod,pcfNcfTTM_eod,valuation_time_mode,valuation_reference_lag_days,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q
2025-11-19,17.46,20.652246427428572,2.0845798971428575,1.8313386468571429,14.438849577142857,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,27,20.628616,2.082195,1.829243,14.422329,asof1455_from_lagged_eod,1,0.755868544600939,0.5586854460093896,0.5915492957746479,0.39906103286384975,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-20,17.29,20.427764641466208,2.0619216237113402,1.8114325011454753,14.281905407216493,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,28,20.427765,2.061921,1.811433,14.281905,asof1455_from_lagged_eod,1,0.705607476635514,0.5280373831775701,0.5467289719626168,0.37383177570093457,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-21,16.25,19.17539768363216,1.9355105743204164,1.700379270676692,13.406322622903414,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,29,19.199027,1.937896,1.702475,13.422844,asof1455_from_lagged_eod,1,0.4325581395348837,0.21395348837209302,0.3674418604651163,0.24186046511627907,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24,16.45,19.39987835938462,1.9581693735384618,1.7202855076923078,13.563267598769231,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,32,19.435323,1.961747,1.723428,13.588048,asof1455_from_lagged_eod,1,0.5046296296296297,0.2638888888888889,0.42592592592592593,0.27314814814814814,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-25,16.43,19.423508213981766,1.9605544486322188,1.7223803234042554,13.579787788449849,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,33,19.411693,1.959362,1.721333,13.571527,asof1455_from_lagged_eod,1,0.511520737327189,0.271889400921659,0.4377880184331797,0.28110599078341014,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-26,16.25,19.187212070602556,1.936703522824102,1.7014271405964698,13.414582987218502,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,34,19.199027,1.937896,1.702475,13.422844,asof1455_from_lagged_eod,1,0.43577981651376146,0.22477064220183487,0.3669724770642202,0.24311926605504589,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-27,16.33,19.28173050092308,1.9462438596923077,1.7098087384615386,13.480665481846154,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,35,19.293546,1.947436,1.710856,13.488925,asof1455_from_lagged_eod,1,0.4748858447488584,0.2420091324200913,0.3926940639269406,0.2648401826484018,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-28,16.79,19.837026169014084,2.002293352112676,1.7590491267605632,13.868894718309859,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,36,19.837026,2.002294,1.759049,13.868895,asof1455_from_lagged_eod,1,0.6363636363636364,0.37272727272727274,0.509090909090909,0.33636363636363636,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,16.93,19.990618220369274,2.0177971697438957,1.7726687957117335,13.97627774865992,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,39,20.002433,2.018989,1.773717,13.984538,asof1455_from_lagged_eod,1,0.6470588235294118,0.4072398190045249,0.5339366515837104,0.34841628959276016,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-02,16.63,19.647989414648553,1.983212467217956,1.7422866928529237,13.736731656231541,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,40,19.647989,1.983213,1.742286,13.736732,asof1455_from_lagged_eod,1,0.5630630630630631,0.3153153153153153,0.4774774774774775,0.3153153153153153,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-03,16.43,19.399878495490082,1.9581694203247146,1.720284793746242,13.56326755502105,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,41,19.411693,1.959362,1.721333,13.571527,asof1455_from_lagged_eod,1,0.5022421524663677,0.26905829596412556,0.42152466367713004,0.273542600896861,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-04,16.47,19.423507785757764,1.9605545514303107,1.7223806768107124,13.579787211199028,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,42,19.458953,1.964132,1.725523,13.604568,asof1455_from_lagged_eod,1,0.5089285714285714,0.28125,0.4419642857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-05,16.97,20.03787752762599,2.022567013964785,1.7768591426836675,14.009318353369768,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,43,20.049692,2.02376,1.777907,14.017579,asof1455_from_lagged_eod,1,0.6622222222222223,0.4266666666666667,0.5511111111111111,0.36444444444444446,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-08,16.99,20.07332157218621,2.026145103123158,1.7800023529758395,14.034099423099587,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,46,20.073321,2.026145,1.780003,14.034099,asof1455_from_lagged_eod,1,0.668141592920354,0.43805309734513276,0.5530973451327433,0.3672566371681416,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-09,16.97,20.061506214243675,2.0249524484991173,1.7789553231312538,14.025838788699236,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,47,20.049692,2.02376,1.777907,14.017579,asof1455_from_lagged_eod,1,0.6651982378854625,0.43171806167400884,0.5506607929515418,0.3656387665198238,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-10,17.0,20.10876593046553,2.0297227578078965,1.7831453824395993,14.05888005774897,2025-10-22,2025-09-30,0.089917,0.12537,0.250882,1057568252.9,0.846397,,1356921309.0,1356921309.0,True,2025-10-23,1.306412,206.672867,2.478012,108.958838,0.498758,0.379407,0.092193,0.057735,0.147045,0.146137,0.146234,1.653198,1.416197,0.656061,0.022542,0.004771,1.912344,0.769838,0.230162,0.437421,,0.015469,0.123389,0.015469,0.089917,2.035134,0.379407,0.928853,0.12537,0.86715,1.045851,0.138239,48,20.085136,2.027337,1.78105,14.042359,asof1455_from_lagged_eod,1,0.6754385964912281,0.4473684210526316,0.5570175438596491,0.37280701754385964,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
