code,name,board,industry,marketcap,sector
002028,思源电气,sz_mainboard,C38电气机械和器材制造业,108700837112.00316,1
002600,领益智造,sz_mainboard,C39计算机、通信和其他电子设备制造业,108284231288.22984,4
601991,大唐发电,sh_mainboard,D44电力、热力生产和供应业,108217915782.99008,7
603501,豪威集团,sh_mainboard,C39计算机、通信和其他电子设备制造业,107406195223.03638,4
601689,拓普集团,sh_mainboard,C36汽车制造业,107223407722.30003,11
002353,杰瑞股份,sz_mainboard,C35专用设备制造业,107021532178.38466,9
600015,华夏银行,sh_mainboard,J66货币金融服务,106629482218.25024,0
601127,赛力斯,sh_mainboard,C36汽车制造业,106199863907.64316,11
600660,福耀玻璃,sh_mainboard,C30非金属矿物制品业,104981528418.27768,19
600547,山东黄金,sh_mainboard,B09有色金属矿采选业,103590464608.31335,8
300757,罗博特科,chinext,C35专用设备制造业,103498998626.71318,9
000166,申万宏源,sz_mainboard,J67资本市场服务,103440524311.6765,10
600886,国投电力,sh_mainboard,D44电力、热力生产和供应业,102788491309.01288,7
600893,航发动力,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,101702469880.62296,13
601012,隆基绿能,sh_mainboard,C38电气机械和器材制造业,101394491942.60936,1
601006,大秦铁路,sh_mainboard,G53铁路运输业,100706801398.00812,29
002736,国信证券,sz_mainboard,J67资本市场服务,100355083831.99622,10
601939,建设银行,sh_mainboard,J66货币金融服务,99680211705.89903,0
600673,东阳光,sh_mainboard,S91综合,99350196331.59756,30
603799,华友钴业,sh_mainboard,C32有色金属冶炼和压延加工业,99004607145.04546,20
600362,江西铜业,sh_mainboard,C32有色金属冶炼和压延加工业,98283431724.13792,20
601390,中国中铁,sh_mainboard,E48土木工程建筑业,95433900936.78464,16
002466,天齐锂业,sz_mainboard,C32有色金属冶炼和压延加工业,94033129192.79584,20
000617,中油资本,sz_mainboard,J66货币金融服务,93677570722.06535,0
002156,通富微电,sz_mainboard,C39计算机、通信和其他电子设备制造业,93384069404.25533,4
000807,云铝股份,sz_mainboard,C32有色金属冶炼和压延加工业,93286501928.38568,20
300033,同花顺,chinext,J69其他金融业,93263150168.65556,31
601727,上海电气,sh_mainboard,C34通用设备制造业,92601898750.0,22
000977,浪潮信息,sz_mainboard,C39计算机、通信和其他电子设备制造业,92542395554.3916,4
300475,香农芯创,chinext,F51批发业,91937658722.14442,32
002001,新和成,sz_mainboard,C27医药制造业,91830691171.93729,12
601881,中国银河,sh_mainboard,J67资本市场服务,91775362798.73628,10
002230,科大讯飞,sz_mainboard,I65软件和信息技术服务业,90811256849.3941,18
601958,金钼股份,sh_mainboard,B09有色金属矿采选业,90571508900.3535,8
600795,国电电力,sh_mainboard,D44电力、热力生产和供应业,89714079427.17018,7
600118,中国卫星,sh_mainboard,C39计算机、通信和其他电子设备制造业,89703563464.61777,4
000538,云南白药,sz_mainboard,C27医药制造业,88914892092.6621,12
600011,华能国际,sh_mainboard,D44电力、热力生产和供应业,88642692932.67992,7
000100,TCL科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,88390070586.29466,4
601231,环旭电子,sh_mainboard,C39计算机、通信和其他电子设备制造业,86605013838.05017,4
002460,赣锋锂业,sz_mainboard,C32有色金属冶炼和压延加工业,86384323132.44316,20
600498,烽火通信,sh_mainboard,C39计算机、通信和其他电子设备制造业,86254040790.53255,4
000630,铜陵有色,sz_mainboard,C32有色金属冶炼和压延加工业,85355507969.741,20
601838,成都银行,sh_mainboard,J66货币金融服务,84896317753.66943,0
300620,光库科技,chinext,C39计算机、通信和其他电子设备制造业,84768671876.56297,4
000301,东方盛虹,sz_mainboard,C26化学原料和化学制品制造业,84310660995.96231,15
000895,双汇发展,sz_mainboard,C13农副食品加工业,83665445822.56674,33
000425,徐工机械,sz_mainboard,C35专用设备制造业,83434483959.21082,9
600023,浙能电力,sh_mainboard,D44电力、热力生产和供应业,82601025858.14835,7
002625,光启技术,sz_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,82519484929.97198,13
300136,信维通信,chinext,C39计算机、通信和其他电子设备制造业,80622188187.1501,4
002179,中航光电,sz_mainboard,C39计算机、通信和其他电子设备制造业,80066818979.07033,4
002837,英维克,sz_mainboard,C35专用设备制造业,79731497430.521,9
600236,桂冠电力,sh_mainboard,D44电力、热力生产和供应业,78824179474.46704,7
002648,卫星化学,sz_mainboard,C26化学原料和化学制品制造业,78337142390.5401,15
600105,永鼎股份,sh_mainboard,C38电气机械和器材制造业,78260539442.86623,1
601168,西部矿业,sh_mainboard,B09有色金属矿采选业,78257010686.19852,8
300498,温氏股份,chinext,A03畜牧业,77816364827.58621,25
603228,景旺电子,sh_mainboard,C39计算机、通信和其他电子设备制造业,77556035096.15218,4
002027,分众传媒,sz_mainboard,L72商务服务业,77266506368.63979,28
600703,三安光电,sh_mainboard,C39计算机、通信和其他电子设备制造业,76381590435.08534,4
601179,中国西电,sh_mainboard,C38电气机械和器材制造业,75965773974.1274,1
601111,中国国航,sh_mainboard,G56航空运输业,75879232343.12329,34
000938,紫光股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,75734745806.514,4
600010,包钢股份,sh_mainboard,C31黑色金属冶炼和压延加工业,75477186807.67671,26
000636,风华高科,sz_mainboard,C39计算机、通信和其他电子设备制造业,75240461036.70055,4
600674,川投能源,sh_mainboard,D44电力、热力生产和供应业,74731024066.9014,7
601800,中国交建,sh_mainboard,E48土木工程建筑业,74469344442.58972,16
002241,歌尔股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,74053203789.56583,4
002709,天赐材料,sz_mainboard,C39计算机、通信和其他电子设备制造业,73971873777.71098,4
601186,中国铁建,sh_mainboard,E48土木工程建筑业,73852276186.45622,16
600585,海螺水泥,sh_mainboard,C30非金属矿物制品业,73755893088.4451,19
600026,中远海能,sh_mainboard,G55水上运输业,73683951052.5761,21
600029,南方航空,sh_mainboard,G56航空运输业,73584079783.26694,34
300548,长芯博创,chinext,C39计算机、通信和其他电子设备制造业,73221605000.34036,4
002311,海大集团,sz_mainboard,C13农副食品加工业,72970056426.51297,33
600869,远东股份,sh_mainboard,C38电气机械和器材制造业,72528404906.90033,1
600039,四川路桥,sh_mainboard,E48土木工程建筑业,72341989596.41257,16
600482,中国动力,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,72243629316.44078,13
002202,金风科技,sz_mainboard,C34通用设备制造业,71777412756.75319,22
600436,片仔癀,sh_mainboard,C27医药制造业,71538405333.60048,12
000426,兴业银锡,sz_mainboard,B09有色金属矿采选业,71470097371.46867,8
002484,江海股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,71159666064.41269,4
000708,中信特钢,sz_mainboard,C31黑色金属冶炼和压延加工业,71065737606.045,26
600875,东方电气,sh_mainboard,C34通用设备制造业,70730508107.98395,22
600958,东方证券,sh_mainboard,J67资本市场服务,70661078414.406,10
002636,金安国纪,sz_mainboard,C39计算机、通信和其他电子设备制造业,70505023063.64508,4
600418,江淮汽车,sh_mainboard,C36汽车制造业,70390306913.36606,11
600115,中国东航,sh_mainboard,G56航空运输业,70142974398.1588,34
300661,圣邦股份,chinext,C39计算机、通信和其他电子设备制造业,69984910595.01714,4
300223,北京君正,chinext,C39计算机、通信和其他电子设备制造业,69284319934.50041,4
002851,麦格米特,sz_mainboard,C38电气机械和器材制造业,68169366059.50822,1
000960,锡业股份,sz_mainboard,C32有色金属冶炼和压延加工业,68153600701.33838,20
001979,招商蛇口,sz_mainboard,K70房地产业,67391482726.11261,35
300015,爱尔眼科,chinext,Q84卫生,67222543262.07867,36
300450,先导智能,chinext,C35专用设备制造业,66430248084.81777,9
002428,云南锗业,sz_mainboard,C32有色金属冶炼和压延加工业,66276556527.65965,20
601018,宁波港,sh_mainboard,G55水上运输业,66146148531.951645,21
601208,东材科技,sh_mainboard,C26化学原料和化学制品制造业,65884197282.4415,15
600879,航天电子,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,65590148359.01909,13
601360,三六零,sh_mainboard,I64互联网和相关服务,65517014616.66113,37
300390,天华新能,chinext,C39计算机、通信和其他电子设备制造业,65290604877.579895,4
300395,菲利华,chinext,C30非金属矿物制品业,65256928263.91933,19
600221,海航控股,sh_mainboard,G56航空运输业,65126165950.17009,34
300666,江丰电子,chinext,C39计算机、通信和其他电子设备制造业,64919528967.59074,4
002304,洋河股份,sz_mainboard,C15酒、饮料和精制茶制造业,64914649235.6538,3
300316,晶盛机电,chinext,C35专用设备制造业,64225605110.16531,9
001965,招商公路,sz_mainboard,G54道路运输业,64145509478.07933,38
600726,华电能源,sh_mainboard,D44电力、热力生产和供应业,63989280111.05824,7
300054,鼎龙股份,chinext,C39计算机、通信和其他电子设备制造业,63573086178.898926,4
601669,中国电建,sh_mainboard,E48土木工程建筑业,63526473411.26463,16
002049,紫光国微,sz_mainboard,C39计算机、通信和其他电子设备制造业,63510153207.52471,4
000625,长安汽车,sz_mainboard,C36汽车制造业,63408759018.17854,11
600066,宇通客车,sh_mainboard,C36汽车制造业,62567753778.48678,11
603659,璞泰来,sh_mainboard,C39计算机、通信和其他电子设备制造业,62513825392.3911,4
600415,小商品城,sh_mainboard,L72商务服务业,62348360682.90853,28
000021,深科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,62131220279.82037,4
600048,保利发展,sh_mainboard,K70房地产业,62127821716.47366,35
000831,中国稀土,sz_mainboard,C32有色金属冶炼和压延加工业,61975384298.010925,20
600438,通威股份,sh_mainboard,C38电气机械和器材制造业,61091130810.09296,1
300672,国科微,chinext,C39计算机、通信和其他电子设备制造业,61052755756.22521,4
002436,兴森科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,60853731122.62187,4
002128,电投能源,sz_mainboard,B06煤炭开采和洗选业,60500585951.43873,6
600378,昊华科技,sh_mainboard,C26化学原料和化学制品制造业,60353244388.11323,15
000768,中航西飞,sz_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,60055164705.00298,13
600426,华鲁恒升,sh_mainboard,C26化学原料和化学制品制造业,59877963464.45798,15
601877,正泰电器,sh_mainboard,C38电气机械和器材制造业,59525123679.60634,1
000933,神火股份,sz_mainboard,C32有色金属冶炼和压延加工业,59422452095.23809,20
600460,士兰微,sh_mainboard,C39计算机、通信和其他电子设备制造业,58857783190.39452,4
600233,圆通速递,sh_mainboard,G60邮政业,58563046591.69055,23
601126,四方股份,sh_mainboard,C38电气机械和器材制造业,58085726814.81483,1
601788,光大证券,sh_mainboard,J67资本市场服务,57155375282.415215,10
300373,扬杰科技,chinext,C39计算机、通信和其他电子设备制造业,57006195373.00794,4
002185,华天科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,56917089521.89502,4
600096,云天化,sh_mainboard,C26化学原料和化学制品制造业,56913512419.25964,15
002595,豪迈科技,sz_mainboard,C35专用设备制造业,56873773874.417015,9
601901,方正证券,sh_mainboard,J67资本市场服务,56473397108.25954,10
600601,方正科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,56090599773.58813,4
000975,山金国际,sz_mainboard,B09有色金属矿采选业,55889907022.214455,8
002812,恩捷股份,sz_mainboard,C29橡胶和塑料制品业,55874674038.71012,39
601233,桐昆股份,sh_mainboard,C28化学纤维制造业,55733376863.40095,40
002532,天山铝业,sz_mainboard,C32有色金属冶炼和压延加工业,55525168361.59442,20
603083,剑桥科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,55473032409.6559,4
600580,卧龙电驱,sh_mainboard,C38电气机械和器材制造业,55405337288.24726,1
600219,南山铝业,sh_mainboard,C32有色金属冶炼和压延加工业,55236103921.42568,20
600578,京能电力,sh_mainboard,D44电力、热力生产和供应业,55163725509.6956,7
603260,合盛硅业,sh_mainboard,C26化学原料和化学制品制造业,54843488423.06006,15
002203,海亮股份,sz_mainboard,C32有色金属冶炼和压延加工业,54839090502.3888,20
600988,赤峰黄金,sh_mainboard,B09有色金属矿采选业,54293408876.65925,8
002064,华峰化学,sz_mainboard,C28化学纤维制造业,54076642274.49993,40
600803,新奥股份,sh_mainboard,D45燃气生产和供应业,54063403290.67642,41
000688,国城矿业,sz_mainboard,B09有色金属矿采选业,54039039152.58104,8
300285,国瓷材料,chinext,C26化学原料和化学制品制造业,54037152113.90382,15
000157,中联重科,sz_mainboard,C35专用设备制造业,53940229598.62847,9
600372,中航机载,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,53809231482.55813,13
600741,华域汽车,sh_mainboard,C36汽车制造业,53690152218.53083,11
603156,养元饮品,sh_mainboard,C15酒、饮料和精制茶制造业,53473355603.04274,3
600350,山东高速,sh_mainboard,G54道路运输业,53420950858.77863,38
002920,德赛西威,sz_mainboard,C39计算机、通信和其他电子设备制造业,53290832322.1314,4
601377,兴业证券,sh_mainboard,J67资本市场服务,52765078199.64872,10
601699,潞安环能,sh_mainboard,B06煤炭开采和洗选业,52649781295.34363,6
300058,蓝色光标,chinext,L72商务服务业,52412697649.601006,28
