code,source
000039,primary_cache
000750,primary_cache
600663,primary_cache
300474,primary_cache
603077,primary_cache
601975,primary_cache
601567,primary_cache
603588,primary_cache
603816,primary_cache
300677,primary_cache
603826,primary_cache
601997,primary_cache
601677,primary_cache
601636,primary_cache
300342,primary_cache
000623,primary_cache
603833,primary_cache
603638,primary_cache
002423,primary_cache
002065,primary_cache
300724,primary_cache
603938,primary_cache
601865,primary_cache
000598,primary_cache
002645,primary_cache
002048,primary_cache
002948,primary_cache
000935,primary_cache
603226,primary_cache
002007,primary_cache
603127,primary_cache
603899,primary_cache
600967,primary_cache
300012,primary_cache
000603,primary_cache
002683,primary_cache
002468,primary_cache
002265,primary_cache
600596,primary_cache
000034,primary_cache
002290,primary_cache
001696,primary_cache
300627,primary_cache
002402,primary_cache
002461,primary_cache
000875,primary_cache
000591,primary_cache
002299,primary_cache
300131,primary_cache
300738,primary_cache
600428,primary_cache
600961,primary_cache
300209,primary_cache
603026,primary_cache
601158,primary_cache
600848,primary_cache
600459,primary_cache
600004,primary_cache
600316,primary_cache
000543,primary_cache
002379,primary_cache
600007,primary_cache
300503,primary_cache
600410,primary_cache
002044,primary_cache
603283,primary_cache
002180,primary_cache
300088,primary_cache
002895,primary_cache
601098,primary_cache
002176,primary_cache
000050,primary_cache
600552,primary_cache
603733,primary_cache
600606,primary_cache
600012,primary_cache
600171,primary_cache
000539,primary_cache
600518,primary_cache
002506,primary_cache
300323,primary_cache
000739,primary_cache
002670,primary_cache
603233,primary_cache
600602,primary_cache
600038,primary_cache
002500,primary_cache
000686,primary_cache
002120,primary_cache
601020,primary_cache
600339,primary_cache
300003,primary_cache
002389,primary_cache
600301,primary_cache
000937,primary_cache
002611,primary_cache
601969,primary_cache
600435,primary_cache
002913,primary_cache
600380,primary_cache
600131,primary_cache
603997,primary_cache
603337,primary_cache
300602,primary_cache
002270,primary_cache
603823,primary_cache
000997,primary_cache
603658,primary_cache
300142,primary_cache
300201,primary_cache
603203,primary_cache
600754,primary_cache
603000,primary_cache
601139,primary_cache
000513,primary_cache
000009,primary_cache
600179,primary_cache
603358,primary_cache
002739,primary_cache
002947,primary_cache
002841,primary_cache
300773,primary_cache
300085,primary_cache
000537,primary_cache
600062,primary_cache
