date,sample_count
2019-04-12,984
2019-04-15,984
2019-04-16,983
2019-04-17,984
2019-04-18,985
2019-04-19,984
2019-04-22,986
2019-04-23,987
2019-04-24,987
2019-04-25,985
2019-04-26,983
2019-04-29,983
2019-04-30,981
2019-05-06,983
2019-05-07,984
2019-05-08,984
2019-05-09,985
2019-05-10,984
2019-05-13,984
2019-05-14,984
2019-05-15,984
2019-05-16,983
2019-05-17,984
2019-05-20,983
2019-05-21,984
2019-05-22,985
2019-05-23,985
2019-05-24,985
2019-05-27,984
2019-05-28,983
2019-05-29,984
2019-05-30,983
2019-05-31,983
2019-06-03,983
2019-06-04,983
2019-06-05,984
2019-06-06,984
2019-06-10,984
2019-06-11,984
2019-06-12,985
2019-06-13,985
2019-06-14,985
2019-06-17,986
2019-06-18,984
2019-06-19,986
2019-06-20,985
2019-06-21,984
2019-06-24,983
2019-06-25,984
2019-06-26,984
2019-06-27,984
2019-06-28,985
2019-07-01,985
2019-07-02,986
2019-07-03,985
2019-07-04,983
2019-07-05,986
2019-07-08,985
2019-07-09,984
2019-07-10,984
2019-07-11,984
2019-07-12,985
2019-07-15,985
2019-07-16,984
2019-07-17,985
2019-07-18,985
2019-07-19,985
2019-07-22,986
2019-07-23,986
2019-07-24,986
2019-07-25,986
2019-07-26,984
2019-07-29,985
2019-07-30,986
2019-07-31,986
2019-08-01,985
2019-08-02,987
2019-08-05,987
2019-08-06,986
2019-08-07,985
2019-08-08,984
2019-08-09,984
2019-08-12,984
2019-08-13,983
2019-08-14,982
2019-08-15,985
2019-08-16,985
2019-08-19,985
2019-08-20,985
2019-08-21,985
2019-08-22,985
2019-08-23,985
2019-08-26,985
2019-08-27,985
2019-08-28,985
2019-08-29,984
2019-08-30,984
2019-09-02,985
2019-09-03,985
2019-09-04,985
2019-09-05,985
2019-09-06,985
2019-09-09,986
2019-09-10,984
2019-09-11,985
2019-09-12,985
2019-09-16,985
2019-09-17,985
2019-09-18,985
2019-09-19,984
2019-09-20,986
2019-09-23,985
2019-09-24,985
2019-09-25,986
2019-09-26,986
2019-09-27,984
2019-09-30,985
2019-10-08,982
2019-10-09,981
2019-10-10,984
2019-10-11,985
2019-10-14,985
2019-10-15,985
2019-10-16,985
2019-10-17,984
2019-10-18,985
2019-10-21,986
2019-10-22,987
2019-10-23,986
2019-10-24,986
2019-10-25,986
2019-10-28,986
2019-10-29,986
2019-10-30,984
2019-10-31,986
2019-11-01,985
2019-11-04,986
2019-11-05,986
2019-11-06,986
2019-11-07,986
2019-11-08,986
2019-11-11,986
2019-11-12,987
2019-11-13,985
2019-11-14,986
2019-11-15,986
2019-11-18,986
2019-11-19,986
2019-11-20,986
2019-11-21,987
2019-11-22,987
2019-11-25,986
2019-11-26,985
2019-11-27,986
2019-11-28,984
2019-11-29,986
2019-12-02,984
2019-12-03,985
2019-12-04,984
2019-12-05,984
2019-12-06,983
2019-12-09,983
