symbol,nobs
601567,3588
601577,1868
601598,1793
601600,3873
601601,3989
601606,1904
601607,3963
601608,3235
601611,2432
601615,1782
601618,3913
601628,3987
601633,3544
601636,3588
601666,3988
601668,3985
601669,3444
601677,3572
601688,3947
601689,2722
601699,3966
601717,3647
601727,3721
601766,3897
601777,3730
601788,3972
601799,3677
601800,3463
601808,3988
601818,3821
601838,2027
601857,3987
601858,2281
601865,1778
601866,3879
601869,1915
601872,3868
601877,3838
601878,2178
601880,3748
601881,2278
601888,3926
601898,3985
601899,3953
601901,3484
601918,3893
601919,3837
601928,3474
601933,3739
601939,3980
601958,3988
601965,3394
601966,2394
601969,2747
601975,1800
601985,2675
601988,3979
601990,1941
601991,3967
601997,2384
601998,3974
603000,3432
603002,3392
603005,3000
603009,2814
603011,2721
603019,2793
603025,2672
603026,2682
603031,2372
603039,2215
603063,2154
603067,2351
603077,3283
603078,2223
603083,2084
603127,2134
603129,2139
603156,2019
603160,2337
603179,2244
603186,2292
603198,2684
603203,2331
603225,2224
603226,2179
603228,2289
603233,2153
603259,1967
603260,2093
603267,1719
603283,2047
603288,3002
603297,1879
603298,2296
603301,1983
603303,2235
603305,2161
603306,2809
603308,2943
603317,1737
603328,2902
603337,2280
603338,2715
603345,2222
603355,2695
603358,2271
603360,2273
603369,2901
603379,1746
603444,2291
603486,1953
603501,2042
603505,2214
603515,2381
603516,2025
603568,2684
603588,2680
603596,1972
603601,2710
603605,2081
603606,2827
603618,2724
603629,1810
603638,2279
603650,1932
603658,2372
603659,2033
603663,2395
603667,2269
603678,2749
603688,2821
603698,2763
603699,3004
603728,2210
603730,2139
603733,1977
603737,2434
603738,2355
603766,3319
603773,1980
603799,2728
603800,2546
603806,2839
603816,2344
603823,2301
603826,2226
603833,2231
603858,2323
603868,2467
603871,2023
603876,1979
603881,2269
603885,2673
603899,2764
603906,2230
603920,2215
603929,2293
603936,2455
603938,2176
603939,2633
603979,2662
603986,2176
603993,3301
603997,2649
