date,sample_count
2015-12-07,719
2015-12-08,721
2015-12-09,721
2015-12-10,722
2015-12-11,721
2015-12-14,728
2015-12-15,733
2015-12-16,734
2015-12-17,734
2015-12-18,732
2015-12-21,730
2015-12-22,729
2015-12-23,729
2015-12-24,728
2015-12-25,738
2015-12-28,739
2015-12-29,735
2015-12-30,732
2015-12-31,735
2016-01-04,737
2016-01-05,739
2016-01-06,739
2016-01-07,738
2016-01-08,733
2016-01-11,734
2016-01-12,736
2016-01-13,737
2016-01-14,739
2016-01-15,740
2016-01-18,741
2016-01-19,742
2016-01-20,744
2016-01-21,742
2016-01-22,741
2016-01-25,743
2016-01-26,741
2016-01-27,739
2016-01-28,742
2016-01-29,741
2016-02-01,742
2016-02-02,740
2016-02-03,740
2016-02-04,736
2016-02-05,737
2016-02-15,737
2016-02-16,735
2016-02-17,737
2016-02-18,735
2016-02-19,735
2016-02-22,733
2016-02-23,734
2016-02-24,733
2016-02-25,733
2016-02-26,734
2016-02-29,732
2016-03-01,733
2016-03-02,737
2016-03-03,737
2016-03-04,736
2016-03-07,735
2016-03-08,733
2016-03-09,731
2016-03-10,731
2016-03-11,735
2016-03-14,735
2016-03-15,735
2016-03-16,737
2016-03-17,736
2016-03-18,734
2016-03-21,735
2016-03-22,735
2016-03-23,738
2016-03-24,735
2016-03-25,729
2016-03-28,725
2016-03-29,724
2016-03-30,722
2016-03-31,725
2016-04-01,723
2016-04-05,720
2016-04-06,722
2016-04-07,718
2016-04-08,721
2016-04-11,726
2016-04-12,726
2016-04-13,728
2016-04-14,730
2016-04-15,729
2016-04-18,728
2016-04-19,728
2016-04-20,725
2016-04-21,722
2016-04-22,726
2016-04-25,728
2016-04-26,728
2016-04-27,726
2016-04-28,728
2016-04-29,726
2016-05-03,730
2016-05-04,732
2016-05-05,732
2016-05-06,733
2016-05-09,729
2016-05-10,728
2016-05-11,729
2016-05-12,728
2016-05-13,730
2016-05-16,730
2016-05-17,728
2016-05-18,727
2016-05-19,726
2016-05-20,727
2016-05-23,731
2016-05-24,733
2016-05-25,732
2016-05-26,733
2016-05-27,733
2016-05-30,736
2016-05-31,739
2016-06-01,740
2016-06-02,741
2016-06-03,742
2016-06-06,742
2016-06-07,743
2016-06-08,742
2016-06-13,740
2016-06-14,743
2016-06-15,745
2016-06-16,743
2016-06-17,744
2016-06-20,738
2016-06-21,740
2016-06-22,741
2016-06-23,743
2016-06-24,744
2016-06-27,745
2016-06-28,746
2016-06-29,746
2016-06-30,744
2016-07-01,745
2016-07-04,747
2016-07-05,746
2016-07-06,747
2016-07-07,744
2016-07-08,743
2016-07-11,742
2016-07-12,743
2016-07-13,743
2016-07-14,744
2016-07-15,745
2016-07-18,745
2016-07-19,741
2016-07-20,741
2016-07-21,739
2016-07-22,742
2016-07-25,744
2016-07-26,744
2016-07-27,746
2016-07-28,747
2016-07-29,747
2016-08-01,749
2016-08-02,751
2016-08-03,751
2016-08-04,751
2016-08-05,752
2016-08-08,750
2016-08-09,752
2016-08-10,752
2016-08-11,752
2016-08-12,753
2016-08-15,750
2016-08-16,753
2016-08-17,753
2016-08-18,753
2016-08-19,752
2016-08-22,753
2016-08-23,753
2016-08-24,753
2016-08-25,750
2016-08-26,752
2016-08-29,748
2016-08-30,751
2016-08-31,751
2016-09-01,750
2016-09-02,750
2016-09-05,750
2016-09-06,751
2016-09-07,747
2016-09-08,750
2016-09-09,749
2016-09-12,748
2016-09-13,747
2016-09-14,745
2016-09-19,743
2016-09-20,745
2016-09-21,744
2016-09-22,745
2016-09-23,746
2016-09-26,747
2016-09-27,747
2016-09-28,752
2016-09-29,754
2016-09-30,755
2016-10-10,752
2016-10-11,752
2016-10-12,758
2016-10-13,758
2016-10-14,759
2016-10-17,760
2016-10-18,757
2016-10-19,757
2016-10-20,755
2016-10-21,755
2016-10-24,756
2016-10-25,757
2016-10-26,759
2016-10-27,759
2016-10-28,760
2016-10-31,760
2016-11-01,762
2016-11-02,760
2016-11-03,761
2016-11-04,760
2016-11-07,761
2016-11-08,762
2016-11-09,761
2016-11-10,761
2016-11-11,761
2016-11-14,760
2016-11-15,760
2016-11-16,760
2016-11-17,754
2016-11-18,752
2016-11-21,753
2016-11-22,757
2016-11-23,758
2016-11-24,761
2016-11-25,763
2016-11-28,765
2016-11-29,763
2016-11-30,767
2016-12-01,766
2016-12-02,765
2016-12-05,769
2016-12-06,766
2016-12-07,767
2016-12-08,764
2016-12-09,765
2016-12-12,766
2016-12-13,772
2016-12-14,774
2016-12-15,773
2016-12-16,773
2016-12-19,773
2016-12-20,774
2016-12-21,774
2016-12-22,771
2016-12-23,770
2016-12-26,772
2016-12-27,774
2016-12-28,771
2016-12-29,771
2016-12-30,774
2017-01-03,775
2017-01-04,777
2017-01-05,777
2017-01-06,778
2017-01-09,779
2017-01-10,781
2017-01-11,780
2017-01-12,780
2017-01-13,780
2017-01-16,777
2017-01-17,778
