rank,trade_date,date,stock_code,artifact_name,artifact_dir,samples,entry_policy,label_mode,model_name,feature_group,close,open,high,low,volume,amount,daily_vwap,hit_score,threshold,score_margin,entry_signal,signal_raw_score_pass,signal,reject_reason,target_hit_bps,round_trip_cost_bps,expected_return_col,realized_return,eval_label,sector,context_status,source_mode,rolling_label_cutoff,rolling_threshold_mode,rolling_train_rows,rolling_valid_rows,rolling_train_pool_rows,rolling_configured_train_rows,rolling_train_window_mode,rolling_fit_train_entry_rows,rolling_final_fit_entry_rows,rolling_valid_auc,rolling_valid_trades,rolling_valid_avg_return,rolling_valid_max_drawdown,pred_return_bps_override
26,20260519,2026-05-19,601899.SH,a_active_008_close_exit_close_vwap_low_sector_extra_trees_600_d3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601899.SH\a_active_008_close_exit_close_vwap_low_sector_extra_trees_600_d3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,vwap_low,close_profit,extra_trees_600_d3,reversal_fundamental_regime_sector,31.16,31.3,31.39,30.64,180860114.0,,30.94717719242397,0.4729523235471921,0.4980505555522998,-0.025098232005107746,False,False,False,entry_signal_false;score_below_threshold,50.0,1.7,trade_net_close_return,-0.023627583547557892,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,240,240,0.4485714285714286,26,0.0006760367734142509,-0.14455357577250383,6.760367734142509
27,20260519,2026-05-19,600361.SH,a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600361.SH\a_active_047_close_exit_close_vwap_low_reversal_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,vwap_low,close_profit,random_forest_600_d4,reversal_fundamental_regime,4.42,4.35,4.43,4.29,51262277.0,,4.362912088356902,0.46096635708796624,0.4877404322745522,-0.026774075186585977,False,False,False,entry_signal_false;score_below_threshold,50.0,1.7,trade_net_close_return,-0.006942009029345272,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,225,225,0.5842911877394635,15,0.0034378226887252458,-0.043601769165168336,34.37822688725246
28,20260519,2026-05-19,600312.SH,a_active_014_close_exit_close_all_days_reversal_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600312.SH\a_active_014_close_exit_close_all_days_reversal_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,all_days,close_profit,random_forest_600_d4,reversal_fundamental_regime,22.5,21.86,22.59,21.52,26724589.0,,22.15174209040221,0.5021467583174457,0.5303481727614134,-0.02820141444396773,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,-0.01174098353360031,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.4733333333333334,20,-0.0010185674931315744,-0.12932788915056315,-10.185674931315743
29,20260519,2026-05-19,601899.SH,a_active_049_close_exit_close_all_days_sector_extra_trees_600_d3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\601899.SH\a_active_049_close_exit_close_all_days_sector_extra_trees_600_d3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\601899_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,all_days,close_profit,extra_trees_600_d3,reversal_fundamental_regime_sector,31.16,31.3,31.39,30.64,180860114.0,,30.94717719242397,0.4726010850852512,0.505705452022938,-0.03310436693768681,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,-0.023627583547557892,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.47523809523809524,33,-0.0015423118422868817,-0.2409788791597417,-15.423118422868818
30,20260519,2026-05-19,600312.SH,a_active_006_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600312.SH\a_active_006_close_exit_close_vwap_low_reversal_xgb_d3_600_lr002_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,vwap_low,close_profit,xgb_d3_600_lr002_mcw3,reversal_fundamental_regime,22.5,21.86,22.59,21.52,26724589.0,,22.15174209040221,0.2220952808856964,0.2595839202404022,-0.03748863935470581,False,False,False,entry_signal_false;score_below_threshold,50.0,1.7,trade_net_close_return,-0.01174098353360031,0.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,243,243,0.49285714285714294,24,0.004776190074514848,-0.06536003524739553,47.76190074514848
31,20260519,2026-05-19,600919.SH,a_active_023_target_exit_50bps_hit50_all_days_all_no_ak_xgb_d3_400_lr003_mcw3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600919.SH\a_active_023_target_exit_50bps_hit50_all_days_all_no_ak_xgb_d3_400_lr003_mcw3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600919_pipeline_out\03_sector\training_samples_with_sector.csv,all_days,hit,xgb_d3_400_lr003_mcw3,all_no_ak,11.22,11.04,11.28,11.04,89833046.0,,11.195887012447512,0.5503695011138916,0.6044575929641723,-0.05408809185028074,True,False,False,score_below_threshold,50.0,1.7,trade_target_or_close_return,0.005,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.5854978354978355,26,0.0010047235851666418,-0.04164465437788012,10.047235851666418
32,20260519,2026-05-19,002028.SZ,a_active_001_target_exit_80bps_hit80_vwap_low_reversal_extra_trees_600_d3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_001_target_exit_80bps_hit80_vwap_low_reversal_extra_trees_600_d3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,vwap_low,hit,extra_trees_600_d3,reversal_fundamental_regime,194.99,193.87,196.5,189.18,8390786.0,,193.33238743664776,0.5598351124599916,0.6182329905451224,-0.05839787808513075,False,False,False,entry_signal_false;score_below_threshold,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,216,216,0.5295983086680761,19,-0.001022943704220314,-0.08848009591311368,-10.22943704220314
33,20260519,2026-05-19,002028.SZ,a_active_005_target_exit_80bps_hit80_vwap_low_sector_extra_trees_600_d3,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\002028.SZ\a_active_005_target_exit_80bps_hit80_vwap_low_sector_extra_trees_600_d3,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002028_pipeline_out\04_external\storage_power\training_samples_with_storage_power_external.csv,vwap_low,hit,extra_trees_600_d3,reversal_fundamental_regime_sector,194.99,193.87,196.5,189.18,8390786.0,,193.33238743664776,0.5598351124599916,0.6182329905451224,-0.05839787808513075,False,False,False,entry_signal_false;score_below_threshold,80.0,1.7,trade_target_or_close_return,0.008,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,216,216,0.5295983086680761,19,-0.001022943704220314,-0.08848009591311368,-10.22943704220314
34,20260519,2026-05-19,600522.SH,a_active_015_close_exit_close_vwap_low_sector_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600522.SH\a_active_015_close_exit_close_vwap_low_sector_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,vwap_low,close_profit,random_forest_600_d4,reversal_fundamental_regime_sector,44.55,43.0,44.9,41.29,319664725.0,,43.14336850273361,0.5922671346934165,0.6538138393283194,-0.06154670463490286,False,False,False,entry_signal_false;score_below_threshold,50.0,1.7,trade_net_close_return,0.019591958230406274,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,233,233,0.5326510721247564,9,0.005526589735716899,-0.0834139511399099,55.26589735716899
35,20260519,2026-05-19,600522.SH,a_active_016_close_exit_close_all_days_sector_external_random_forest_600_d4,portfolio_reports\backtests\a_active_asof1455_smoke\generated_active_metadata\600522.SH\a_active_016_close_exit_close_all_days_sector_external_random_forest_600_d4,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,all_days,close_profit,random_forest_600_d4,reversal_fundamental_regime_sector_external,44.55,43.0,44.9,41.29,319664725.0,,43.14336850273361,0.5328035541142929,0.5948867888778776,-0.06208323476358468,True,False,False,score_below_threshold,50.0,1.7,trade_net_close_return,0.019591958230406274,1.0,,a_active_asof1455_rolling_retrain,a_active_asof1455_rolling_retrain,2026-05-15,tail,263,65,263,0,all_history,263,263,0.6345029239766082,13,0.024508159501732043,-0.05026841075947053,245.08159501732044
