code,name,board,industry,recent_close,recent_turn,recent_volume,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,approx_circ_mv,marketcap_source,marketcap_confidence
002460,赣锋锂业,sz_mainboard,C32有色金属冶炼和压延加工业,71.32,6.5348,79151067.0,1211224016.0372162,1211221580.656803,5,6.700613711743615e-06,86384323132.44316,baostock_approx_circ_mv,low_confidence_approx
600498,烽火通信,sh_mainboard,C39计算机、通信和其他电子设备制造业,67.83,12.8014,162784904.0,1271617979.283516,1271620828.4023669,5,5.000583016263144e-06,86254040790.53255,baostock_approx_circ_mv,low_confidence_approx
000630,铜陵有色,sz_mainboard,C32有色金属冶炼和压延加工业,7.66,11.1884,1246720995.0,11142978397.2686,11143016706.232506,5,1.402018474377957e-05,85355507969.741,baostock_approx_circ_mv,low_confidence_approx
601838,成都银行,sh_mainboard,J66货币金融服务,20.03,0.6268,26566656.0,4238458200.3828974,4238458200.3828974,5,0.0001322795048358,84896317753.66943,baostock_approx_circ_mv,low_confidence_approx
300620,光库科技,chinext,C39计算机、通信和其他电子设备制造业,343.05,10.246,25318309.0,247104323.63849303,247102964.2226001,5,1.155498560995476e-05,84768671876.56297,baostock_approx_circ_mv,low_confidence_approx
000301,东方盛虹,sz_mainboard,C26化学原料和化学制品制造业,12.76,0.5901,38992231.0,6607732757.159803,6607418573.351278,5,0.0002793002223402,84310660995.96231,baostock_approx_circ_mv,low_confidence_approx
000895,双汇发展,sz_mainboard,C13农副食品加工业,24.15,0.3891,13477736.0,3463823181.701362,3464407694.516221,5,0.0002301519070721,83665445822.56674,baostock_approx_circ_mv,low_confidence_approx
000425,徐工机械,sz_mainboard,C35专用设备制造业,9.27,1.3533,121803546.0,9000483706.495234,9000483706.495234,5,2.691417579255685e-05,83434483959.21082,baostock_approx_circ_mv,low_confidence_approx
600023,浙能电力,sh_mainboard,D44电力、热力生产和供应业,6.16,0.5222,70014657.0,13407632516.277288,13409257444.5046,5,0.0001440792406728,82601025858.14835,baostock_approx_circ_mv,low_confidence_approx
002625,光启技术,sz_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,38.3,1.2367,26644888.0,2154515080.4560523,2154555742.296919,5,5.876532270000253e-05,82519484929.97198,baostock_approx_circ_mv,low_confidence_approx
300136,信维通信,chinext,C39计算机、通信和其他电子设备制造业,97.7,11.9861,98909479.0,825201516.75691,825201516.75691,5,5.397594808291968e-06,80622188187.1501,baostock_approx_circ_mv,low_confidence_approx
002179,中航光电,sz_mainboard,C39计算机、通信和其他电子设备制造业,38.19,2.4654,51688069.0,2096538857.7918391,2096538857.7918391,5,1.801940772516365e-05,80066818979.07033,baostock_approx_circ_mv,low_confidence_approx
002837,英维克,sz_mainboard,C35专用设备制造业,70.53,4.7917,54168628.0,1130467850.6584303,1130462178.22942,5,1.0404453471173788e-05,79731497430.521,baostock_approx_circ_mv,low_confidence_approx
