code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,history_start,history_end,history_rows,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,recent_close,recent_turn,recent_volume,recent_amount,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_min,implied_float_shares_5d_max,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,implied_float_shares_unstable_3pct,implied_float_shares_unstable_5pct,approx_circ_mv,pass_90,pass_95,pass_recent,pass_current_trade,pass_st,error
600031,sh.600031,三一重工,sh_mainboard,C35专用设备制造业,证监会行业分类,2003-07-03,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,19.19,1.0864,92063668.0,1782373332.21,8474196244.477172,8474196244.477172,8474152463.974382,8474632280.892759,5,5.662093542967338e-05,False,False,162619825931.51694,True,True,True,True,True,
000988,sz.000988,华工科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2000-06-08,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,160.98,7.6531,76912614.0,12015771017.92,1004986397.6689185,1004986397.6689185,1004982896.3254187,1004992884.8145449,5,9.938929670465092e-06,False,False,161782710296.7425,True,True,True,True,True,
002352,sz.002352,顺丰控股,sz_mainboard,G60邮政业,证监会行业分类,2010-02-05,2026-06-15,2019-06-15,2026-06-15,1697,1694,1.0083333333333333,252,False,False,33.59,0.9582,45708576.0,1547405801.38,4770254226.675015,4769737993.695531,4769454326.923078,4770254226.675015,5,0.0001677030799165793,False,False,160215499208.2329,True,True,True,True,True,
600887,sh.600887,伊利股份,sh_mainboard,C14食品制造业,证监会行业分类,1996-03-12,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,25.41,0.9736,61274760.0,1561234413.5,6293627773.212818,6293832865.774709,6293627773.212818,6294379069.767442,5,0.00011937027414710776,False,False,159926293119.33536,True,True,True,True,True,
601100,sh.601100,恒立液压,sh_mainboard,C34通用设备制造业,证监会行业分类,2011-10-28,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,116.14,0.899,12054491.0,1397319098.25,1340877753.0589545,1340808832.4873097,1340760055.8304782,1340877753.0589545,5,8.778076756695283e-05,False,False,155721537805.07614,True,True,True,True,True,
000063,sz.000063,中兴通讯,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,1997-11-18,2026-06-15,2019-06-15,2026-06-15,1697,1696,1.0095238095238095,252,False,False,37.22,4.3076,173493166.0,6385605445.09,4027606230.847804,4027607763.5927677,4027599228.1303596,4027651658.2202435,5,1.30176752457729e-05,False,False,149907560960.92282,True,True,True,True,True,
601688,sh.601688,华泰证券,sh_mainboard,J67资本市场服务,证监会行业分类,2010-02-26,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,20.36,2.9277,213921801.0,4367988718.17,7306821088.226253,7306821088.226253,7306617469.338917,7306852650.297944,5,3.218649480911008e-05,False,False,148766877356.2865,True,True,True,True,True,
601818,sh.601818,光大银行,sh_mainboard,J66货币金融服务,证监会行业分类,2010-08-18,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,3.19,0.4573,212209900.0,678994018.0,46404963918.65296,46405016255.44267,46401918790.88653,46406485266.60431,5,9.84047865136882e-05,False,False,148032001854.86212,True,True,True,True,True,
000338,sz.000338,潍柴动力,sz_mainboard,C36汽车制造业,证监会行业分类,2007-04-30,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,29.38,2.5074,124194927.0,3583006919.91,4953135798.037808,4953189227.895393,4953135798.037808,4953292627.524567,5,3.16623249269378e-05,False,False,145524699515.56665,True,True,True,True,True,
600809,sh.600809,山西汾酒,sh_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,1994-01-06,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,119.28,0.7515,9167832.0,1089107408.0,1219937724.5508983,1219981500.9951997,1219874979.5984983,1220000000.0,5,0.00010247729281113706,False,False,145519393438.70743,True,True,True,True,True,
601009,sh.601009,南京银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-07-19,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,11.42,0.57,70470346.0,810472321.71,12363218596.49123,12363218596.49123,12362501112.170322,12364496621.62162,5,0.00016140695367661783,False,False,141187956371.92984,True,True,True,True,True,
601600,sh.601600,中国铝业,sh_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,2007-04-30,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,10.67,3.0815,405938084.0,4348846898.99,13173392308.94045,13173378968.995144,13173188464.16382,13173715503.730173,5,4.00079256501528e-05,False,False,140559953599.1782,True,True,True,True,True,
601766,sh.601766,中国中车,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2008-08-18,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,5.76,0.7104,172836010.0,993879040.77,24329393299.54955,24328223282.94882,24327177860.696518,24329741210.139,5,0.00010536525469488751,False,False,140130566109.7852,True,True,True,True,True,
601872,sh.601872,招商轮船,sh_mainboard,G55水上运输业,证监会行业分类,2006-12-01,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,17.16,0.3063,24735811.0,424466516.76,8075681031.668299,8074544286.979629,8074168787.993921,8075681031.668299,5,0.00018728532789348445,False,False,138559179964.57043,True,True,True,True,True,
600999,sh.600999,招商证券,sh_mainboard,J67资本市场服务,证监会行业分类,2009-11-17,2026-06-15,2019-06-15,2026-06-15,1697,1691,1.006547619047619,252,False,False,18.5,2.2945,170301595.0,3157510364.23,7422165831.335802,7422151241.036955,7421744900.324525,7422650273.224044,5,0.0001219825452374474,False,False,137309797959.18367,True,True,True,True,True,
600050,sh.600050,中国联通,sh_mainboard,I63电信、广播电视和卫星传输服务,证监会行业分类,2002-10-09,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,4.4,0.5034,155994073.0,685706365.02,30988095550.258247,30989779699.007362,30988095550.258247,30990976783.81257,5,9.29736701036819e-05,False,False,136355030675.6324,True,True,True,True,True,
601898,sh.601898,中煤能源,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2008-02-01,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,14.77,0.8814,80664557.0,1209423815.18,9151867143.181303,9151867143.181303,9150763188.073395,9152646245.059288,5,0.00020575659113410987,False,False,135173077704.78784,True,True,True,True,True,
002714,sz.002714,牧原股份,sz_mainboard,A03畜牧业,证监会行业分类,2014-01-28,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,35.28,1.1974,45504114.0,1599396709.56,3800243360.614665,3800142830.033525,3799987297.1065636,3800243360.614665,5,6.738260101113208e-05,False,False,134069039043.58276,True,True,True,True,True,
600584,sh.600584,长电科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2003-06-03,2026-06-15,2019-06-15,2026-06-15,1697,1692,1.0071428571428571,252,False,False,74.32,9.9559,178153124.0,12871558146.78,1789422593.6379435,1789412336.2705407,1789407080.1559708,1789422593.6379435,5,8.669595966364747e-06,False,False,132989124831.62657,True,True,True,True,True,
601336,sh.601336,新华保险,sh_mainboard,J68保险业,证监会行业分类,2011-12-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,63.2,1.7619,36743512.0,2300673831.79,2085448209.3194847,2085448209.3194847,2085387851.9129627,2085517086.9064379,5,6.196988872592055e-05,False,False,131800326828.99144,True,True,True,True,True,
600690,sh.600690,海尔智家,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,1993-11-19,2026-06-15,2019-06-15,2026-06-15,1697,1695,1.0089285714285714,252,False,False,20.97,0.9969,62338748.0,1303973279.63,6253259905.707694,6253153136.531365,6252910862.152946,6253259905.707694,5,5.581880806795602e-05,False,False,131128621273.06273,True,True,True,True,True,
601229,sh.601229,上海银行,sh_mainboard,J66货币金融服务,证监会行业分类,2016-11-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,9.18,0.3917,55651715.0,515717019.77,14207739341.332651,14209946557.759628,14207739341.332651,14210567731.092438,5,0.00019904295546010385,False,False,130447309400.23338,True,True,True,True,True,
600346,sh.600346,恒力石化,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2001-08-20,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,18.53,1.3031,91724486.0,1705879521.68,7038944516.921188,7039277328.714396,7038384202.28239,7039874665.238351,5,0.0002117352231430602,False,False,130437808901.07777,True,True,True,True,True,
