code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,implied_float_shares_unstable_3pct,implied_float_shares_unstable_5pct,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
000333,sz.000333,美的集团,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,2013-09-18,2026-06-15,,555344174230.4645,baostock_approx_circ_mv,low_confidence_approx,16,16,6862031066.730068,6862031066.730068,5,0.0001724647380844,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002475,sz.002475,立讯精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-09-15,2026-06-15,,495388950640.9496,baostock_approx_circ_mv,low_confidence_approx,17,17,7269281705.489715,7269096854.599406,5,2.7276794188375e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002371,sz.002371,北方华创,sz_mainboard,C35专用设备制造业,证监会行业分类,2010-03-16,2026-06-15,,494109121371.76935,baostock_approx_circ_mv,low_confidence_approx,18,18,724234782.1074476,724266543.5955694,5,4.832783630747493e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600028,sh.600028,中国石化,sh_mainboard,B07石油和天然气开采业,证监会行业分类,2001-08-08,2026-06-15,,472851391610.5328,baostock_approx_circ_mv,low_confidence_approx,19,19,94751315196.54842,94759797917.94244,5,0.0002256698680245,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600183,sh.600183,生益科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,1998-10-28,2026-06-15,,398470063681.375,baostock_approx_circ_mv,low_confidence_approx,20,20,2394512408.047505,2394507924.29166,5,1.5971226312854446e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601166,sh.601166,兴业银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-02-05,2026-06-15,,385785401796.74457,baostock_approx_circ_mv,low_confidence_approx,21,21,21164227587.31692,21162117487.47913,5,0.0001588511440362,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
603993,sh.603993,洛阳钼业,sh_mainboard,B09有色金属矿采选业,证监会行业分类,2012-10-09,2026-06-15,,365285699304.2461,baostock_approx_circ_mv,low_confidence_approx,22,22,17460990712.222145,17461075492.554783,5,3.814843348814321e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
603986,sh.603986,兆易创新,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2016-08-18,2026-06-15,,345944152112.2139,baostock_approx_circ_mv,low_confidence_approx,23,23,667842677.0725135,667845853.4984825,5,1.7212362084703038e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002384,sz.002384,东山精密,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-04-09,2026-06-15,,331760515085.0883,baostock_approx_circ_mv,low_confidence_approx,24,24,1386329853.048632,1386321152.8356037,5,1.746756735633775e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600030,sh.600030,中信证券,sh_mainboard,J67资本市场服务,证监会行业分类,2003-01-06,2026-06-15,,327065426121.23126,baostock_approx_circ_mv,low_confidence_approx,25,25,12176555398.674353,12176672603.173168,5,6.646097937414718e-05,False,False,2019-06-15,2026-06-15,1690,1.005952380952381,252,False,False,False,True
600000,sh.600000,浦发银行,sh_mainboard,J66货币金融服务,证监会行业分类,1999-11-10,2026-06-15,,317384946728.04535,baostock_approx_circ_mv,low_confidence_approx,26,26,33307625757.57576,33303771954.674225,5,0.0001521920337054,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002594,sz.002594,比亚迪,sz_mainboard,C36汽车制造业,证监会行业分类,2011-06-30,2026-06-15,,316656326422.4853,baostock_approx_circ_mv,low_confidence_approx,27,27,3486455163.194831,3486636494.4118624,5,9.90682109836982e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601998,sh.601998,中信银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-04-27,2026-06-15,,311050345922.7642,baostock_approx_circ_mv,low_confidence_approx,28,28,40758285356.69587,40766755691.05691,5,0.0005853381956579,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000858,sz.000858,五粮液,sz_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,1998-04-27,2026-06-15,,309083455836.1472,baostock_approx_circ_mv,low_confidence_approx,29,29,3881451363.123085,3881495112.848765,5,8.641351643277968e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600276,sh.600276,恒瑞医药,sh_mainboard,C27医药制造业,证监会行业分类,2000-10-18,2026-06-15,,305424530703.259,baostock_approx_circ_mv,low_confidence_approx,30,30,6378958452.449018,6378958452.449018,5,6.585768924042781e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002415,sz.002415,海康威视,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-05-28,2026-06-15,,277821154196.33417,baostock_approx_circ_mv,low_confidence_approx,33,33,9045981622.516556,9046602220.655622,5,0.0001156500502311,False,False,2019-06-15,2026-06-15,1695,1.0089285714285714,252,False,False,False,True
600150,sh.600150,中国船舶,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,1998-05-20,2026-06-15,,270243743175.34503,baostock_approx_circ_mv,low_confidence_approx,34,34,7525463594.884647,7525584605.272767,5,4.0119792134575226e-05,False,False,2019-06-15,2026-06-15,1677,0.9982142857142856,248,False,False,False,True
002916,sz.002916,深南电路,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2017-12-13,2026-06-15,,265795307042.9132,baostock_approx_circ_mv,low_confidence_approx,35,35,664819673.7518536,664820677.9462562,5,2.4749415601227078e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002463,sz.002463,沪电股份,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2010-08-18,2026-06-15,,257194778130.8066,baostock_approx_circ_mv,low_confidence_approx,36,36,1922811836.3794608,1922807850.858303,5,1.7216760076883247e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601319,sh.601319,中国人保,sh_mainboard,J68保险业,证监会行业分类,2018-11-16,2026-06-15,,254187321762.214,baostock_approx_circ_mv,low_confidence_approx,37,37,35501022592.48799,35501022592.48799,5,0.0002186764623629,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
603259,sh.603259,药明康德,sh_mainboard,M73研究和试验发展,证监会行业分类,2018-05-08,2026-06-15,,245767657752.7954,baostock_approx_circ_mv,low_confidence_approx,39,39,2473256810.385417,2473258103.580511,5,4.5615698565344415e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601225,sh.601225,陕西煤业,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2014-01-28,2026-06-15,,244896278473.28247,baostock_approx_circ_mv,low_confidence_approx,40,40,9694822852.296137,9695022900.76336,5,0.0001062435169407,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600487,sh.600487,亨通光电,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,2003-08-22,2026-06-15,,242757927945.9337,baostock_approx_circ_mv,low_confidence_approx,41,41,2445190764.454792,2445184608.6415563,5,7.689218614866619e-06,False,False,2019-06-15,2026-06-15,1695,1.0089285714285714,252,False,False,False,True
002938,sz.002938,鹏鼎控股,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2018-09-18,2026-06-15,,241653001572.6825,baostock_approx_circ_mv,low_confidence_approx,42,42,2309401331.622012,2309375015.029458,5,3.45913125921545e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601211,sh.601211,国泰海通,sh_mainboard,J67资本市场服务,证监会行业分类,2015-06-26,2026-06-15,,236058994254.9561,baostock_approx_circ_mv,low_confidence_approx,45,45,13496797841.907152,13496797841.907152,5,8.032375777643119e-05,False,False,2019-06-15,2026-06-15,1678,0.9988095238095238,252,False,False,False,True
600309,sh.600309,万华化学,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2001-01-05,2026-06-15,,230089342544.4525,baostock_approx_circ_mv,low_confidence_approx,46,46,3130549142.970375,3130467245.502755,5,9.559885496822614e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601601,sh.601601,中国太保,sh_mainboard,J68保险业,证监会行业分类,2007-12-25,2026-06-15,,227598425474.2548,baostock_approx_circ_mv,low_confidence_approx,48,48,6844882641.107562,6845065427.797135,5,7.565244506574099e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600919,sh.600919,江苏银行,sh_mainboard,J66货币金融服务,证监会行业分类,2016-08-02,2026-06-15,,216726701124.50357,baostock_approx_circ_mv,low_confidence_approx,49,49,18352593731.343285,18351117792.08328,5,0.0001570381702285,False,False,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,False,True
000001,sz.000001,平安银行,sz_mainboard,J66货币金融服务,证监会行业分类,1991-04-03,2026-06-15,,214631927482.3944,baostock_approx_circ_mv,low_confidence_approx,50,50,19404569432.204456,19406141725.35211,5,0.0001266913040912,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002142,sz.002142,宁波银行,sz_mainboard,J66货币金融服务,证监会行业分类,2007-07-19,2026-06-15,,211828780106.27,baostock_approx_circ_mv,low_confidence_approx,51,51,6599027417.640808,6599027417.640808,5,0.0001538677521572,False,False,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,False,True
000725,sz.000725,京东方A,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2001-01-12,2026-06-15,,209373432459.43103,baostock_approx_circ_mv,low_confidence_approx,52,52,35367051925.03132,35367133861.39038,5,0.0275534401103518,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000651,sz.000651,格力电器,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,1996-11-18,2026-06-15,,209068426447.7212,baostock_approx_circ_mv,low_confidence_approx,53,53,5522145442.359249,5522145442.359249,5,3.235222682086967e-05,False,False,2019-06-15,2026-06-15,1696,1.0095238095238095,252,False,False,False,True
601668,sh.601668,中国建筑,sh_mainboard,E48土木工程建筑业,证监会行业分类,2009-07-29,2026-06-15,,196271627446.10284,baostock_approx_circ_mv,low_confidence_approx,54,54,41317686368.15921,41320342620.23218,5,0.000167419101734,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
603288,sh.603288,海天味业,sh_mainboard,C14食品制造业,证监会行业分类,2014-02-11,2026-06-15,,189849455413.7,baostock_approx_circ_mv,low_confidence_approx,55,55,5560833933.019651,5560909648.907439,5,0.0001587330301028,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600406,sh.600406,国电南瑞,sh_mainboard,I65软件和信息技术服务业,证监会行业分类,2003-10-16,2026-06-15,,187876758698.63016,baostock_approx_circ_mv,low_confidence_approx,56,56,8008386986.301371,8008386986.301371,5,0.0001215587631954,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600176,sh.600176,中国巨石,sh_mainboard,C30非金属矿物制品业,证监会行业分类,1999-04-22,2026-06-15,,183223322183.2791,baostock_approx_circ_mv,low_confidence_approx,57,57,4003130535.242738,4003131356.4185953,5,1.5734528167965678e-05,False,False,2019-06-15,2026-06-15,1687,1.0041666666666669,252,False,False,False,True
601869,sh.601869,长飞光纤,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2018-07-20,2026-06-15,,182975672343.6733,baostock_approx_circ_mv,low_confidence_approx,58,58,406336285.1511535,406341710.73434,5,1.6058006508966e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601328,sh.601328,交通银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-05-15,2026-06-15,,182762002791.42407,baostock_approx_circ_mv,low_confidence_approx,59,59,26071204379.56204,26071612381.0876,5,7.285085830419064e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600111,sh.600111,北方稀土,sh_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,1997-09-24,2026-06-15,,182451978267.076,baostock_approx_circ_mv,low_confidence_approx,60,60,3615084654.439954,3615058019.953952,5,2.533607852000921e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601919,sh.601919,中远海控,sh_mainboard,G55水上运输业,证监会行业分类,2007-06-26,2026-06-15,,181941114193.5484,baostock_approx_circ_mv,low_confidence_approx,61,61,12556673461.190882,12556322580.64516,5,5.781845747464537e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600025,sh.600025,华能水电,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2017-12-15,2026-06-15,,179606212234.43228,baostock_approx_circ_mv,low_confidence_approx,62,62,18631694596.44323,18631349816.84982,5,0.0005130166144773,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002281,sz.002281,光迅科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2009-08-21,2026-06-15,,175857265089.4538,baostock_approx_circ_mv,low_confidence_approx,64,64,779958129.6967785,779958597.9928762,5,1.2642802305571031e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600522,sh.600522,中天科技,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,2002-10-24,2026-06-15,,175254514453.5652,baostock_approx_circ_mv,low_confidence_approx,65,65,3412961875.6056733,3412940885.1716685,5,6.5242347847953175e-06,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601985,sh.601985,中国核电,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2015-06-10,2026-06-15,,174670887221.6119,baostock_approx_circ_mv,low_confidence_approx,66,66,18883364755.62741,18883339159.093178,5,0.0001853085652864,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002050,sz.002050,三花智控,sz_mainboard,C34通用设备制造业,证监会行业分类,2005-06-07,2026-06-15,,168551654666.01004,baostock_approx_circ_mv,low_confidence_approx,67,67,3684269274.80916,3684189173.027542,5,3.149531868685998e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601066,sh.601066,中信建投,sh_mainboard,J67资本市场服务,证监会行业分类,2018-06-20,2026-06-15,,168420443477.15274,baostock_approx_circ_mv,low_confidence_approx,68,68,6495805431.3447485,6495196431.822319,5,0.0001065815771982,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600989,sh.600989,宝丰能源,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2019-05-16,2026-06-15,,163536360105.0081,baostock_approx_circ_mv,low_confidence_approx,70,70,7333315174.097392,7333469063.004847,5,6.708511807667855e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600031,sh.600031,三一重工,sh_mainboard,C35专用设备制造业,证监会行业分类,2003-07-03,2026-06-15,,162619825931.51694,baostock_approx_circ_mv,low_confidence_approx,71,71,8474196244.477172,8474196244.477172,5,5.662093542967338e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000988,sz.000988,华工科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2000-06-08,2026-06-15,,161782710296.7425,baostock_approx_circ_mv,low_confidence_approx,72,72,1004986397.6689184,1004986397.6689184,5,9.938929670465092e-06,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002352,sz.002352,顺丰控股,sz_mainboard,G60邮政业,证监会行业分类,2010-02-05,2026-06-15,,160215499208.2329,baostock_approx_circ_mv,low_confidence_approx,73,73,4770254226.675015,4769737993.695531,5,0.0001677030799165,False,False,2019-06-15,2026-06-15,1694,1.0083333333333333,252,False,False,False,True
600887,sh.600887,伊利股份,sh_mainboard,C14食品制造业,证监会行业分类,1996-03-12,2026-06-15,,159926293119.33536,baostock_approx_circ_mv,low_confidence_approx,74,74,6293627773.212818,6293832865.774709,5,0.0001193702741471,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601100,sh.601100,恒立液压,sh_mainboard,C34通用设备制造业,证监会行业分类,2011-10-28,2026-06-15,,155721537805.07614,baostock_approx_circ_mv,low_confidence_approx,75,75,1340877753.0589545,1340808832.4873097,5,8.778076756695283e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000063,sz.000063,中兴通讯,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,1997-11-18,2026-06-15,,149907560960.92282,baostock_approx_circ_mv,low_confidence_approx,76,76,4027606230.847804,4027607763.592768,5,1.30176752457729e-05,False,False,2019-06-15,2026-06-15,1696,1.0095238095238095,252,False,False,False,True
601688,sh.601688,华泰证券,sh_mainboard,J67资本市场服务,证监会行业分类,2010-02-26,2026-06-15,,148766877356.2865,baostock_approx_circ_mv,low_confidence_approx,77,77,7306821088.226253,7306821088.226253,5,3.218649480911008e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601818,sh.601818,光大银行,sh_mainboard,J66货币金融服务,证监会行业分类,2010-08-18,2026-06-15,,148032001854.86212,baostock_approx_circ_mv,low_confidence_approx,78,78,46404963918.65296,46405016255.44267,5,9.84047865136882e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000338,sz.000338,潍柴动力,sz_mainboard,C36汽车制造业,证监会行业分类,2007-04-30,2026-06-15,,145524699515.56665,baostock_approx_circ_mv,low_confidence_approx,79,79,4953135798.037808,4953189227.895393,5,3.16623249269378e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600809,sh.600809,山西汾酒,sh_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,1994-01-06,2026-06-15,,145519393438.70743,baostock_approx_circ_mv,low_confidence_approx,80,80,1219937724.5508983,1219981500.9951997,5,0.0001024772928111,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601009,sh.601009,南京银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-07-19,2026-06-15,,141187956371.92984,baostock_approx_circ_mv,low_confidence_approx,81,81,12363218596.49123,12363218596.49123,5,0.0001614069536766,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601600,sh.601600,中国铝业,sh_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,2007-04-30,2026-06-15,,140559953599.1782,baostock_approx_circ_mv,low_confidence_approx,82,82,13173392308.94045,13173378968.995144,5,4.00079256501528e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601766,sh.601766,中国中车,sh_mainboard,C37铁路、船舶、航空航天和其他运输设备制造业,证监会行业分类,2008-08-18,2026-06-15,,140130566109.7852,baostock_approx_circ_mv,low_confidence_approx,83,83,24329393299.54955,24328223282.94882,5,0.0001053652546948,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601872,sh.601872,招商轮船,sh_mainboard,G55水上运输业,证监会行业分类,2006-12-01,2026-06-15,,138559179964.57043,baostock_approx_circ_mv,low_confidence_approx,84,84,8075681031.668299,8074544286.979629,5,0.0001872853278934,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600999,sh.600999,招商证券,sh_mainboard,J67资本市场服务,证监会行业分类,2009-11-17,2026-06-15,,137309797959.18369,baostock_approx_circ_mv,low_confidence_approx,85,85,7422165831.335802,7422151241.036955,5,0.0001219825452374,False,False,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,False,True
600050,sh.600050,中国联通,sh_mainboard,I63电信、广播电视和卫星传输服务,证监会行业分类,2002-10-09,2026-06-15,,136355030675.6324,baostock_approx_circ_mv,low_confidence_approx,86,86,30988095550.258247,30989779699.00736,5,9.29736701036819e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
601898,sh.601898,中煤能源,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2008-02-01,2026-06-15,,135173077704.78784,baostock_approx_circ_mv,low_confidence_approx,87,87,9151867143.181305,9151867143.181305,5,0.0002057565911341,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
002714,sz.002714,牧原股份,sz_mainboard,A03畜牧业,证监会行业分类,2014-01-28,2026-06-15,,134069039043.58276,baostock_approx_circ_mv,low_confidence_approx,88,88,3800243360.614665,3800142830.033525,5,6.738260101113208e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600584,sh.600584,长电科技,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2003-06-03,2026-06-15,,132989124831.62656,baostock_approx_circ_mv,low_confidence_approx,89,89,1789422593.6379435,1789412336.2705407,5,8.669595966364747e-06,False,False,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,False,True
601336,sh.601336,新华保险,sh_mainboard,J68保险业,证监会行业分类,2011-12-16,2026-06-15,,131800326828.99144,baostock_approx_circ_mv,low_confidence_approx,90,90,2085448209.3194847,2085448209.3194847,5,6.196988872592055e-05,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600690,sh.600690,海尔智家,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,1993-11-19,2026-06-15,,131128621273.06271,baostock_approx_circ_mv,low_confidence_approx,91,91,6253259905.707694,6253153136.531365,5,5.581880806795602e-05,False,False,2019-06-15,2026-06-15,1695,1.0089285714285714,252,False,False,False,True
601229,sh.601229,上海银行,sh_mainboard,J66货币金融服务,证监会行业分类,2016-11-16,2026-06-15,,130447309400.23338,baostock_approx_circ_mv,low_confidence_approx,92,92,14207739341.332651,14209946557.759628,5,0.0001990429554601,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600346,sh.600346,恒力石化,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2001-08-20,2026-06-15,,130437808901.07776,baostock_approx_circ_mv,low_confidence_approx,93,93,7038944516.921188,7039277328.714396,5,0.000211735223143,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
600016,sh.600016,民生银行,sh_mainboard,J66货币金融服务,证监会行业分类,2000-12-19,2026-06-15,,128728842887.84908,baostock_approx_circ_mv,low_confidence_approx,94,94,35461799929.05286,35462491153.67744,5,0.0001110727160342,False,False,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,False,True
000408,sz.000408,藏格矿业,sz_mainboard,C26化学原料和化学制品制造业,证监会行业分类,1996-06-28,2026-06-15,,128428508307.50816,baostock_approx_circ_mv,low_confidence_approx,95,95,1568879896.255902,1568879896.255902,5,0.0001357061947196,False,False,2019-06-15,2026-06-15,1690,1.005952380952381,252,False,False,False,True
