code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sz.300542,新晨科技,2016-09-20,,1,1,300542,sz.300542,新晨科技,2016-09-20,,chinext
sz.300543,朗科智能,2016-09-08,,1,1,300543,sz.300543,朗科智能,2016-09-08,,chinext
sz.300545,联得装备,2016-09-28,,1,1,300545,sz.300545,联得装备,2016-09-28,,chinext
sz.300546,雄帝科技,2016-09-28,,1,1,300546,sz.300546,雄帝科技,2016-09-28,,chinext
sz.300547,川环科技,2016-09-30,,1,1,300547,sz.300547,川环科技,2016-09-30,,chinext
sz.300548,长芯博创,2016-10-12,,1,1,300548,sz.300548,长芯博创,2016-10-12,,chinext
sz.300549,优德精密,2016-09-30,,1,1,300549,sz.300549,优德精密,2016-09-30,,chinext
sz.300550,和仁科技,2016-10-18,,1,1,300550,sz.300550,和仁科技,2016-10-18,,chinext
sz.300551,古鳌科技,2016-10-18,,1,1,300551,sz.300551,古鳌科技,2016-10-18,,chinext
sz.300552,万集科技,2016-10-21,,1,1,300552,sz.300552,万集科技,2016-10-21,,chinext
sz.300553,集智股份,2016-10-21,,1,1,300553,sz.300553,集智股份,2016-10-21,,chinext
sz.300554,三超新材,2017-04-21,,1,1,300554,sz.300554,三超新材,2017-04-21,,chinext
sz.300555,ST路通,2016-10-18,,1,1,300555,sz.300555,ST路通,2016-10-18,,chinext
sz.300556,丝路视觉,2016-11-04,,1,1,300556,sz.300556,丝路视觉,2016-11-04,,chinext
sz.300557,理工光科,2016-11-01,,1,1,300557,sz.300557,理工光科,2016-11-01,,chinext
sz.300558,贝达药业,2016-11-07,,1,1,300558,sz.300558,贝达药业,2016-11-07,,chinext
sz.300559,佳发教育,2016-11-01,,1,1,300559,sz.300559,佳发教育,2016-11-01,,chinext
sz.300560,中富通,2016-11-01,,1,1,300560,sz.300560,中富通,2016-11-01,,chinext
sz.300561,汇金科技,2016-11-17,,1,1,300561,sz.300561,汇金科技,2016-11-17,,chinext
sz.300562,乐心医疗,2016-11-16,,1,1,300562,sz.300562,乐心医疗,2016-11-16,,chinext
sz.300563,神宇股份,2016-11-14,,1,1,300563,sz.300563,神宇股份,2016-11-14,,chinext
sz.300564,筑博设计,2019-11-08,,1,1,300564,sz.300564,筑博设计,2019-11-08,,chinext
sz.300565,科信技术,2016-11-22,,1,1,300565,sz.300565,科信技术,2016-11-22,,chinext
sz.300566,激智科技,2016-11-15,,1,1,300566,sz.300566,激智科技,2016-11-15,,chinext
sz.300567,精测电子,2016-11-22,,1,1,300567,sz.300567,精测电子,2016-11-22,,chinext
sz.300568,星源材质,2016-12-01,,1,1,300568,sz.300568,星源材质,2016-12-01,,chinext
sz.300569,天能重工,2016-11-25,,1,1,300569,sz.300569,天能重工,2016-11-25,,chinext
sz.300570,太辰光,2016-12-06,,1,1,300570,sz.300570,太辰光,2016-12-06,,chinext
sz.300571,平治信息,2016-12-13,,1,1,300571,sz.300571,平治信息,2016-12-13,,chinext
sz.300572,安车检测,2016-12-06,,1,1,300572,sz.300572,安车检测,2016-12-06,,chinext
sz.300573,兴齐眼药,2016-12-08,,1,1,300573,sz.300573,兴齐眼药,2016-12-08,,chinext
sz.300575,中旗股份,2016-12-20,,1,1,300575,sz.300575,中旗股份,2016-12-20,,chinext
sz.300576,容大感光,2016-12-20,,1,1,300576,sz.300576,容大感光,2016-12-20,,chinext
sz.300577,开润股份,2016-12-21,,1,1,300577,sz.300577,开润股份,2016-12-21,,chinext
sz.300578,会畅科技,2017-01-25,,1,1,300578,sz.300578,会畅科技,2017-01-25,,chinext
sz.300579,数字认证,2016-12-23,,1,1,300579,sz.300579,数字认证,2016-12-23,,chinext
sz.300580,贝斯特,2017-01-11,,1,1,300580,sz.300580,贝斯特,2017-01-11,,chinext
sz.300581,晨曦航空,2016-12-20,,1,1,300581,sz.300581,晨曦航空,2016-12-20,,chinext
sz.300582,英飞特,2016-12-28,,1,1,300582,sz.300582,英飞特,2016-12-28,,chinext
sz.300583,赛托生物,2017-01-06,,1,1,300583,sz.300583,赛托生物,2017-01-06,,chinext
sz.300584,海辰药业,2017-01-12,,1,1,300584,sz.300584,海辰药业,2017-01-12,,chinext
sz.300585,奥联电子,2016-12-29,,1,1,300585,sz.300585,奥联电子,2016-12-29,,chinext
sz.300586,美联新材,2017-01-04,,1,1,300586,sz.300586,美联新材,2017-01-04,,chinext
sz.300587,天铁科技,2017-01-05,,1,1,300587,sz.300587,天铁科技,2017-01-05,,chinext
sz.300588,熙菱信息,2017-01-05,,1,1,300588,sz.300588,熙菱信息,2017-01-05,,chinext
sz.300589,江龙船艇,2017-01-13,,1,1,300589,sz.300589,江龙船艇,2017-01-13,,chinext
sz.300590,移为通信,2017-01-11,,1,1,300590,sz.300590,移为通信,2017-01-11,,chinext
sz.300591,万里马,2017-01-10,,1,1,300591,sz.300591,万里马,2017-01-10,,chinext
sz.300592,华凯易佰,2017-01-20,,1,1,300592,sz.300592,华凯易佰,2017-01-20,,chinext
sz.300593,新雷能,2017-01-13,,1,1,300593,sz.300593,新雷能,2017-01-13,,chinext
sz.300594,ST朗进,2019-06-21,,1,1,300594,sz.300594,ST朗进,2019-06-21,,chinext
sz.300595,欧普康视,2017-01-17,,1,1,300595,sz.300595,欧普康视,2017-01-17,,chinext
sz.300596,利安隆,2017-01-19,,1,1,300596,sz.300596,利安隆,2017-01-19,,chinext
sz.300597,吉大通信,2017-01-23,,1,1,300597,sz.300597,吉大通信,2017-01-23,,chinext
