code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
002271,sz.002271,东方雨虹,sz_mainboard,C30非金属矿物制品业,证监会行业分类,2008-09-10,2026-06-15,,24046164035.059765,baostock_approx_circ_mv,low_confidence_approx,589,589,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002266,sz.002266,浙富控股,sz_mainboard,N77生态保护和环境治理业,证监会行业分类,2008-08-06,2026-06-15,,23970561819.77765,baostock_approx_circ_mv,low_confidence_approx,590,590,2019-06-15,2026-06-15,1696,1.0095238095238095,252,False,False,True,True
601918,sh.601918,新集能源,sh_mainboard,B06煤炭开采和洗选业,证监会行业分类,2007-12-19,2026-06-15,,23936759794.283688,baostock_approx_circ_mv,low_confidence_approx,591,591,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
600132,sh.600132,重庆啤酒,sh_mainboard,C15酒、饮料和精制茶制造业,证监会行业分类,1997-10-30,2026-06-15,,23908060989.70562,baostock_approx_circ_mv,low_confidence_approx,592,592,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002552,sz.002552,宝鼎科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2011-02-25,2026-06-15,,23761095813.625755,baostock_approx_circ_mv,low_confidence_approx,593,593,2019-06-15,2026-06-15,1679,0.9994047619047619,252,False,False,True,True
601137,sh.601137,博威合金,sh_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,2011-01-27,2026-06-15,,23754246876.914642,baostock_approx_circ_mv,low_confidence_approx,594,594,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601928,sh.601928,凤凰传媒,sh_mainboard,R86新闻和出版业,证监会行业分类,2011-11-30,2026-06-15,,23718456319.87269,baostock_approx_circ_mv,low_confidence_approx,595,595,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300699,sz.300699,光威复材,chinext,C28化学纤维制造业,证监会行业分类,2017-09-01,2026-06-15,,23705604000.0,baostock_approx_circ_mv,low_confidence_approx,596,596,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
000032,sz.000032,深桑达A,sz_mainboard,E49建筑安装业,证监会行业分类,1993-10-28,2026-06-15,,23680651269.137035,baostock_approx_circ_mv,low_confidence_approx,597,597,2019-06-15,2026-06-15,1686,1.0035714285714286,252,False,False,True,True
601128,sh.601128,常熟银行,sh_mainboard,J66货币金融服务,证监会行业分类,2016-09-30,2026-06-15,,23640329973.51227,baostock_approx_circ_mv,low_confidence_approx,598,598,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002192,sz.002192,融捷股份,sz_mainboard,B09有色金属矿采选业,证监会行业分类,2007-12-05,2026-06-15,,23553794566.80611,baostock_approx_circ_mv,low_confidence_approx,599,599,2019-06-15,2026-06-15,1695,1.0089285714285714,252,False,False,True,True
002130,sz.002130,沃尔核材,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2007-04-20,2026-06-15,,23546912886.712143,baostock_approx_circ_mv,low_confidence_approx,600,600,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002545,sz.002545,东方铁塔,sz_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2011-02-11,2026-06-15,,23530073698.636093,baostock_approx_circ_mv,low_confidence_approx,601,601,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
