stock_code,trade_date,status,snapshot_rows,path,pipeline_dir,sample_path,intraday_path
600584.SH,,missing_paths,,,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\saved_data\asof1455_week_check\600584_pipeline_out\00_base\600584_5m.csv
600919.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\600919.SH\snapshot_5level.csv,,,
600919.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\600919.SH\snapshot_5level.csv,,,
600919.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\600919.SH\snapshot_5level.csv,,,
600919.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\600919.SH\snapshot_5level.csv,,,
600919.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\600919.SH\snapshot_5level.csv,,,
601818.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\601818.SH\snapshot_5level.csv,,,
601818.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\601818.SH\snapshot_5level.csv,,,
601818.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\601818.SH\snapshot_5level.csv,,,
601818.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\601818.SH\snapshot_5level.csv,,,
601818.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\601818.SH\snapshot_5level.csv,,,
601899.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\601899.SH\snapshot_5level.csv,,,
601899.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\601899.SH\snapshot_5level.csv,,,
601899.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\601899.SH\snapshot_5level.csv,,,
601899.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\601899.SH\snapshot_5level.csv,,,
601899.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\601899.SH\snapshot_5level.csv,,,
603308.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\603308.SH\snapshot_5level.csv,,,
603308.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\603308.SH\snapshot_5level.csv,,,
603308.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\603308.SH\snapshot_5level.csv,,,
603308.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\603308.SH\snapshot_5level.csv,,,
603308.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\603308.SH\snapshot_5level.csv,,,
603986.SH,20260519,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260519\603986.SH\snapshot_5level.csv,,,
603986.SH,20260520,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260520\603986.SH\snapshot_5level.csv,,,
603986.SH,20260521,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260521\603986.SH\snapshot_5level.csv,,,
603986.SH,20260522,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260522\603986.SH\snapshot_5level.csv,,,
603986.SH,20260525,ok,48.0,C:\Users\23853\PycharmProjects\stock_realtime_v021_full\reports\asof1455_target_week_compare\synthetic_snapshot_cache\pending\20260525\603986.SH\snapshot_5level.csv,,,
