trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026/5/19,002895.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv,all_no_ak,218,218,0,0,218,1,0,0,1.12E-15,2.41E-14,129,0
2026/5/20,002895.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv,all_no_ak,218,218,0,0,218,1,0,0,6.56E-16,1.23E-15,129,0
2026/5/21,002895.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv,all_no_ak,218,218,0,0,218,1,0,0,6.48E-15,1.19E-14,129,0
2026/5/22,002895.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv,all_no_ak,218,218,0,0,218,1,0,0,2.79E-15,1.31E-14,129,0
2026/5/25,002895.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\04_external\fertilizer\training_samples_with_fertilizer_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002895_pipeline_out\00_base\002895_5m.csv,all_no_ak,218,218,0,0,218,1,0,0,3.72E-15,9.88E-15,129,0
2026/5/19,600312.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1,0,0,9.10E-15,2.01E-14,9,0
2026/5/20,600312.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1,0,0,5.49E-15,6.02E-15,9,0
2026/5/21,600312.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1,0,0,2.20E-15,4.04E-15,9,0
2026/5/22,600312.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1,0,0,5.14E-15,1.87E-14,9,0
2026/5/25,600312.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\03_sector\training_samples_with_sector.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600312_pipeline_out\00_base\600312_5m.csv,all_no_ak,96,96,0,0,96,1,0,0,1.00E-14,1.34E-14,9,0
2026/5/19,600361.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\00_base\600361_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,8.87E-15,1.62E-14,9,0
2026/5/20,600361.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\00_base\600361_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,7.76E-15,8.43E-15,9,0
2026/5/21,600361.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\00_base\600361_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,2.13E-15,3.29E-15,9,0
2026/5/22,600361.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\00_base\600361_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,7.42E-14,1.91E-13,9,0
2026/5/25,600361.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\04_external\zijin_external\training_samples_with_zijin_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600361_pipeline_out\00_base\600361_5m.csv,all_no_ak,98,98,0,0,98,1,0,0,7.25E-15,1.09E-14,9,0
2026/5/19,600487.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.79E-15,1.91E-14,57,0
2026/5/20,600487.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.18E-14,2.13E-14,57,0
2026/5/21,600487.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.23E-15,1.39E-15,57,0
2026/5/22,600487.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,6.38E-16,3.37E-15,57,0
2026/5/25,600487.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600487_pipeline_out\00_base\600487_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,2.53E-15,1.43E-14,57,0
2026/5/19,600522.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv,all_no_ak,144,144,0,0,144,1,0,0,4.67E-15,8.84E-15,57,0
2026/5/20,600522.SH,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\04_external\optical_cable_grid\training_samples_with_optical_cable_grid_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\600522_pipeline_out\00_base\600522_5m.csv,all_no_ak,144,144,0,0,144,1,0,0,1.60E-16,3.99E-16,57,0
