date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount
2024-01-17,4881.165,4881.527,4747.6,4747.6,1155054440,11802168200.0
2024-01-18,4722.211,4740.188,4588.867,4717.683,1559477800,14975022000.0
2024-01-19,4717.487,4737.311,4656.029,4656.917,1215768200,12541322900.0
2024-01-22,4640.371,4644.608,4317.887,4359.797,1545058100,14786519000.0
2024-01-23,4346.617,4371.879,4264.24,4348.96,1328843880,12672221400.0
2024-01-24,4359.955,4409.467,4233.866,4389.571,1388435100,12835883900.0
2024-01-25,4388.908,4530.605,4357.864,4522.852,1492684600,15124039000.0
2024-01-26,4518.241,4567.521,4479.151,4485.715,1306546950,13099806900.0
2024-01-29,4514.523,4532.171,4323.448,4323.448,1289844060,12562286200.0
2024-01-30,4298.898,4340.383,4171.844,4182.957,1104239610,11696705100.0
2024-01-31,4170.855,4183.167,3975.361,3989.249,1479137900,13676408000.0
2024-02-01,3968.041,3994.171,3846.159,3906.115,1280098670,12009439300.0
2024-02-02,3912.922,3971.795,3580.31,3713.378,1617749000,14032850000.0
2024-02-05,3664.171,3664.171,3295.431,3376.417,1903574900,14792072000.0
2024-02-06,3278.344,3576.126,3160.863,3488.461,2161233200,16306961000.0
2024-02-07,3498.562,3548.59,3338.567,3380.654,2205350400,17575144000.0
2024-02-08,3378.957,3656.265,3333.167,3656.265,2329671500,18712205000.0
2024-02-19,3698.589,3810.984,3698.589,3787.299,2000833500,16896457000.0
2024-02-20,3780.469,3864.764,3735.096,3863.439,1559089400,14148188000.0
2024-02-21,3823.975,4054.046,3806.335,3947.243,1927072100,18033474000.0
2024-02-22,3943.104,4051.22,3936.813,4051.22,1778360700,16593649000.0
2024-02-23,4064.041,4198.254,4052.367,4194.935,2006197900,20257120000.0
2024-02-26,4318.683,4457.455,4307.84,4391.52,2741372100,29474841000.0
2024-02-27,4376.454,4503.221,4346.71,4503.117,2586699200,28553301000.0
2024-02-28,4506.161,4573.94,4160.571,4160.571,3369806000,33744446000.0
2024-02-29,4101.269,4381.724,4101.269,4381.724,2530296900,25574156000.0
2024-03-01,4403.943,4441.529,4369.269,4432.192,2485743100,26194400000.0
2024-03-04,4434.485,4450.229,4333.707,4426.645,2269239100,24195581000.0
2024-03-05,4392.837,4407.26,4316.471,4329.24,1930860400,20896038000.0
2024-03-06,4316.735,4483.076,4316.735,4467.693,2310422600,25351984000.0
2024-03-07,4512.606,4577.131,4457.645,4457.645,2904819100,30976813000.0
2024-03-08,4441.376,4494.997,4405.819,4488.691,2315823800,23369850000.0
2024-03-11,4465.668,4535.776,4446.484,4535.776,2127672400,22503919000.0
2024-03-12,4539.39,4576.596,4503.991,4576.596,2307124700,24661160000.0
2024-03-13,4571.129,4607.053,4547.062,4571.231,2166889900,23099966000.0
2024-03-14,4569.215,4604.994,4474.392,4541.351,2080483700,22127936000.0
2024-03-15,4525.639,4656.603,4519.144,4656.603,2117418300,22751235000.0
2024-03-18,4677.059,4754.577,4669.318,4754.577,2271838600,25937837000.0
2024-03-19,4748.135,4779.737,4718.726,4719.471,2370573400,26737031000.0
2024-03-20,4708.916,4757.919,4708.81,4755.342,1955545100,21532295000.0
2024-03-21,4762.129,4779.641,4693.674,4767.274,2433869100,25168830000.0
2024-03-22,4752.895,4754.822,4658.615,4679.256,2270181300,23935372000.0
2024-03-25,4658.835,4673.699,4534.177,4535.742,2086834900,21019737000.0
2024-03-26,4529.86,4566.358,4442.237,4522.692,1871036300,18539959000.0
